SAMPLE	TOTAL	SAMPLE_112,474	SAMPLE_112,475	SAMPLE_112,476	SAMPLE_112,477	SAMPLE_112,478	SAMPLE_112,479	SAMPLE_112,480	SAMPLE_112,481	SAMPLE_112,482	SAMPLE_112,483	SAMPLE_112,484	SAMPLE_112,485	SAMPLE_112,486	SAMPLE_112,487	SAMPLE_112,488	SAMPLE_112,489	SAMPLE_112,490	SAMPLE_112,491	SAMPLE_112,492	SAMPLE_112,493	SAMPLE_112,494	SAMPLE_112,495	SAMPLE_112,496	SAMPLE_112,497	SAMPLE_112,498	SAMPLE_112,499	SAMPLE_112,500	SAMPLE_112,501	SAMPLE_112,502	SAMPLE_112,503	SAMPLE_112,504	SAMPLE_112,505	SAMPLE_112,506	SAMPLE_112,507	SAMPLE_112,508	SAMPLE_112,509	SAMPLE_112,510	SAMPLE_112,511	SAMPLE_112,512	SAMPLE_112,513	SAMPLE_112,514	SAMPLE_112,515	SAMPLE_112,516	SAMPLE_112,518	SAMPLE_112,519	SAMPLE_112,520	SAMPLE_112,521	SAMPLE_112,522	SAMPLE_112,523	SAMPLE_112,524	SAMPLE_112,525	SAMPLE_112,526	SAMPLE_112,527	SAMPLE_112,528	SAMPLE_112,529	SAMPLE_112,530	SAMPLE_112,531	SAMPLE_112,532	SAMPLE_112,533	SAMPLE_112,534	SAMPLE_112,535	SAMPLE_112,536	SAMPLE_112,537	SAMPLE_112,538
INPUT	16,001,607	337,787	285,239	219,568	241,483	282,944	259,295	333,826	264,547	244,272	251,863	236,514	201,056	288,589	291,167	359,761	225,931	248,712	236,340	268,518	233,250	328,171	237,936	230,320	330,662	189,531	327,704	123,822	110,133	205,766	211,687	320,051	301,242	237,515	175,656	143,665	251,924	293,338	169,329	252,966	198,752	207,080	136,610	248,592	158,874	166,360	292,988	300,898	241,698	277,719	255,166	321,640	211,452	405,220	222,395	335,604	200,600	303,893	243,388	328,506	171,379	238,887	247,581	291,156	243,089
CLUSTERABLE	10,493,690	199,927	155,704	117,339	136,244	151,408	176,354	165,643	158,188	147,657	138,306	142,188	120,453	181,915	183,389	219,637	135,011	131,646	164,462	163,684	153,305	204,474	158,427	153,144	217,175	136,151	211,361	96,452	77,294	143,017	156,675	223,887	192,115	163,920	118,518	105,314	185,501	216,498	122,634	157,916	148,252	167,258	106,465	184,553	99,507	122,478	193,451	207,720	176,886	203,814	178,802	234,777	124,361	253,861	157,869	220,441	147,779	210,245	158,714	194,534	120,137	157,515	173,411	204,640	163,287
CLUSTERABLE PCT	65.6%	59.2%	54.6%	53.4%	56.4%	53.5%	68%	49.6%	59.8%	60.4%	54.9%	60.1%	59.9%	63%	63%	61.1%	59.8%	52.9%	69.6%	61%	65.7%	62.3%	66.6%	66.5%	65.7%	71.8%	64.5%	77.9%	70.2%	69.5%	74%	70%	63.8%	69%	67.5%	73.3%	73.6%	73.8%	72.4%	62.4%	74.6%	80.8%	77.9%	74.2%	62.6%	73.6%	66%	69%	73.2%	73.4%	70.1%	73%	58.8%	62.6%	71%	65.7%	73.7%	69.2%	65.2%	59.2%	70.1%	65.9%	70%	70.3%	67.2%
LOW-ABUNDANCE	5,507,917	137,860	129,535	102,229	105,239	131,536	82,941	168,183	106,359	96,615	113,557	94,326	80,603	106,674	107,778	140,124	90,920	117,066	71,878	104,834	79,945	123,697	79,509	77,176	113,487	53,380	116,343	27,370	32,839	62,749	55,012	96,164	109,127	73,595	57,138	38,351	66,423	76,840	46,695	95,050	50,500	39,822	30,145	64,039	59,367	43,882	99,537	93,178	64,812	73,905	76,364	86,863	87,091	151,359	64,526	115,163	52,821	93,648	84,674	133,972	51,242	81,372	74,170	86,516	79,802
LOW-ABUNDANCE PCT	34.4%	40.8%	45.4%	46.6%	43.6%	46.5%	32%	50.4%	40.2%	39.6%	45.1%	39.9%	40.1%	37%	37%	38.9%	40.2%	47.1%	30.4%	39%	34.3%	37.7%	33.4%	33.5%	34.3%	28.2%	35.5%	22.1%	29.8%	30.5%	26%	30%	36.2%	31%	32.5%	26.7%	26.4%	26.2%	27.6%	37.6%	25.4%	19.2%	22.1%	25.8%	37.4%	26.4%	34%	31%	26.8%	26.6%	29.9%	27%	41.2%	37.4%	29%	34.3%	26.3%	30.8%	34.8%	40.8%	29.9%	34.1%	30%	29.7%	32.8%
LOW-ABUNDANCE MAPPED	2,985,037	65,529	59,253	46,153	46,784	51,982	70,307	65,260	49,176	48,851	51,206	46,837	38,243	56,030	58,751	68,936	47,435	49,228	38,482	49,323	43,153	65,132	63,313	44,170	65,616	36,485	66,958	24,468	26,212	37,874	43,033	51,867	67,485	32,805	37,312	23,820	39,573	48,432	25,396	41,929	38,831	37,000	25,136	35,177	24,813	25,061	49,782	50,903	38,588	49,004	42,661	57,711	42,696	82,228	35,111	59,372	30,693	60,836	41,455	57,399	33,938	43,623	42,319	54,011	33,890
LOW-ABUNDANCE MAPPED%	54.2%	47.5%	45.7%	45.1%	44.5%	39.5%	84.8%	38.8%	46.2%	50.6%	45.1%	49.7%	47.4%	52.5%	54.5%	49.2%	52.2%	42.1%	53.5%	47%	54%	52.7%	79.6%	57.2%	57.8%	68.3%	57.6%	89.4%	79.8%	60.4%	78.2%	53.9%	61.8%	44.6%	65.3%	62.1%	59.6%	63%	54.4%	44.1%	76.9%	92.9%	83.4%	54.9%	41.8%	57.1%	50%	54.6%	59.5%	66.3%	55.9%	66.4%	49%	54.3%	54.4%	51.6%	58.1%	65%	49%	42.8%	66.2%	53.6%	57.1%	62.4%	42.5%
UNCLASSIFIED	39,150	5	1	10	11	1	0	5	2	1	4	31	29	10	4	90	108	10	328	139	122	20	151	155	571	1,512	133	327	359	1,348	1,284	175	247	1,007	68	210	1,934	471	107	412	2,422	797	262	1,581	1,322	791	2,846	2,028	1,623	832	528	1,123	111	624	3,479	95	1,201	1,468	1,300	77	1,617	519	37	27	1,038
UNCLASSIFIED%	0.1%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0.1%	0%	0%	0%	0%	0%	0.1%	0.3%	0%	0.1%	0.1%	0.2%	0.2%	0%	0%	0.2%	0%	0.1%	0.3%	0.1%	0%	0.1%	0.4%	0.1%	0.1%	0.2%	0.4%	0.2%	0.4%	0.3%	0.2%	0.1%	0.1%	0.1%	0%	0.1%	0.6%	0%	0.2%	0.2%	0.2%	0%	0.3%	0.1%	0%	0%	0.2%
CONTAMINANT	3,639	0	3	1	0	0	34	0	1	5	102	3	0	6	0	2	4	138	11	1	1	6	5	10	12	1	21	55	2,836	0	3	18	4	0	15	6	5	29	4	2	37	0	2	8	13	0	8	7	130	0	8	16	0	0	4	8	9	16	12	2	9	2	1	0	3
