0	d:Bacteria(1.0000),p:Proteobacteria(0.9656),c:Gammaproteobacteria(0.9790),o:Pseudomonadales(0.9783),f:Pseudomonadaceae(0.9387),g:Pseudomonas(0.9729)	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas	+
1	d:Bacteria(1.0000),p:Firmicutes(0.9582),c:Bacilli(0.9519),o:Bacillales(0.9182),f:Planococcaceae(0.6504),g:Lysinibacillus(0.3930)	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Planococcaceae	+
2	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(0.9782),o:Enterobacteriales(0.9462),f:Enterobacteriaceae(0.9179),g:Escherichia_Shigella(0.9132)	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia_Shigella	+
3	d:Bacteria(1.0000),p:Firmicutes(1.0000),c:Clostridia(1.0000),o:Clostridiales(1.0000),f:Ruminococcaceae(0.8344),g:Ruminococcaceae_UCG_005(0.8663)	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_005	+
4	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Xanthomonadales(0.9838),f:Xanthomonadaceae(0.9824),g:Luteimonas(0.8429)	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Luteimonas	+
5	d:Bacteria(1.0000),p:Bacteroidetes(0.9744),c:Sphingobacteriia(0.9410),o:Sphingobacteriales(0.9182),f:Sphingobacteriaceae(0.9075),g:Sphingobacterium(0.4815)	d:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae	+
6	d:Bacteria(1.0000),p:Proteobacteria(0.9913),c:Betaproteobacteria(0.9786),o:Burkholderiales(0.9720),f:Comamonadaceae(0.9387),g:Comamonas(0.5700)	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Comamonas	+
7	d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Pseudomonadales(0.9836),f:Moraxellaceae(0.9827),g:Acinetobacter(0.9736)	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter	+
8	d:Bacteria(1.0000),p:Firmicutes(0.9614),c:Bacilli(0.9789),o:Bacillales(0.9733),f:Bacillaceae(0.7884),g:Bacillus(0.8429)	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus	+
9	d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Bacteroidia(0.9793),o:Bacteroidales(0.9809),f:Rikenellaceae(0.9843),g:Rikenellaceae_RC9_gut_group(0.9741)	d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Rikenellaceae,g:Rikenellaceae_RC9_gut_group	+
