	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112479	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112494	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112523	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_208_7.txt	208	7	12.85315	15.08012	15.99251	13.40832	16.03489	14.90536	16.3883	13.46071	12.9349	14.51298	15.35625	12.1246	13.32514	14.11829	14.00477	15.81929	16.01055	12.49446	14.58252	13.23336	15.5744	14.80775	13.22281	16.49512	12.87718	13.56915	10.30738	13.71922	14.91299	12.55504	11.71403	15.72487	9.84666	13.76514	8.06561	10.62466	9.89193	8.99328	13.9566	12.41985	7.45806	10.58883	7.46945	9.46355	6.92129	11.55123	7.321	7.09169	8.64301	10.25661	10.8898	16.35476	14.79307	10.78131	11.00074	8.76429	10.68816	13.26479	14.09265	12.55277	13.82692	12.77371	9.07887	12.04949
alpha_rarefaction_208_8.txt	208	8	12.34903	13.19343	15.83233	13.79927	15.15439	14.89612	17.42209	13.41951	12.58434	15.8334	14.29055	14.83594	13.42311	13.45707	12.84829	14.76869	15.84742	10.91276	15.01146	12.04494	14.7207	16.79703	14.39837	17.02184	11.58264	15.64742	11.94587	15.09073	13.92793	13.19034	12.18598	18.0146	11.05298	12.92443	7.46446	11.51766	10.66683	7.91193	14.67815	12.59144	8.35573	11.76016	7.03285	9.4221	6.92286	11.16113	8.24188	7.02089	8.11624	11.07589	8.87184	15.64577	16.09202	11.10877	12.6304	9.40693	12.37723	11.02882	14.40686	11.85042	13.44709	11.85889	7.96409	10.16803
alpha_rarefaction_208_9.txt	208	9	13.24622	15.28675	17.32811	15.86404	13.99547	13.263	15.90465	12.03866	16.06904	16.16505	13.32231	16.01325	13.27478	15.42698	16.35617	15.74539	17.96682	11.29051	16.03314	10.8211	16.85389	16.32976	12.75926	15.53836	12.7653	15.25004	11.22989	15.12032	13.12205	14.36371	11.4158	16.39889	10.30296	11.81749	7.86466	10.96697	11.3598	8.10081	13.67715	11.35071	9.58743	9.70536	7.32586	10.04957	7.34189	11.14018	8.28292	7.85799	9.73001	13.35769	10.44726	17.14502	17.28939	11.79603	11.10792	7.45147	11.32707	12.47253	14.39361	13.2601	12.42955	12.25747	7.1845	11.25653
alpha_rarefaction_307_0.txt	307	0	14.22164	17.66348	19.81585	15.28364	16.94907	16.69658	18.36833	15.10248	17.11899	17.71938	16.61044	16.08939	15.49904	16.19651	16.7627	18.28548	19.0385	14.06856	17.99927	14.02652	17.72608	18.98053	16.8746	17.50699	14.49079	17.0728	12.20916	16.73259	18.83511	15.09289	13.89311	18.6418	11.2514	16.65097	8.59609	12.60902	12.49777	9.3967	17.53607	16.83038	10.8485	12.70373	7.57298	9.97756	8.17433	13.26364	9.10267	9.73013	11.10319	13.63014	10.51212	20.00022	17.55805	13.63691	13.81668	11.15844	12.95429	16.64701	19.92042	15.94963	17.03783	15.5904	9.88097	13.87807
alpha_rarefaction_307_1.txt	307	1	14.65596	17.77115	18.96825	16.11575	17.30743	16.49967	18.16438	15.59614	16.53374	19.69589	16.37527	16.38505	14.90577	17.10998	17.55994	15.92293	20.06226	15.29534	17.87002	15.61233	16.18874	18.96684	16.1097	18.06292	13.4862	18.7288	11.30789	17.30568	16.52791	15.91928	12.76065	18.90202	10.43142	13.54828	9.81042	11.7509	12.57407	7.78242	17.16265	13.37948	10.16221	11.7634	8.56884	9.44361	7.06231	14.34206	9.30199	7.39296	10.8292	15.26023	11.28465	18.73723	19.10342	13.9045	12.83613	9.67452	13.39283	15.86738	18.64671	15.44441	15.59794	15.15135	9.64504	14.72754
alpha_rarefaction_307_2.txt	307	2	17.19363	17.24633	20.26298	16.34385	17.24298	16.13768	16.88247	16.75863	15.27886	17.17865	16.94455	18.89867	13.8663	17.65199	18.24167	17.9499	19.8242	13.55962	19.82294	12.92647	17.81558	18.81433	16.26951	17.34153	12.37694	17.78997	11.73325	15.39146	18.22858	14.38623	14.64646	18.65173	11.92075	15.48364	18.22613	22.27829	12.97423	9.83833	15.47716	14.00376	8.81202	12.30702	8.48345	10.34656	8.62939	13.2953	9.53068	9.16568	10.37201	13.23814	11.21484	19.18028	17.93184	13.25188	13.07175	9.50769	13.7197	14.78391	18.78612	15.368	17.29881	14.32977	11.41241	13.23594
alpha_rarefaction_307_3.txt	307	3	16.55008	18.51085	18.63935	17.32681	15.57736	17.11958	17.36101	15.9369	15.50684	18.16823	17.11955	17.13923	15.75753	16.12302	16.88871	18.249	19.16304	13.16037	18.64644	14.70786	16.34412	19.05524	17.08779	18.97567	13.01282	18.58799	13.58271	18.44707	17.65413	13.60785	12.71187	19.16898	11.01108	16.22619	9.30695	12.21456	12.30724	7.74666	16.82848	21.90938	10.8358	11.09607	7.74722	9.67823	8.536	12.38906	8.65321	8.89393	10.70865	12.90022	11.96596	19.32435	18.4664	14.59864	12.13506	11.06293	20.56994	14.62972	17.96311	14.32798	14.66822	13.98541	9.99156	14.34589
alpha_rarefaction_307_4.txt	307	4	14.40016	18.42011	19.38084	15.58554	16.83359	17.41991	18.62349	14.33082	15.49485	19.60233	19.92781	16.69136	15.53662	17.9245	17.75285	17.68958	21.46131	13.2551	19.79034	14.1425	17.82746	18.92013	15.89521	18.93747	14.13822	17.87442	13.56601	15.76344	16.01674	15.05702	14.88501	18.87566	11.92017	15.21398	9.10894	14.29647	12.41287	9.02909	17.08806	23.13243	10.07327	11.71879	7.82429	10.13039	8.54605	12.5427	8.87222	9.47732	10.87512	14.62705	11.02041	18.31119	16.00215	22.98339	14.3321	9.15393	11.20463	16.49359	16.99966	16.06675	15.20795	15.00532	9.76708	13.34877
alpha_rarefaction_307_5.txt	307	5	15.33837	17.3753	19.41794	16.3692	16.08471	15.72331	19.11605	15.56975	15.21822	19.15219	16.6036	17.09897	15.40746	18.04093	19.3881	18.94926	19.90027	13.32698	18.6954	13.95913	18.09541	16.70649	15.94411	18.41357	12.46341	18.2286	12.40809	16.82151	15.9954	14.15764	14.2111	19.73684	12.14946	16.89037	9.05575	12.83456	12.99436	8.15875	17.09762	15.02508	9.37609	11.68258	7.20908	9.73834	8.94148	15.38065	8.47825	8.4236	11.35784	13.24872	12.2453	18.87586	18.47097	11.90005	13.66687	9.56216	11.15779	13.7936	17.63777	15.98794	15.28196	13.3905	10.54215	14.95647
alpha_rarefaction_307_6.txt	307	6	15.70804	17.38643	17.73864	17.70542	17.36495	16.95526	17.32478	15.511	16.81998	18.62397	15.77338	16.94849	14.92674	16.68138	18.5002	17.21606	18.35744	14.03349	17.93357	15.71804	17.91013	18.31008	15.9717	18.76268	13.38879	17.5494	12.28905	17.04465	15.76369	15.40993	13.60658	17.16909	12.69096	15.82868	8.853	20.8596	11.7636	8.78954	15.65516	14.38392	10.8154	11.94025	9.19205	10.72504	8.65842	21.62663	8.8553	8.68772	10.30258	13.08306	11.46892	18.79769	18.78577	12.56446	13.92272	9.90557	11.30875	17.19077	18.21441	14.53169	15.34487	14.57428	10.00334	11.97083
