	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112479	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112494	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112523	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_10_0.txt	10	0	2.52942	2.69284	2.81374	2.6306	2.06702	3.03034	2.22574	2.80437	2.92382	2.81685	2.55876	2.57021	2.69899	2.86635	3.06607	2.90483	3.84126	2.77389	3.35351	2.61707	2.57601	3.35408	4.10566	3.70141	2.80318	2.41374	3.18217	2.98945	3.0699	3.31387	2.92065	2.60882	2.31896	3.15258	2.25641	2.65672	2.54583	2.54344	3.09062	2.65855	2.64685	1.64263	2.43373	3.89396	3.10438	2.28471	2.21594	1.82477	2.41508	2.82465	2.68535	2.84879	2.6006	2.52918	2.77469	1.81083	3.10759	1.19269	3.07253	2.68199	3.2098	2.40867	2.03434	2.54226
alpha_rarefaction_10_1.txt	10	1	2.47945	3.28081	3.17893	2.83246	2.94152	2.95874	2.42516	2.70269	3.09335	2.92994	2.39579	2.68888	2.87229	3.254	2.75503	3.46989	2.80155	1.82117	3.04148	3.54687	3.41746	3.32431	2.30523	3.46571	2.76248	2.07336	2.98553	3.18056	3.17792	2.59911	3.28814	3.20228	2.82307	2.71174	1.86636	2.74555	3.74568	2.60918	2.20243	2.18685	2.91234	2.88039	2.48123	2.82939	2.81375	1.98605	2.81367	2.10183	2.62602	3.5586	2.43248	2.8162	2.37901	2.7753	1.72244	1.62654	2.98483	2.29049	3.10894	2.93033	3.40824	2.47084	2.83161	2.24945
alpha_rarefaction_10_2.txt	10	2	2.03382	2.97054	3.04391	1.9453	2.29604	2.2343	2.49403	2.24242	2.63404	2.86667	2.99208	2.98641	2.54558	2.54672	2.64646	2.46179	2.84886	2.08873	2.45033	2.75384	2.53783	3.22592	3.01681	3.59362	3.1231	2.69338	2.8755	1.74584	3.63476	2.87587	3.0242	2.82679	1.98911	2.49015	2.67436	2.05601	2.61102	2.82484	2.41415	2.66468	2.15385	2.16731	1.93273	2.99302	1.95559	2.50799	3.17465	2.57143	2.63989	2.41367	2.67076	2.85032	3.71043	2.54403	3.06105	2.57983	2.41739	2.55649	2.7989	2.6719	2.5075	2.98531	2.20147	2.16815
alpha_rarefaction_10_3.txt	10	3	2.56813	3.12237	2.44546	2.621	2.41863	2.41256	2.46862	3.19639	3.00122	2.77634	2.37039	2.77648	2.55765	2.4821	2.69091	2.3093	3.07623	3.28214	2.80183	2.77744	2.94127	3.49535	3.70884	2.97795	3.73754	2.57447	2.55476	3.35201	2.71564	2.3696	3.49429	3.24776	2.37398	2.4899	2.38714	2.52816	2.97063	2.88192	2.84133	2.36179	2.37994	2.92576	2.9911	2.87237	1.91521	1.99313	2.54158	2.38658	2.45175	3.20778	2.81427	3.27635	2.9486	2.65938	2.83699	1.81114	3.19978	3.3893	2.93581	2.4695	2.49437	2.26356	2.89142	2.4875
alpha_rarefaction_10_4.txt	10	4	2.66913	3.12656	2.38419	3.3255	3.31212	2.32491	2.17625	2.37855	2.67058	3.50909	2.42537	2.63369	2.75843	2.7524	2.70723	2.95806	2.96021	2.15642	3.56936	3.19147	2.61975	3.72913	3.20762	3.47475	3.22598	2.7903	3.10582	2.68734	2.75967	3.00936	3.45065	3.85822	2.41302	3.53866	2.0281	2.21485	2.72237	2.01418	2.36655	2.18138	3.04028	3.37177	2.87364	2.37366	2.25365	3.02544	3.08549	3.0215	3.25459	3.10451	2.45363	2.53517	3.03445	2.49101	2.42828	2.09125	2.77415	3.0763	1.76576	3.47422	2.26388	3.50714	2.9323	2.32743
alpha_rarefaction_10_5.txt	10	5	2.6218	2.97463	2.82924	2.31087	2.56921	2.30445	2.25317	2.35537	2.8515	3.73344	2.77743	3.42986	2.44956	2.50771	3.18262	3.11273	3.139	2.60172	3.44172	2.52228	3.04447	3.31506	2.43468	3.26485	3.31452	3.75725	2.21365	2.17484	3.54749	2.88005	3.19936	2.81735	2.17323	2.94294	1.85353	2.08293	2.61817	2.41519	2.17155	2.68104	2.79428	2.14596	2.50345	2.98966	2.68109	2.53753	3.10386	2.37153	2.92295	2.83072	3.31858	3.43575	3.55421	1.87389	2.34049	2.01168	2.50597	2.34076	2.97434	2.1012	2.43917	3.33985	1.97986	2.04849
alpha_rarefaction_10_6.txt	10	6	3.29568	2.3022	3.78229	2.62889	2.17272	2.08987	2.82726	2.78629	2.78672	3.33021	2.67425	2.75645	2.92395	2.93581	2.77784	3.09085	3.76014	3.22858	3.41893	2.72142	3.39443	3.06816	3.21096	3.30882	2.97588	2.74174	2.96453	3.02923	3.02011	3.07139	2.51317	3.10716	2.77966	3.35999	2.3672	2.48353	2.1638	2.68265	3.28327	2.73338	2.35557	1.78538	2.8657	2.87736	2.456	2.13278	2.668	2.5377	2.50342	3.36133	3.07124	3.25246	2.90362	2.5375	3.21292	2.56607	2.33604	2.45215	2.81614	2.05658	3.03141	2.77976	1.98224	2.57217
alpha_rarefaction_10_7.txt	10	7	2.58596	2.63476	3.30699	2.68479	2.55381	2.23519	2.24103	2.85937	2.44027	2.6974	3.09283	2.87633	2.23273	2.65299	3.31259	2.91206	2.14489	2.8756	3.05876	3.22132	2.58102	3.34443	2.84021	3.79908	3.05332	3.48974	3.1619	2.65411	2.71251	2.82665	2.57087	2.74114	2.96947	2.77704	2.97072	2.51708	3.03569	3.05264	2.61428	2.3112	2.3323	2.67246	2.81138	3.06896	2.47401	2.46347	2.45842	2.42213	2.48372	2.18069	2.80907	2.8125	3.49481	3.1108	3.43522	2.04775	2.64066	1.92495	3.71103	3.45097	3.11364	2.73351	2.23983	2.7462
alpha_rarefaction_10_8.txt	10	8	3.11614	2.73596	3.24516	2.22772	2.92833	2.13356	3.08212	2.40986	2.20968	3.01596	3.11791	2.93437	2.25541	1.77538	2.52293	2.88445	2.20053	1.65497	3.23236	3.48211	3.09348	3.19152	2.95854	3.29006	2.40884	3.10808	2.73586	2.97931	2.44091	2.8449	3.3271	3.34753	3.68611	2.39122	2.26868	2.23625	2.97853	3.05174	2.31706	2.48404	2.31759	1.61028	3.08496	3.18642	2.01543	2.86691	2.68015	2.58349	2.3366	2.93237	3.2399	2.90301	2.85948	2.3218	2.59808	2.36527	3.65545	2.40217	2.59061	1.69862	3.22363	2.76129	2.28612	2.52101
alpha_rarefaction_10_9.txt	10	9	2.30028	2.9358	3.31304	2.40287	2.36793	2.30027	2.6095	2.48366	2.6204	2.51114	2.49322	3.36022	2.51808	2.98416	3.27838	3.78368	3.26092	2.66327	3.13723	2.76801	2.89353	3.21973	2.54862	4.07894	3.50642	3.07321	2.77517	3.07544	2.74245	3.66191	3.33813	2.76933	2.63408	1.92256	2.64149	0.70892	2.63545	2.16403	2.37043	1.52034	2.86346	2.94777	2.30039	2.14008	2.31475	2.61358	3.08295	2.71893	1.62061	3.0919	2.63614	2.4349	2.30625	1.95483	2.10894	2.48293	2.71457	1.14933	2.80643	2.18501	2.64324	2.15238	2.53278	2.17289
alpha_rarefaction_109_0.txt	109	0	9.85138	11.00232	11.97423	11.41262	10.52407	10.06139	10.60953	9.71635	10.53891	12.03697	10.29683	11.07455	10.19292	10.19207	10.44405	10.64709	12.09421	7.53183	12.92155	9.47558	10.64159	12.1962	9.70121	11.39485	9.10415	12.64938	8.59503	10.96538	10.12019	10.97445	9.4906	11.30178	7.4869	9.83027	6.56304	16.14942	8.23645	6.67363	9.28283	9.44071	7.07769	9.40338	6.84824	7.1296	5.64786	9.17736	6.72402	5.08154	6.49855	9.40757	7.90557	12.71005	11.88274	8.64375	8.93952	7.22794	8.36442	7.60419	12.23248	10.87429	8.66135	10.48011	6.95165	8.01698
alpha_rarefaction_109_1.txt	109	1	9.84055	10.4158	12.23583	10.171	10.4443	9.92385	11.85808	8.42179	10.09061	10.47317	10.939	11.7944	10.55036	9.91345	10.87249	10.54515	11.72846	9.02887	11.72769	10.65231	10.89779	12.84925	10.35707	11.55711	8.36479	11.16584	8.28834	11.4615	9.41694	10.56926	8.56314	10.80841	7.76524	9.04192	7.25918	7.31105	7.38725	6.21663	9.82693	8.42674	6.98283	7.98846	5.18297	8.72801	5.89995	8.02833	7.1877	6.1316	8.49327	9.16923	7.5063	11.93128	10.91768	9.22313	9.74985	6.50565	9.20933	8.96187	11.66379	8.59518	10.24025	9.41283	7.10709	7.59051
alpha_rarefaction_109_2.txt	109	2	8.22076	10.44492	11.42879	8.72935	10.08432	10.63354	10.39646	8.05916	9.52784	10.70639	9.69798	9.59776	7.64719	11.54249	9.78285	11.50359	10.60595	7.03858	11.3309	8.94842	10.30682	12.6604	10.18193	12.88397	6.52512	11.45822	6.70991	9.89086	10.51309	9.00318	8.86434	10.78438	6.67636	9.3834	6.25904	6.88809	8.42516	6.59683	11.89665	8.75542	6.28999	7.97696	5.72381	7.13729	5.70926	16.62318	6.84575	6.77507	8.05405	8.56421	8.591	11.68915	11.30033	10.95043	7.26752	6.5582	7.05179	8.14829	10.36678	10.41752	10.47038	9.11121	6.38559	6.90181
alpha_rarefaction_109_3.txt	109	3	9.33383	11.29291	12.5842	8.93291	10.93715	10.25128	12.45995	8.83445	10.31087	11.59494	10.16079	12.14576	9.01103	11.56134	11.8146	12.00545	12.0404	8.89236	11.89833	9.06597	10.54402	11.56272	9.75754	10.63771	9.59357	10.97648	7.36792	11.83577	10.48334	9.06908	9.28524	10.77991	6.89159	10.92488	6.06731	8.49845	8.40116	6.75664	9.82127	8.24992	7.70842	7.7437	5.657	8.20738	6.71919	8.34318	6.48281	5.50301	6.6102	7.22167	8.50068	13.86923	11.87653	8.8337	8.46887	6.29101	8.11194	9.47296	11.18664	9.96636	8.82404	9.56993	7.56994	9.03813
alpha_rarefaction_109_4.txt	109	4	10.36779	10.07732	11.09693	10.39307	9.53086	9.83362	10.53888	8.33216	8.96431	13.83851	9.51448	11.86454	9.27473	9.84762	12.64382	10.18746	12.76859	6.79447	10.11912	9.95242	11.27543	10.83321	10.60738	12.14361	9.42283	11.07519	7.10166	11.23296	11.61446	10.84144	8.54088	14.03483	7.06639	9.63666	5.92271	8.42972	7.50698	6.32707	10.10255	8.40066	7.55834	7.8914	5.7288	6.86445	5.74736	7.96122	8.01842	7.24475	5.96809	8.60883	7.64428	10.03592	12.27181	8.99381	7.88316	7.82079	7.03079	8.94597	9.81952	9.0892	9.73183	7.32849	6.05479	8.69699
alpha_rarefaction_109_5.txt	109	5	10.05172	11.64118	11.52902	11.40582	11.89229	10.12156	11.73169	10.29011	7.79976	11.5787	8.82869	10.11201	9.26729	9.45711	11.54911	12.16914	12.16534	9.56783	10.31447	10.5403	11.22877	12.41774	10.43075	11.04518	9.21986	11.2428	7.52753	10.1039	9.86619	10.09679	9.24911	12.14392	6.40448	10.76231	7.01911	7.11743	8.48042	6.43463	9.26258	9.46423	6.00897	6.93794	5.95597	7.19721	6.85852	10.58689	7.04542	7.04268	8.27764	10.67807	7.59158	12.08631	11.58902	8.57715	7.96704	7.01336	8.85715	8.07766	10.92828	9.91164	9.2761	9.24064	7.58887	9.10694
alpha_rarefaction_109_6.txt	109	6	10.2029	10.58051	11.68097	9.55106	9.5926	9.24876	10.91703	9.25377	10.49765	11.10478	10.53106	10.23626	9.08421	10.36541	10.76736	10.69403	13.88043	9.10549	10.86368	9.98647	10.91866	11.49784	11.01729	11.74701	8.83271	10.53119	10.13677	10.80406	10.84732	11.98214	8.35898	11.4137	7.38027	10.39041	6.27395	6.54852	7.68343	7.17198	9.70036	9.28295	5.84736	10.20612	5.33989	6.66132	5.76109	8.39728	6.85293	6.03957	7.22775	7.38627	7.20521	12.886	11.14042	7.54816	7.11628	6.25096	9.03812	9.69139	12.15804	10.35123	8.8769	8.80678	5.58434	8.38834
alpha_rarefaction_109_7.txt	109	7	10.83324	10.54835	10.93427	9.21507	8.60155	10.0033	12.92172	9.26966	9.448	11.92817	11.07113	11.43818	9.42879	10.4113	12.69155	12.34755	12.66881	9.57043	10.77624	9.58675	10.70559	12.22764	9.74007	12.1024	9.04048	10.87405	8.37956	11.16333	9.78489	10.42301	9.32081	11.34122	7.14938	10.07306	7.06428	8.4172	7.64695	7.31403	9.91039	10.31193	6.88307	6.91026	5.58741	7.20459	6.90073	7.82359	6.97161	7.42318	8.92493	8.28527	7.13498	12.05283	10.2422	9.14934	8.05802	6.34223	7.96027	9.50966	10.25962	9.07099	10.36758	9.41509	6.60932	9.5975
alpha_rarefaction_109_8.txt	109	8	8.72929	9.66376	13.36819	9.86297	10.50372	11.03969	11.9089	8.24304	10.1913	12.32978	10.46602	11.80798	7.89292	10.73777	9.90659	11.26554	10.62815	7.52552	12.48567	8.55113	11.75877	12.00495	9.48593	11.90313	8.64552	11.88272	7.75117	12.84277	10.78013	8.45859	8.88462	13.20418	8.11015	10.09809	7.46922	7.40137	8.78566	6.26195	9.90896	17.00489	5.93317	7.20797	5.63722	7.05539	5.97628	17.20959	6.76004	7.52608	6.67165	8.42138	6.87584	12.21838	11.43719	8.20846	10.2131	6.23857	8.05731	7.74006	10.57458	9.44721	9.25582	8.10116	6.01804	8.1299
alpha_rarefaction_109_9.txt	109	9	9.31801	10.16583	11.73016	9.92313	8.85878	11.74085	10.59798	10.61371	9.95946	11.54456	10.51356	12.04002	9.61616	11.5939	12.33589	11.62798	12.87446	9.49159	11.39886	9.52426	11.32849	11.2275	10.08453	10.17303	10.99719	12.63561	7.85947	10.50855	11.08112	9.71156	9.11338	12.03351	6.68819	10.61941	5.17755	7.11008	9.21068	6.38176	8.65972	9.35764	6.51283	7.76221	6.29165	7.44705	5.61625	9.55218	6.7002	5.86843	8.14813	8.84348	8.32162	11.82763	11.43957	7.81032	8.27742	6.48455	7.63752	9.29701	9.9529	9.49971	8.9148	7.95417	6.49052	7.80169
alpha_rarefaction_208_0.txt	208	0	13.17601	14.47054	17.1358	14.40272	15.17802	14.13803	14.961	12.19253	15.18985	17.0879	12.65761	13.38916	13.1929	14.4943	14.83997	14.69858	16.10812	10.54387	15.19378	13.13103	16.92243	16.37264	14.4316	14.41045	12.01744	15.95439	10.63126	15.25718	13.60854	11.71964	12.24239	14.29874	9.60578	11.90307	7.62759	11.17816	12.29581	7.9437	14.55887	12.86513	8.35349	11.78169	6.16624	9.42428	7.9149	20.59913	8.42078	6.59935	8.61014	11.19781	7.93961	16.18594	14.39378	11.05937	12.62373	6.97579	10.82146	11.69643	14.15732	13.14828	13.6448	11.61355	16.53132	10.66995
alpha_rarefaction_208_1.txt	208	1	12.24484	14.40187	16.14456	13.10442	13.56965	14.79103	15.90295	13.64561	13.83088	16.80746	14.8518	15.62532	11.96577	15.69041	15.1384	15.42761	16.21977	10.69815	15.96409	13.74331	15.6195	14.76888	14.38851	15.55235	11.82464	16.53135	9.78062	14.99259	14.57995	14.49793	12.70243	15.55485	8.35845	13.05328	7.02574	11.60909	10.43419	7.96512	16.02575	14.19285	8.83278	9.13788	7.02029	9.95845	7.02742	11.41269	8.70814	9.35415	9.25795	11.87307	18.70796	16.63972	15.19582	10.56956	10.84741	8.81177	10.28579	12.19439	14.47847	13.33363	13.16483	13.37205	9.89539	11.28677
alpha_rarefaction_208_2.txt	208	2	12.92417	13.70752	16.04473	13.54022	14.39608	12.9956	16.45253	13.43321	14.23844	15.20759	13.44928	15.36756	11.70825	15.1009	14.28821	15.94687	16.76703	12.2312	13.88157	12.22685	14.47983	16.18027	14.15089	14.92486	12.15973	15.91495	12.82378	13.60965	13.20174	12.33788	13.10506	16.99732	9.24179	11.12016	7.20794	11.00372	13.26087	7.08146	13.49204	12.67244	8.20041	11.10589	6.41993	8.16141	7.47314	11.46318	8.46308	7.71004	9.57172	11.66405	18.95375	16.5025	14.1615	11.10973	11.80898	8.03756	10.21718	12.23014	13.49926	11.2761	11.72741	12.19622	9.366	11.89538
alpha_rarefaction_208_3.txt	208	3	13.10867	13.93091	16.46681	14.68772	14.00145	13.70914	14.98553	12.55227	12.18694	14.7397	13.47482	13.76588	12.92986	15.60546	16.24002	14.93652	14.67336	12.0748	15.77883	11.73365	14.70007	17.11501	13.44799	16.00797	12.90173	14.46672	11.93321	14.86964	13.12968	12.57335	11.22941	15.68017	10.69497	13.10295	8.95901	10.92213	9.95384	7.80366	13.99561	13.09311	8.06706	9.51623	6.87542	8.57106	7.30957	12.12376	9.65069	7.91461	8.18647	12.98733	9.912	16.57963	15.01917	11.06239	11.65025	9.91574	11.79082	14.5678	14.82838	13.00231	12.86431	11.73155	8.26974	11.55708
alpha_rarefaction_208_4.txt	208	4	13.05969	14.13772	15.63804	14.81501	15.34103	15.24332	15.44408	14.22732	11.96358	16.36092	14.06594	13.69082	13.09033	15.40413	14.53464	16.41011	17.64591	12.76465	15.27224	13.05921	14.68766	16.64542	13.75663	15.47838	12.2878	15.83905	10.70268	13.70808	13.58671	12.2385	11.82809	15.22698	10.90195	12.40024	8.5163	12.41404	10.92609	7.72378	15.45804	12.97704	8.77255	9.57752	7.12047	9.51524	7.55662	12.99018	8.04951	8.67993	10.15371	11.35601	8.94949	16.45202	15.53639	10.01927	10.39286	8.10024	10.70037	13.71386	13.90847	12.15712	10.97931	12.04918	8.72938	10.60959
alpha_rarefaction_208_5.txt	208	5	13.40325	15.04228	15.88368	13.39816	15.16043	15.79495	14.70007	12.83553	14.93275	17.02428	12.70517	12.14425	13.31686	14.33947	15.09129	15.02798	15.9499	12.56913	13.66082	11.39399	15.9497	17.3085	14.11475	14.11636	11.51551	15.39032	11.3798	14.22869	14.57146	12.51718	12.95278	16.46899	9.35347	12.58912	8.34222	10.86746	11.73767	8.13763	14.90757	13.28614	8.46201	11.75303	7.81356	8.54831	6.58835	11.85277	7.47615	8.15303	8.8164	12.18148	10.49319	16.28071	13.95801	11.34313	12.63198	8.82941	10.98143	13.56891	14.72161	12.50951	13.3483	13.8467	8.36314	11.45451
alpha_rarefaction_208_6.txt	208	6	14.06545	14.38566	16.47259	14.22403	14.1586	13.67516	15.51461	13.4583	13.83008	15.78427	13.41177	16.02	13.88742	13.86329	14.85518	14.07478	15.45587	9.42497	15.37507	13.49349	14.17982	16.61634	13.74433	14.59689	21.03591	15.80079	11.64549	15.4733	14.65558	13.74614	11.17318	15.46517	9.56846	10.52898	8.41913	11.15239	10.8239	7.1735	12.74498	12.37866	7.56295	10.66737	7.08011	9.05082	7.61903	12.15298	8.79336	8.32655	9.7228	9.15788	9.89758	16.54673	14.78286	18.44989	12.78876	8.55483	11.25778	12.24091	14.69221	13.88989	12.77426	11.50479	8.72486	11.99056
