	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112523	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112479	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112494	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112528	SAMPLE_112532
SAMPLE_112509	0.0	0.3565706	0.29206477	0.19154862	0.23006675	0.25616712	0.33443686	0.22043909	0.32745174	0.21414301	0.26592316	0.28978033	0.41798235	0.24642201	0.33760087	0.27119444	0.50212605	0.51095478	0.34608858	0.53882815	0.52805203	0.54048395	0.55418157	0.52304925	0.49218013	0.53146421	0.52109598	0.53374376	0.53731085	0.17575784	0.45622186	0.44853005	0.21433965	0.32447415	0.36372989	0.26639524	0.28123157	0.344022	0.24118873	0.43531903	0.21103867	0.16997789	0.18631339	0.30219398	0.45952131	0.21322408	0.21377036	0.55431797	0.55692057	0.53657333	0.57323863	0.40301717	0.35477648	0.42956717	0.32624074	0.37229707	0.4828238	0.50164736	0.42583639	0.41769171	0.31172712	0.54384342	0.21477249	0.27098396
SAMPLE_112508	0.3565706	0.0	0.38217979	0.35543696	0.23390263	0.295727	0.39811868	0.37144723	0.38844288	0.36171247	0.4240518	0.48666563	0.60047403	0.47105609	0.37360939	0.40904452	0.69802113	0.68205842	0.46243184	0.72530399	0.69558503	0.69719455	0.71384029	0.68999279	0.67585645	0.68164387	0.66321814	0.69745384	0.70106837	0.32928934	0.64850958	0.58401639	0.29759723	0.37618797	0.41135117	0.22498466	0.32578351	0.49032074	0.45127817	0.53657673	0.35693033	0.28653433	0.26597363	0.34554608	0.52539995	0.23748496	0.2091931	0.72373737	0.71727415	0.69937937	0.74015627	0.50937173	0.4918835	0.60212657	0.52595338	0.40615909	0.65400388	0.67072526	0.62322289	0.61473915	0.49620704	0.70095424	0.34609037	0.41347434
SAMPLE_112525	0.29206477	0.38217979	0.0	0.18074803	0.19997568	0.17559497	0.21656145	0.27736288	0.37930913	0.28777634	0.33387319	0.3814553	0.54737516	0.40083092	0.37998292	0.27148839	0.60056688	0.61646109	0.51443141	0.64959364	0.63313228	0.64234648	0.65610792	0.62960648	0.59613316	0.63096934	0.62133169	0.63972227	0.64200292	0.29294753	0.55646293	0.55989704	0.3474405	0.2786421	0.3064638	0.22811241	0.4349051	0.47596777	0.37031108	0.49276338	0.41364656	0.30576908	0.27270248	0.22047991	0.37531884	0.22680589	0.32138001	0.65887296	0.66094488	0.64118286	0.67634688	0.56217434	0.48608405	0.46204964	0.46090721	0.48771168	0.57896339	0.60955303	0.50623896	0.52762762	0.46284987	0.64154237	0.27724522	0.48988489
SAMPLE_112524	0.19154862	0.35543696	0.18074803	0.0	0.19296885	0.22457918	0.25490808	0.21540741	0.32103952	0.23273819	0.27231084	0.30897067	0.44002923	0.29104709	0.33516477	0.25288404	0.52570523	0.52523834	0.3991717	0.56548573	0.54992295	0.55526065	0.56855363	0.54640217	0.51234241	0.54808925	0.55221054	0.55492426	0.55668049	0.20698484	0.48164664	0.46545485	0.27904879	0.27219779	0.28575445	0.2457743	0.31834879	0.37980472	0.28803423	0.45442575	0.31487115	0.21232139	0.21743125	0.24567522	0.40376971	0.22607672	0.2649316	0.57139447	0.57609311	0.55948343	0.59397137	0.47007989	0.37734528	0.43708015	0.34247894	0.39911475	0.4936824	0.52349632	0.44948731	0.44186131	0.36560226	0.55736618	0.22627471	0.37667548
SAMPLE_112523	0.23006675	0.23390263	0.19997568	0.19296885	0.0	0.12960901	0.23188941	0.22698132	0.34276977	0.21356334	0.27865631	0.33946344	0.5189957	0.34261372	0.34888372	0.21647625	0.59269128	0.60929689	0.41363729	0.64353522	0.62549102	0.63643562	0.65199666	0.6238376	0.59122878	0.6254566	0.60483237	0.63282789	0.63675484	0.23973099	0.54565595	0.53903716	0.23741264	0.24370954	0.28312844	0.16395451	0.32625608	0.43933429	0.31902638	0.460003	0.31518666	0.22244848	0.14395168	0.19995877	0.37159166	0.14490317	0.17728675	0.65476514	0.6556896	0.63644162	0.67142102	0.50059632	0.43054261	0.4648178	0.41318779	0.42677704	0.57177121	0.60266119	0.50056568	0.50857642	0.42550377	0.64022023	0.22213026	0.38227173
SAMPLE_112522	0.25616712	0.295727	0.17559497	0.22457918	0.12960901	0.0	0.18212282	0.23505217	0.38588622	0.26217325	0.32373416	0.36927113	0.53461179	0.38141531	0.38561231	0.25188826	0.61566529	0.63807694	0.48119174	0.65878263	0.64540017	0.65688843	0.67193467	0.64490859	0.61044683	0.64381187	0.63336794	0.64850818	0.65666627	0.3055969	0.56858696	0.56810619	0.27696439	0.25691885	0.25633493	0.17324108	0.41485639	0.47690456	0.35863571	0.48073389	0.36498561	0.28541257	0.21816077	0.21221202	0.32712279	0.18453922	0.26381242	0.67294789	0.67483117	0.65598481	0.69069441	0.54304245	0.45392874	0.48930769	0.45378976	0.47934351	0.59345684	0.6202346	0.52953601	0.54403625	0.46132308	0.66476204	0.28155717	0.44193938
SAMPLE_112521	0.33443686	0.39811868	0.21656145	0.25490808	0.23188941	0.18212282	0.0	0.29020195	0.43791164	0.29296567	0.37517862	0.43046861	0.57377201	0.39915937	0.44023427	0.28081186	0.62676075	0.63613174	0.55097516	0.67569403	0.65701303	0.66739651	0.67956859	0.65578927	0.61924791	0.65591617	0.6602914	0.65955908	0.66428269	0.3725094	0.58121256	0.58090017	0.36406583	0.28173229	0.25110265	0.23808702	0.46598153	0.50746522	0.39270599	0.52452251	0.46309655	0.35641041	0.31087441	0.22638182	0.36821309	0.2655731	0.36348458	0.68025529	0.68570095	0.66643429	0.69723195	0.59259791	0.5158978	0.47908115	0.49072732	0.53842335	0.6115059	0.63304868	0.52335867	0.53555941	0.48682092	0.67381638	0.33322501	0.52517318
SAMPLE_112520	0.22043909	0.37144723	0.27736288	0.21540741	0.22698132	0.23505217	0.29020195	0.0	0.37946355	0.26682896	0.30383775	0.3141848	0.45615174	0.32435744	0.3905814	0.26035055	0.54370242	0.54898847	0.42500925	0.57535978	0.56683758	0.5822851	0.58292172	0.57374768	0.5267113	0.58038418	0.58588627	0.57153345	0.5804316	0.24129723	0.48993141	0.4994554	0.28736414	0.24300238	0.30724404	0.27973633	0.37340052	0.41101225	0.28736582	0.44040712	0.32059354	0.25390728	0.2299587	0.29906813	0.4097464	0.23719789	0.26704971	0.58486154	0.58738262	0.58394794	0.60332042	0.49226002	0.39906229	0.4403615	0.36922623	0.43562014	0.51775993	0.53994533	0.46248628	0.45739048	0.38000893	0.57709653	0.22487448	0.38280963
SAMPLE_112501	0.32745174	0.38844288	0.37930913	0.32103952	0.34276977	0.38588622	0.43791164	0.37946355	0.0	0.30843379	0.25504624	0.29062519	0.28630115	0.32453957	0.12036215	0.3834614	0.37088433	0.32676776	0.34555358	0.40708525	0.39636003	0.37748497	0.38607385	0.37075889	0.35756209	0.36278451	0.38745884	0.39121294	0.37896611	0.36141124	0.3285908	0.28758973	0.38005193	0.32887471	0.41985361	0.41208554	0.31232941	0.25524012	0.33854211	0.45066563	0.27382807	0.33785671	0.27829323	0.37303766	0.51636647	0.3726467	0.30849484	0.38992163	0.40132239	0.37719889	0.42479339	0.35203863	0.23242162	0.41916195	0.2517758	0.28299775	0.31457662	0.33735322	0.32553497	0.29582119	0.27625372	0.3714435	0.39407523	0.34730452
SAMPLE_112500	0.21414301	0.36171247	0.28777634	0.23273819	0.21356334	0.26217325	0.29296567	0.26682896	0.30843379	0.0	0.15894587	0.25227394	0.43060166	0.17940522	0.32692056	0.16309281	0.49251682	0.51272633	0.38114291	0.5554889	0.5354572	0.55078092	0.56493114	0.53639352	0.49611964	0.53673734	0.55504961	0.54422867	0.5498448	0.26685319	0.44131383	0.45369	0.26093808	0.29461808	0.29742408	0.29493529	0.31065832	0.35864331	0.19379548	0.4035865	0.30632688	0.25828622	0.19331796	0.19622319	0.40640884	0.26220433	0.25576021	0.56591122	0.56783424	0.54804808	0.58434802	0.45054888	0.37068333	0.30312342	0.32280595	0.38676726	0.48481363	0.51517975	0.34481622	0.40061962	0.32287599	0.55723305	0.24971326	0.35892037
