	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112523	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112479	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112494	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112528	SAMPLE_112532
SAMPLE_112503	0.26592316	0.4240518	0.33387319	0.27231084	0.27865631	0.32373416	0.37517862	0.30383775	0.25504624	0.15894587	0.0	0.20019411	0.34937781	0.20087875	0.27507663	0.22201606	0.41088569	0.43030384	0.34962962	0.47398387	0.46275693	0.48593945	0.48185617	0.46973021	0.41555969	0.47991453	0.4898776	0.47528686	0.48104923	0.32351372	0.36138222	0.39425339	0.34620939	0.30239609	0.34342993	0.37368374	0.31317713	0.30895666	0.18170175	0.38554895	0.32033919	0.32410857	0.21803273	0.25600092	0.45119205	0.33616668	0.2969176	0.48571363	0.48777321	0.48406063	0.50715825	0.42672459	0.30077932	0.28781119	0.23480666	0.33964751	0.4063418	0.42840322	0.28135507	0.31956275	0.27931664	0.47221982	0.32109813	0.35024756
SAMPLE_112502	0.28978033	0.48666563	0.3814553	0.30897067	0.33946344	0.36927113	0.43046861	0.3141848	0.29062519	0.25227394	0.20019411	0.0	0.29965604	0.26910242	0.3261823	0.25657721	0.36597954	0.37893023	0.36983441	0.46323672	0.46464254	0.48716208	0.46755692	0.47580452	0.41327776	0.4835068	0.49238913	0.47780483	0.47222462	0.35180339	0.32581257	0.40093774	0.39024252	0.36023452	0.34196108	0.42360845	0.32958744	0.33229973	0.1838173	0.34691656	0.32283958	0.33695586	0.30451412	0.37098297	0.4097019	0.38190331	0.35119813	0.46682512	0.46441298	0.47271764	0.47444434	0.44106572	0.29220837	0.28592696	0.20175141	0.37276876	0.35759031	0.40974349	0.28370086	0.29543888	0.28638237	0.45425487	0.33885436	0.36604055
SAMPLE_112505	0.41798235	0.60047403	0.54737516	0.44002923	0.5189957	0.53461179	0.57377201	0.45615174	0.28630115	0.43060166	0.34937781	0.29965604	0.0	0.36407888	0.33358142	0.45527333	0.26860066	0.24932407	0.33761051	0.28210618	0.35498468	0.35606186	0.32857044	0.3418507	0.315122	0.35766692	0.35829337	0.31499113	0.3342926	0.46351053	0.25754627	0.28013118	0.4979049	0.45483452	0.49312848	0.57551077	0.37784114	0.30343033	0.35295356	0.46595214	0.3218676	0.4592089	0.456282	0.54323731	0.56801956	0.52806863	0.49122005	0.3124755	0.33808522	0.33453124	0.32758148	0.41089768	0.18685647	0.44570588	0.20683867	0.3579461	0.20310011	0.24220921	0.30833928	0.24180992	0.31183791	0.31087823	0.4937246	0.36135017
SAMPLE_112504	0.24642201	0.47105609	0.40083092	0.29104709	0.34261372	0.38141531	0.39915937	0.32435744	0.32453957	0.17940522	0.20087875	0.26910242	0.36407888	0.0	0.350585	0.24114825	0.43942006	0.44113955	0.35178049	0.49138002	0.48829454	0.506083	0.49593384	0.50456634	0.4432374	0.49380856	0.52051305	0.48762915	0.51121572	0.31721129	0.38180087	0.42339936	0.32055778	0.33899782	0.35812586	0.40126325	0.32778894	0.34196017	0.19071702	0.3936409	0.31460542	0.32919814	0.27477238	0.29521105	0.47220152	0.36554455	0.34823329	0.49294992	0.50032174	0.51702692	0.51778062	0.41492876	0.36704317	0.29522332	0.27443045	0.38554574	0.42648853	0.45540887	0.2776977	0.33200436	0.28761703	0.49018701	0.3075743	0.33590363
SAMPLE_112507	0.33760087	0.37360939	0.37998292	0.33516477	0.34888372	0.38561231	0.44023427	0.3905814	0.12036215	0.32692056	0.27507663	0.3261823	0.33358142	0.350585	0.0	0.39919081	0.42104356	0.38099151	0.37982397	0.44236238	0.4426223	0.42395534	0.4326923	0.41807574	0.4112557	0.40598148	0.42745233	0.42455943	0.42085112	0.37146391	0.38645689	0.33637402	0.38728916	0.34077218	0.43373186	0.40736013	0.3383818	0.30803669	0.37074926	0.48797334	0.31924276	0.34001308	0.27787026	0.38027901	0.51521856	0.37139605	0.29909857	0.43142348	0.4459668	0.42475242	0.464873	0.39611546	0.27215275	0.44163772	0.31239329	0.31156644	0.35114743	0.38116453	0.38147118	0.35834096	0.32433991	0.42231601	0.40665526	0.37579617
SAMPLE_112506	0.27119444	0.40904452	0.27148839	0.25288404	0.21647625	0.25188826	0.28081186	0.26035055	0.3834614	0.16309281	0.22201606	0.25657721	0.45527333	0.24114825	0.39919081	0.0	0.53426633	0.54660456	0.47654142	0.60090545	0.59818805	0.61934491	0.60973803	0.61233043	0.55899409	0.61677167	0.63245114	0.60186624	0.62032897	0.31939326	0.4838185	0.53701621	0.30769819	0.25167747	0.23377075	0.30925144	0.39806765	0.44826946	0.21125363	0.38389427	0.39358233	0.30962063	0.22609847	0.17687824	0.30102695	0.28125286	0.29010008	0.60728491	0.60115135	0.62331393	0.61959759	0.54199153	0.45472762	0.31881517	0.3613687	0.47706023	0.51219484	0.55816604	0.38649865	0.44301031	0.40501102	0.6006959	0.28436095	0.4500755
SAMPLE_112488	0.50212605	0.69802113	0.60056688	0.52570523	0.59269128	0.61566529	0.62676075	0.54370242	0.37088433	0.49251682	0.41088569	0.36597954	0.26860066	0.43942006	0.42104356	0.53426633	0.0	0.16080789	0.39634985	0.29549612	0.24004886	0.27320198	0.2495114	0.2706555	0.2266441	0.2781986	0.29833891	0.30312465	0.26551486	0.55274169	0.17375273	0.25737838	0.60142836	0.52601642	0.54197174	0.66482535	0.47788036	0.29934321	0.40892362	0.45760524	0.44405904	0.56152502	0.5522676	0.59697651	0.5965694	0.62176563	0.59610065	0.27713548	0.20950968	0.27470034	0.28246312	0.40319778	0.29773459	0.43772698	0.28160703	0.38465812	0.24896329	0.21418841	0.26518934	0.1847842	0.30185663	0.23238165	0.5559678	0.44866405
SAMPLE_112489	0.51095478	0.68205842	0.61646109	0.52523834	0.60929689	0.63807694	0.63613174	0.54898847	0.32676776	0.51272633	0.43030384	0.37893023	0.24932407	0.44113955	0.38099151	0.54660456	0.16080789	0.0	0.38037152	0.26831357	0.25259143	0.23198167	0.20395641	0.24477411	0.24201087	0.24857819	0.28395886	0.2697962	0.22818131	0.54607258	0.19105644	0.23085495	0.58932917	0.53444123	0.56281105	0.65881732	0.45462237	0.29220874	0.42206585	0.47963141	0.42843851	0.54586443	0.54680121	0.61017126	0.64382673	0.6169109	0.57839406	0.22620977	0.19313413	0.23789613	0.24144001	0.38143371	0.2958102	0.47795753	0.28501822	0.36310123	0.23317768	0.17563174	0.26422181	0.19805445	0.32714322	0.1879564	0.56644665	0.4266606
SAMPLE_112533	0.34608858	0.46243184	0.51443141	0.3991717	0.41363729	0.48119174	0.55097516	0.42500925	0.34555358	0.38114291	0.34962962	0.36983441	0.33761051	0.35178049	0.37982397	0.47654142	0.39634985	0.38037152	0.0	0.38986011	0.39444665	0.38989269	0.38704341	0.38207963	0.38486053	0.38602655	0.35510742	0.3886296	0.38787905	0.33833218	0.33497724	0.28817827	0.33147275	0.50062091	0.53099887	0.44983496	0.22265595	0.2650478	0.34698687	0.38804123	0.24502389	0.32707579	0.36289031	0.48832954	0.65430965	0.41396324	0.36574722	0.39717355	0.40841001	0.38905999	0.40053403	0.24661013	0.2407499	0.50788003	0.30179398	0.25653141	0.4295984	0.39249758	0.35661253	0.32524959	0.31737484	0.37737168	0.36626291	0.15950422
SAMPLE_112480	0.53882815	0.72530399	0.64959364	0.56548573	0.64353522	0.65878263	0.67569403	0.57535978	0.40708525	0.5554889	0.47398387	0.46323672	0.28210618	0.49138002	0.44236238	0.60090545	0.29549612	0.26831357	0.38986011	0.0	0.27445622	0.2419158	0.20404352	0.2512242	0.25996996	0.2792662	0.23846857	0.13158467	0.186581	0.58073519	0.25413911	0.2773986	0.61305338	0.5870393	0.63622032	0.69234557	0.48546138	0.36558743	0.4916903	0.5688259	0.44750714	0.57571158	0.58436512	0.65343589	0.71286274	0.64655507	0.60956085	0.12885376	0.2158334	0.1970032	0.16961712	0.4277704	0.28886469	0.5777799	0.35801845	0.4383236	0.34760177	0.22009425	0.39222674	0.29763244	0.37290673	0.21012075	0.60151442	0.43660819
SAMPLE_112481	0.52805203	0.69558503	0.63313228	0.54992295	0.62549102	0.64540017	0.65701303	0.56683758	0.39636003	0.5354572	0.46275693	0.46464254	0.35498468	0.48829454	0.4426223	0.59818805	0.24004886	0.25259143	0.39444665	0.27445622	0.0	0.1123849	0.21232928	0.1143954	0.13651902	0.11417928	0.16852189	0.26150935	0.15740216	0.55950427	0.25296587	0.27298458	0.60506154	0.57375444	0.61461812	0.66677715	0.4873894	0.31244995	0.48635314	0.5201845	0.44683064	0.5606186	0.57085566	0.63178861	0.70954066	0.62495421	0.58990215	0.25729262	0.15637594	0.15545308	0.28870606	0.39137258	0.32324683	0.55975926	0.37401899	0.36183336	0.39416495	0.20236845	0.3491925	0.27474742	0.34955105	0.23820979	0.58170684	0.44526155
SAMPLE_112482	0.54048395	0.69719455	0.64234648	0.55526065	0.63643562	0.65688843	0.66739651	0.5822851	0.37748497	0.55078092	0.48593945	0.48716208	0.35606186	0.506083	0.42395534	0.61934491	0.27320198	0.23198167	0.38989269	0.2419158	0.1123849	0.0	0.17544374	0.11079132	0.14219636	0.10298982	0.14535089	0.22793389	0.12151372	0.57079891	0.25536593	0.22497748	0.61232666	0.5931513	0.6343378	0.67756469	0.47308494	0.32264725	0.51057634	0.53688428	0.44808638	0.56207864	0.57913156	0.64486215	0.72760464	0.63637915	0.59787395	0.21221432	0.14558596	0.13003418	0.24777292	0.37181998	0.32443801	0.57577134	0.38443239	0.34964324	0.37389641	0.19755655	0.34786714	0.28446604	0.36965765	0.20926593	0.59465546	0.43595825
SAMPLE_112483	0.55418157	0.71384029	0.65610792	0.56855363	0.65199666	0.67193467	0.67956859	0.58292172	0.38607385	0.56493114	0.48185617	0.46755692	0.32857044	0.49593384	0.4326923	0.60973803	0.2495114	0.20395641	0.38704341	0.20404352	0.21232928	0.17544374	0.0	0.20445058	0.22701124	0.21505164	0.20587191	0.21132827	0.16044758	0.58488741	0.22424973	0.20505672	0.62202504	0.58590922	0.61685948	0.69167395	0.47756054	0.33455825	0.5023064	0.52155702	0.45884374	0.57531154	0.5924297	0.65756733	0.71864374	0.65224143	0.61544857	0.16188262	0.15374516	0.16250624	0.14176356	0.37392868	0.32268213	0.56521034	0.36598023	0.36940752	0.33950811	0.19399715	0.34396716	0.27576416	0.37204765	0.11705291	0.61004956	0.43723401
SAMPLE_112484	0.52304925	0.68999279	0.62960648	0.54640217	0.6238376	0.64490859	0.65578927	0.57374768	0.37075889	0.53639352	0.46973021	0.47580452	0.3418507	0.50456634	0.41807574	0.61233043	0.2706555	0.24477411	0.38207963	0.2512242	0.1143954	0.11079132	0.20445058	0.0	0.14841628	0.10489518	0.13857873	0.23977853	0.13637108	0.55741459	0.24537159	0.2581085	0.6015554	0.5851525	0.6267577	0.66682959	0.47707846	0.29794185	0.50127232	0.53162742	0.43373496	0.5546136	0.5656665	0.63041547	0.72247004	0.62556191	0.58821015	0.2430881	0.17763592	0.11659394	0.2796768	0.37881186	0.29519991	0.56882702	0.38200069	0.3502097	0.38112971	0.19482971	0.34651604	0.28525218	0.34908441	0.22591753	0.58194948	0.43782135
SAMPLE_112485	0.49218013	0.67585645	0.59613316	0.51234241	0.59122878	0.61044683	0.61924791	0.5267113	0.35756209	0.49611964	0.41555969	0.41327776	0.315122	0.4432374	0.4112557	0.55899409	0.2266441	0.24201087	0.38486053	0.25996996	0.13651902	0.14219636	0.22701124	0.14841628	0.0	0.14569392	0.17184179	0.27159781	0.1605554	0.52963201	0.21085109	0.25982504	0.5811742	0.53794984	0.57713574	0.64184315	0.4606555	0.29621473	0.43272846	0.4782972	0.4277122	0.53942552	0.5286198	0.58924699	0.67229026	0.59808897	0.57039507	0.27234314	0.19566736	0.16534012	0.2965127	0.37581672	0.28856319	0.5100831	0.30999893	0.34001596	0.37529405	0.18918709	0.28659782	0.20721276	0.30364685	0.24317207	0.54137554	0.43198403
SAMPLE_112486	0.53146421	0.68164387	0.63096934	0.54808925	0.6254566	0.64381187	0.65591617	0.58038418	0.36278451	0.53673734	0.47991453	0.4835068	0.35766692	0.49380856	0.40598148	0.61677167	0.2781986	0.24857819	0.38602655	0.2792662	0.11417928	0.10298982	0.21505164	0.10489518	0.14569392	0.0	0.16419831	0.25101343	0.1572058	0.55848955	0.26169215	0.24343842	0.5937775	0.58707224	0.62831676	0.66602283	0.46322858	0.30758659	0.50158386	0.52247488	0.4383087	0.55474064	0.5690805	0.62405289	0.72476138	0.62736807	0.59128713	0.25398246	0.19138348	0.14906266	0.29457704	0.3599761	0.31143425	0.56108994	0.38121291	0.34251294	0.38608653	0.21542201	0.33268626	0.27922022	0.35614693	0.23792819	0.58060418	0.43091105
SAMPLE_112487	0.52109598	0.66321814	0.62133169	0.55221054	0.60483237	0.63336794	0.6602914	0.58588627	0.38745884	0.55504961	0.4898776	0.49238913	0.35829337	0.52051305	0.42745233	0.63245114	0.29833891	0.28395886	0.35510742	0.23846857	0.16852189	0.14535089	0.20587191	0.13857873	0.17184179	0.16419831	0.0	0.23785836	0.13943513	0.53668162	0.2734846	0.26407309	0.58207659	0.59668099	0.64145589	0.6458949	0.44270949	0.32389372	0.52028221	0.54232985	0.40262445	0.53417399	0.54815545	0.6384011	0.74205453	0.60903542	0.56935142	0.24603197	0.18580137	0.12155769	0.27192699	0.36964415	0.29215082	0.59166393	0.40674384	0.32086607	0.42461294	0.21754312	0.38133765	0.30982255	0.37889846	0.22765672	0.56356603	0.4085016
SAMPLE_112479	0.53374376	0.69745384	0.63972227	0.55492426	0.63282789	0.64850818	0.65955908	0.57153345	0.39121294	0.54422867	0.47528686	0.47780483	0.31499113	0.48762915	0.42455943	0.60186624	0.30312465	0.2697962	0.3886296	0.13158467	0.26150935	0.22793389	0.21132827	0.23977853	0.27159781	0.25101343	0.23785836	0.0	0.20114067	0.56679914	0.26111998	0.27643985	0.60461943	0.57955853	0.62383345	0.67396492	0.48305979	0.34964868	0.50051293	0.55179165	0.44291225	0.56914339	0.57601367	0.63546394	0.71070489	0.6336412	0.60061002	0.12616179	0.22881697	0.19570707	0.18694493	0.41493803	0.30632486	0.56616637	0.37409208	0.42812031	0.35341732	0.25517112	0.38236673	0.30869319	0.35554122	0.22905792	0.59147243	0.4310741
SAMPLE_112478	0.53731085	0.70106837	0.64200292	0.55668049	0.63675484	0.65666627	0.66428269	0.5804316	0.37896611	0.5498448	0.48104923	0.47222462	0.3342926	0.51121572	0.42085112	0.62032897	0.26551486	0.22818131	0.38787905	0.186581	0.15740216	0.12151372	0.16044758	0.13637108	0.1605554	0.1572058	0.13943513	0.20114067	0.0	0.57551607	0.23834659	0.23021454	0.6132115	0.59266716	0.6335774	0.67850395	0.47805878	0.31633473	0.50291894	0.54009686	0.44521768	0.56526726	0.57836596	0.64425003	0.72947164	0.63869527	0.60070579	0.18083224	0.12531698	0.08349276	0.216202	0.37741166	0.29589965	0.58033232	0.37307267	0.353194	0.37361803	0.17517825	0.35408982	0.26530808	0.36422807	0.17564555	0.59671936	0.43795035
SAMPLE_112538	0.17575784	0.32928934	0.29294753	0.20698484	0.23973099	0.3055969	0.3725094	0.24129723	0.36141124	0.26685319	0.32351372	0.35180339	0.46351053	0.31721129	0.37146391	0.31939326	0.55274169	0.54607258	0.33833218	0.58073519	0.55950427	0.57079891	0.58488741	0.55741459	0.52963201	0.55848955	0.53668162	0.56679914	0.57551607	0.0	0.51028416	0.47651621	0.23803125	0.36862767	0.40388143	0.24574006	0.24722339	0.37475666	0.30552109	0.45989493	0.22515249	0.12846489	0.22455405	0.3406556	0.52041511	0.21573924	0.20295632	0.58795327	0.59253853	0.56864607	0.60717165	0.42193287	0.38577274	0.47715263	0.3788815	0.36267551	0.53119476	0.53725186	0.47335931	0.47043575	0.3700683	0.5759778	0.15349371	0.27122264
SAMPLE_112527	0.45622186	0.64850958	0.55646293	0.48164664	0.54565595	0.56858696	0.58121256	0.48993141	0.3285908	0.44131383	0.36138222	0.32581257	0.25754627	0.38180087	0.38645689	0.4838185	0.17375273	0.19105644	0.33497724	0.25413911	0.25296587	0.25536593	0.22424973	0.24537159	0.21085109	0.26169215	0.2734846	0.26111998	0.23834659	0.51028416	0.0	0.20488223	0.54408491	0.48632921	0.49777591	0.61585986	0.42005845	0.25716426	0.34792597	0.39340027	0.40538767	0.51545009	0.50236333	0.53758002	0.59489929	0.5756172	0.54505972	0.24291179	0.22528529	0.23161167	0.25339701	0.34066719	0.26991266	0.41666145	0.24793356	0.34934553	0.31405848	0.208146	0.21824975	0.13587557	0.2533106	0.21590572	0.49321913	0.39408578
SAMPLE_112526	0.44853005	0.58401639	0.55989704	0.46545485	0.53903716	0.56810619	0.58090017	0.4994554	0.28758973	0.45369	0.39425339	0.40093774	0.28013118	0.42339936	0.33637402	0.53701621	0.25737838	0.23085495	0.28817827	0.2773986	0.27298458	0.22497748	0.20505672	0.2581085	0.25982504	0.24343842	0.26407309	0.27643985	0.23021454	0.47651621	0.20488223	0.0	0.5043609	0.51301396	0.53789704	0.57736741	0.35332702	0.24522531	0.41977948	0.43715218	0.36106122	0.4615813	0.48188484	0.55519915	0.65031838	0.54436969	0.50846541	0.24941914	0.25920152	0.23729314	0.24141392	0.30649906	0.23208099	0.50489452	0.28728015	0.26557356	0.32932695	0.22863371	0.31244376	0.21350932	0.30602799	0.18255053	0.50763702	0.33305639
