	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112523	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112479	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112494	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112528	SAMPLE_112532
SAMPLE_112509	0.0	0.643164368598	0.48502166293	0.472172325552	0.494648638985	0.651945211754	0.715143350271	0.648271804361	0.478477948284	0.541734160286	0.52438882807	0.457518110426	0.550301572356	0.516976264673	0.537848036889	0.534086506412	0.59480147058	0.583059233853	0.596816714859	0.706201692601	0.643318648421	0.682630222535	0.707450682533	0.615838816483	0.648736155564	0.649874132698	0.665831246561	0.695516224044	0.67209949546	0.625873888682	0.596557218601	0.637502425163	0.571499173989	0.561509144165	0.677854049007	0.649809559961	0.580048029157	0.570094748965	0.520989554131	0.659326202821	0.537457940631	0.495727145695	0.478761075829	0.61423542898	0.717615572564	0.506060370868	0.487395268288	0.695254968414	0.70559846304	0.675164415626	0.720842293762	0.726022701571	0.571279837083	0.497023049878	0.532689509499	0.612340234303	0.577203460983	0.591953126548	0.577000207741	0.571707629135	0.536863047152	0.654809696856	0.626346194334	0.563891482492
SAMPLE_112508	0.643164368598	0.0	0.5628038138	0.637159052823	0.536848985868	0.490309720021	0.488314633763	0.756278714104	0.662787554436	0.550805071352	0.641465494621	0.66467115874	0.729015452985	0.630903164893	0.632951809486	0.539720074604	0.762149383616	0.752606083818	0.738008698869	0.844591292876	0.808458324335	0.822370575534	0.842429717487	0.805813463811	0.774651014182	0.780542378888	0.810615295703	0.825125317452	0.837643776361	0.70138582671	0.778490945061	0.750184711608	0.575013552537	0.56690244687	0.520899592504	0.470154822856	0.652842044394	0.714068811897	0.66985615974	0.583512039673	0.710684957435	0.613628201536	0.572228356403	0.421447385423	0.429435505804	0.50564892785	0.585720700698	0.858347558109	0.86056053435	0.861432965772	0.862403365033	0.786008424116	0.735559344555	0.618547393675	0.726815772772	0.691278528632	0.743762860753	0.777556891767	0.72845065997	0.746722795086	0.727729323243	0.81094115766	0.740500855521	0.686668019986
SAMPLE_112525	0.48502166293	0.5628038138	0.0	0.406861867127	0.466040210559	0.543752373504	0.616265106069	0.606538676218	0.514444586067	0.491280143732	0.557972714177	0.513321538956	0.634405194	0.547417883034	0.567176131888	0.46869313324	0.659146694196	0.637800669745	0.655693198289	0.749552141884	0.680031620237	0.704444481696	0.757767591412	0.69245578496	0.656088127421	0.664908055987	0.706579328586	0.748594443454	0.720508334815	0.633102409568	0.656158466933	0.665160199312	0.57147992008	0.464025719702	0.581463013413	0.603127391271	0.626366484753	0.603431582509	0.532446652199	0.676419937138	0.572095815604	0.478255995903	0.497557646322	0.566603137425	0.606836159188	0.494026720855	0.520112586519	0.735923127209	0.736501308326	0.735302606545	0.761173874165	0.736236876878	0.624599167397	0.493788401896	0.609571016784	0.626588506756	0.627001702796	0.664356981458	0.599364969392	0.623147510884	0.611755521625	0.705703704084	0.601179227839	0.605455313058
SAMPLE_112524	0.472172325552	0.637159052823	0.406861867127	0.0	0.498529417327	0.609167092696	0.693691021093	0.620712789177	0.480474893855	0.525172660621	0.501772667165	0.483870151583	0.562632536559	0.495087879999	0.485305526325	0.517269136811	0.617401135235	0.568618663965	0.607227738762	0.704290366444	0.647697077969	0.639349824102	0.695727864612	0.638643293919	0.616437436376	0.63078432195	0.647533324039	0.702987114716	0.674378317257	0.646412213416	0.614156036117	0.622300416404	0.541408313451	0.536445721261	0.66151554652	0.666606578438	0.554437040063	0.587656113951	0.5141450892	0.657201570751	0.521781132905	0.443286645206	0.450229965767	0.636002683449	0.694714550177	0.520767583028	0.495510190053	0.691478013929	0.687092140199	0.70715161492	0.723901320472	0.69199934461	0.573895779419	0.498226330485	0.540639321543	0.558805992932	0.546725859968	0.618952373971	0.575315686357	0.59332816926	0.5672921747	0.654378333144	0.620541787219	0.532787923546
SAMPLE_112523	0.494648638985	0.536848985868	0.466040210559	0.498529417327	0.0	0.531012619845	0.554551875337	0.65731415818	0.56664175872	0.471905384609	0.5785956275	0.559518508102	0.664848806671	0.594462687722	0.612640855057	0.456233675728	0.690618754518	0.681316794864	0.683118487508	0.791708628245	0.718812260437	0.758102430708	0.794494728305	0.730184003143	0.717916786949	0.729172441897	0.743427648357	0.782913203519	0.762260483223	0.645510397004	0.704464714712	0.699377099911	0.561055247511	0.49068583942	0.566930280586	0.543657096848	0.646674519411	0.65820963649	0.572872175752	0.675168452303	0.613924310371	0.520234522205	0.488735828446	0.523144829529	0.577012451281	0.473566857211	0.49953961939	0.793262144165	0.793825526837	0.787581677397	0.798092951907	0.765402713858	0.676573378868	0.555661738169	0.638305394779	0.66117698787	0.662793328139	0.699819641361	0.633991231099	0.670525353944	0.637844816725	0.755178314602	0.668179517094	0.61901836312
SAMPLE_112522	0.651945211754	0.490309720021	0.543752373504	0.609167092696	0.531012619845	0.0	0.431994987306	0.717196717277	0.725512507927	0.652823827916	0.73529125696	0.73482075647	0.802813361242	0.731680135076	0.760966995459	0.562435247607	0.83307545701	0.825145784905	0.814817952911	0.89923624109	0.870292078889	0.886706706335	0.899698978347	0.866500901716	0.847361102132	0.855298101616	0.87361147072	0.889469294395	0.898392467497	0.706860226827	0.839561281731	0.842220905208	0.6052021241	0.50642527112	0.460530435975	0.48529810673	0.768976752363	0.792735642893	0.731896133537	0.734872143163	0.742061567411	0.616667902482	0.669078077676	0.545014549817	0.486266648974	0.570187809111	0.668075856513	0.91065634397	0.915971565904	0.910444017508	0.91694737874	0.869130650821	0.804140253513	0.72467513131	0.795790214432	0.800297826178	0.812360973856	0.828759933709	0.806149618799	0.815822571871	0.803474768011	0.871373203961	0.742009937825	0.759938632482
SAMPLE_112521	0.715143350271	0.488314633763	0.616265106069	0.693691021093	0.554551875337	0.431994987306	0.0	0.732234988437	0.749950426607	0.664193952708	0.749617842294	0.749781695612	0.807673574691	0.749384675554	0.770556972857	0.589682971747	0.831603486042	0.831700556054	0.823727069141	0.9155347557	0.879016357457	0.897529371652	0.91681860402	0.87911703078	0.855937162608	0.857346300179	0.887369743531	0.902108181498	0.902060635143	0.754391350732	0.846875970003	0.838137131213	0.644061465061	0.533138313658	0.451696472471	0.556187432839	0.780388960072	0.798633983288	0.740886365157	0.749588260998	0.78143155706	0.687351301098	0.706663156143	0.5121476442	0.434564212326	0.625072399315	0.711690265766	0.919274102189	0.935888637715	0.923782611274	0.929244645887	0.87099388923	0.809680755027	0.722053753837	0.803103523072	0.811977216214	0.818301164095	0.852438583279	0.806906701113	0.819859515475	0.793507600163	0.881975827061	0.769590609446	0.773232435636
SAMPLE_112520	0.648271804361	0.756278714104	0.606538676218	0.620712789177	0.65731415818	0.717196717277	0.732234988437	0.0	0.67853238761	0.674016442472	0.677179028813	0.665190928564	0.704843725271	0.702196846561	0.714675269911	0.657680205768	0.743258713591	0.741204535903	0.726807396281	0.808807133999	0.780155767332	0.786989304897	0.819199354218	0.756680745047	0.729420956848	0.782114123609	0.759144678879	0.807615842718	0.777783986383	0.421820579435	0.733120640996	0.765127118065	0.719740608315	0.662709962347	0.692920031864	0.743559024803	0.731466793019	0.728554638237	0.654291967838	0.790689600309	0.680152949989	0.650170114998	0.64330736849	0.731616616609	0.764924386508	0.677475527473	0.671110400162	0.799621697355	0.810784376638	0.803944963895	0.831540008759	0.818238146045	0.711191443278	0.666852150802	0.697132440966	0.733891062932	0.71533843951	0.741167767706	0.730003218662	0.694031371223	0.705701243441	0.782071911162	0.39745476331	0.709323169428
SAMPLE_112501	0.478477948284	0.662787554436	0.514444586067	0.480474893855	0.56664175872	0.725512507927	0.749950426607	0.67853238761	0.0	0.495298501842	0.486672026892	0.430344789655	0.443113876017	0.435164840218	0.431520368969	0.536403202259	0.521037991744	0.470841566732	0.562688233387	0.608415312561	0.57955932562	0.572676726257	0.620858884365	0.548505797042	0.542102251689	0.527090500345	0.575328288541	0.596292206271	0.593837324283	0.625742013774	0.507687941935	0.558789613608	0.610643200071	0.609843876181	0.724890544852	0.704032942284	0.525073511334	0.535851625555	0.459034326571	0.654896127441	0.464664497091	0.544850886505	0.462198614035	0.647237294669	0.714999157712	0.505071842796	0.501467739626	0.577663307437	0.617815204719	0.609538104752	0.67121786877	0.645031380169	0.485610442694	0.448932909198	0.47943888229	0.557513912086	0.443008405792	0.522061330547	0.485340887022	0.499616299251	0.489476442488	0.590125802688	0.624311082676	0.534698707753
SAMPLE_112500	0.541734160286	0.550805071352	0.491280143732	0.525172660621	0.471905384609	0.652823827916	0.664193952708	0.674016442472	0.495298501842	0.0	0.505827128932	0.436213556355	0.589423882102	0.503044493368	0.521299453619	0.470817463478	0.584631389909	0.568419613831	0.624023564551	0.710561067632	0.612726519584	0.648704644521	0.718005215947	0.633817310564	0.594519654577	0.621079092404	0.65329414939	0.689777800805	0.656894247294	0.642229996769	0.595801642191	0.63502549409	0.549478120797	0.558006686222	0.639974520393	0.637453235516	0.600322657366	0.566231734536	0.455203727906	0.625007774128	0.579935848905	0.543417306748	0.456465192759	0.547012193219	0.606363441905	0.487925584403	0.4734274849	0.684298723292	0.69564869055	0.689645454829	0.735973627641	0.702061684527	0.567849779783	0.472778341739	0.547859781734	0.579676338212	0.566553721631	0.600197321647	0.521765175719	0.558194850726	0.5604314192	0.662725923525	0.657953278012	0.549227058399
