	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_10_0.txt	10	0	7.0	4.0	6.0	6.0	9.0	8.0	7.0	6.0	4.0	7.0	6.0	6.0	5.0	2.0	3.0	6.0	2.0	5.0	3.0	4.0	3.0	5.0	4.0	4.0	2.0	5.0	7.0	6.0	3.0	6.0	3.0	5.0	5.0	6.0	4.0	5.0	5.0	5.0	6.0	5.0	5.0	4.0	3.0	7.0	4.0	6.0	4.0	4.0	5.0	5.0	5.0	6.0	3.0	4.0	4.0	6.0	4.0	5.0	4.0	4.0	2.0
alpha_rarefaction_10_1.txt	10	1	6.0	7.0	5.0	9.0	8.0	9.0	7.0	6.0	7.0	5.0	7.0	5.0	8.0	2.0	5.0	6.0	3.0	5.0	6.0	4.0	4.0	6.0	3.0	2.0	3.0	2.0	5.0	5.0	3.0	6.0	4.0	5.0	4.0	7.0	5.0	5.0	5.0	6.0	5.0	7.0	5.0	4.0	5.0	5.0	4.0	6.0	3.0	4.0	5.0	3.0	5.0	6.0	3.0	5.0	3.0	6.0	5.0	4.0	7.0	4.0	2.0
alpha_rarefaction_10_2.txt	10	2	6.0	6.0	6.0	6.0	7.0	8.0	7.0	4.0	5.0	4.0	7.0	6.0	5.0	4.0	3.0	7.0	3.0	4.0	5.0	2.0	4.0	5.0	4.0	5.0	3.0	5.0	5.0	6.0	3.0	5.0	5.0	4.0	4.0	6.0	5.0	6.0	7.0	5.0	5.0	1.0	4.0	1.0	6.0	5.0	5.0	5.0	5.0	3.0	5.0	3.0	7.0	6.0	5.0	5.0	3.0	3.0	5.0	6.0	3.0	5.0	2.0
alpha_rarefaction_10_3.txt	10	3	8.0	6.0	6.0	6.0	6.0	7.0	5.0	5.0	7.0	3.0	7.0	7.0	9.0	2.0	4.0	6.0	5.0	4.0	4.0	3.0	3.0	6.0	3.0	2.0	3.0	4.0	7.0	6.0	5.0	4.0	5.0	4.0	3.0	5.0	4.0	4.0	6.0	6.0	7.0	2.0	3.0	3.0	5.0	7.0	3.0	6.0	3.0	4.0	4.0	3.0	7.0	3.0	6.0	6.0	3.0	5.0	6.0	5.0	5.0	5.0	2.0
alpha_rarefaction_10_4.txt	10	4	6.0	5.0	7.0	8.0	7.0	10.0	6.0	5.0	7.0	5.0	6.0	5.0	4.0	3.0	5.0	6.0	5.0	3.0	6.0	3.0	5.0	7.0	3.0	4.0	2.0	3.0	6.0	6.0	2.0	5.0	6.0	3.0	5.0	5.0	5.0	4.0	7.0	6.0	5.0	4.0	6.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	6.0	8.0	6.0	5.0	3.0	4.0	7.0	3.0	2.0	4.0	1.0
alpha_rarefaction_10_5.txt	10	5	6.0	7.0	8.0	7.0	4.0	6.0	9.0	5.0	6.0	4.0	8.0	6.0	6.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	6.0	4.0	3.0	5.0	6.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	3.0	5.0	6.0	6.0	9.0	2.0	5.0	3.0	5.0	5.0	6.0	4.0	6.0	5.0	5.0	4.0	5.0	5.0	4.0	7.0	3.0	4.0	8.0	4.0	2.0	6.0	1.0
alpha_rarefaction_10_6.txt	10	6	5.0	5.0	8.0	8.0	6.0	7.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	4.0	6.0	4.0	5.0	5.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	5.0	6.0	4.0	5.0	3.0	4.0	4.0	6.0	6.0	3.0	8.0	7.0	6.0	3.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	6.0	6.0	3.0	8.0	4.0	3.0	5.0	3.0	5.0	6.0	1.0
alpha_rarefaction_10_7.txt	10	7	6.0	9.0	7.0	9.0	6.0	7.0	5.0	7.0	8.0	5.0	7.0	7.0	6.0	2.0	2.0	6.0	6.0	5.0	5.0	4.0	5.0	7.0	2.0	4.0	3.0	5.0	6.0	7.0	4.0	7.0	5.0	4.0	4.0	7.0	3.0	5.0	7.0	6.0	6.0	3.0	5.0	6.0	4.0	6.0	5.0	5.0	3.0	7.0	3.0	3.0	4.0	5.0	6.0	6.0	2.0	5.0	6.0	3.0	3.0	5.0	1.0
alpha_rarefaction_10_8.txt	10	8	5.0	6.0	10.0	7.0	4.0	10.0	7.0	6.0	3.0	5.0	4.0	4.0	7.0	3.0	2.0	7.0	4.0	3.0	5.0	3.0	4.0	6.0	5.0	6.0	1.0	4.0	7.0	5.0	4.0	7.0	6.0	5.0	5.0	5.0	4.0	6.0	5.0	6.0	5.0	3.0	6.0	4.0	3.0	6.0	6.0	4.0	5.0	3.0	6.0	5.0	4.0	4.0	5.0	5.0	4.0	7.0	7.0	3.0	4.0	5.0	1.0
alpha_rarefaction_10_9.txt	10	9	6.0	7.0	6.0	6.0	6.0	7.0	5.0	8.0	7.0	5.0	4.0	4.0	4.0	3.0	7.0	7.0	2.0	4.0	6.0	3.0	4.0	6.0	5.0	6.0	1.0	3.0	6.0	4.0	2.0	4.0	4.0	6.0	5.0	5.0	4.0	6.0	6.0	7.0	5.0	3.0	4.0	4.0	4.0	5.0	5.0	7.0	5.0	5.0	4.0	4.0	5.0	4.0	6.0	7.0	4.0	7.0	6.0	5.0	4.0	5.0	2.0
