	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_10_0.txt	10	0	3.78018	3.783	4.3684	3.48867	4.43201	4.55418	3.95062	4.17264	3.07775	2.54564	4.35653	3.69852	3.26912	1.81155	1.936	4.03402	1.81155	2.02831	1.84688	2.54845	2.80886	3.26487	2.82751	2.89231	1.60324	2.28967	3.73732	3.68934	2.0406	3.65317	2.26723	2.87504	2.83445	3.17846	1.75894	2.38587	3.55363	2.89716	3.32944	2.33384	2.11655	2.44256	2.32399	3.95771	2.53022	3.97455	2.55387	2.73797	3.36837	2.35928	3.25804	3.09215	2.86893	1.98693	3.20963	3.1233	2.51583	2.72451	2.59379	2.74335	1.58213
alpha_rarefaction_10_1.txt	10	1	3.32241	8.60474	3.51268	4.45282	3.36052	4.508	2.49449	4.03427	4.68063	3.2022	4.45226	2.52449	4.46292	1.49573	2.60543	3.31885	1.70196	2.17542	3.10344	1.9591	2.89017	3.51308	1.84688	1.81155	1.70196	1.49573	2.95196	3.53761	2.0406	3.60435	2.76976	3.06759	2.83854	4.0143	2.17991	2.38587	2.71401	3.82409	2.92433	3.16467	2.11655	2.24497	2.83506	3.47605	2.44844	3.04034	2.17677	2.383	2.95196	2.17925	3.25551	3.28913	2.31208	2.2096	2.52235	3.35672	3.12422	1.96725	3.1051	1.82641	2.0908
alpha_rarefaction_10_2.txt	10	2	3.50898	3.22273	4.09061	3.38406	4.84068	5.90429	4.02017	1.63977	3.84445	3.02091	3.40857	2.29708	3.43996	2.70845	1.84271	5.40922	1.91027	2.28715	2.11009	1.83437	2.70845	3.26487	2.03472	2.99103	1.8116	2.93294	3.14581	3.00495	1.85802	2.82622	2.26377	2.54845	2.71948	3.49427	2.11655	2.44285	4.1268	2.39807	2.97223	1.45659	2.05754	0.81345	3.64483	2.83396	2.86404	2.33756	2.85029	2.17677	3.10053	1.84688	4.42063	4.43579	2.61703	2.2096	3.0034	2.6939	2.99103	2.8334	2.0406	2.11009	1.7572
alpha_rarefaction_10_3.txt	10	3	4.63849	3.74967	3.90852	3.44853	2.47565	4.42731	2.466	3.21845	3.21951	1.87261	2.69585	3.64354	5.16007	1.97302	3.31266	4.15439	3.09828	1.96725	2.71948	1.72769	1.84688	3.40557	1.91027	2.16569	2.09747	1.70224	3.74836	3.39054	3.02454	2.6242	2.57729	2.88709	2.59503	2.97223	2.00467	1.97133	3.48307	3.89373	3.384	1.72705	1.78587	1.07666	3.42418	3.89478	1.70658	3.0554	2.39198	2.30122	2.38886	1.96711	3.07788	3.5411	3.60709	2.97828	3.0034	2.99885	3.18101	2.52449	2.49047	1.82669	2.56127
alpha_rarefaction_10_4.txt	10	4	3.70245	3.63889	4.00979	3.83165	4.35083	4.98118	2.61727	2.73126	3.82297	3.99259	2.83066	2.02831	3.04664	1.936	2.96299	4.12382	2.2775	1.84688	3.16527	1.93309	2.36276	2.70773	1.84688	2.82175	1.68715	2.424	2.60947	3.63231	1.83437	3.26269	3.45943	1.86617	3.11409	2.59509	2.26377	2.36893	3.46685	2.57037	3.00448	2.34695	2.49601	2.33636	2.30159	3.02863	1.76356	3.11128	2.86601	2.47948	3.30163	3.35281	3.57605	4.39764	3.30431	3.47278	2.36026	2.81835	3.4549	2.38756	1.49573	1.82641	1.2304
alpha_rarefaction_10_5.txt	10	5	2.41325	4.52595	4.97598	3.82406	1.63612	3.78462	4.67774	2.02831	4.01782	3.21233	3.35873	3.85428	3.8869	1.49573	2.03472	2.50884	2.51201	3.54066	1.90386	1.49573	1.87261	2.13932	2.68858	2.82175	1.62018	2.68915	3.81299	2.97478	2.66131	3.21681	2.3037	2.60803	2.5647	2.76078	1.70196	1.97161	3.80807	3.35931	4.60431	1.72705	2.17991	1.70196	2.79981	2.52278	3.06921	2.47853	3.04292	3.13706	3.30648	2.61635	3.04198	3.02798	2.99936	3.21173	2.36026	2.81835	3.86944	1.91055	1.49573	3.48218	1.2304
alpha_rarefaction_10_6.txt	10	6	2.72269	3.76671	5.5166	4.71888	2.4996	3.34943	2.92219	3.67425	3.74261	1.90372	2.44271	3.69872	3.25287	1.93619	2.90758	3.90303	1.88325	2.17348	2.75073	2.32528	2.1627	2.19616	2.5857	2.24891	2.48628	3.11128	2.11203	3.33043	2.05754	3.26269	2.29014	2.86136	2.69375	3.03245	3.17846	1.91027	3.91427	3.83884	3.12893	2.10396	2.17991	2.55344	2.30159	2.47976	2.50528	3.16581	2.39947	2.85029	2.5944	2.87561	2.64358	3.34015	2.86893	3.96507	3.20963	2.6939	3.35841	1.936	2.6107	3.18101	1.2304
alpha_rarefaction_10_7.txt	10	7	3.49234	6.53783	3.62465	4.78311	2.31868	4.11788	2.49638	3.52233	4.13871	2.44319	2.91647	3.63313	3.49005	1.49573	2.65244	3.3345	2.71852	3.09726	2.40212	1.96725	2.98889	3.70664	1.49573	2.24239	1.62018	2.11009	3.13381	3.24623	2.95784	4.39519	2.59509	3.00941	2.83095	4.0143	2.0406	3.10829	3.64829	3.68228	2.59759	1.93309	2.11655	3.29424	1.95022	3.51029	2.43515	2.65631	2.17677	3.74536	2.41297	1.87261	3.12598	2.89896	3.57538	2.8874	2.31612	2.99885	3.07298	1.91027	1.55271	2.17756	1.2304
alpha_rarefaction_10_8.txt	10	8	2.60184	4.54282	6.11709	4.6627	1.7701	4.79411	4.20381	2.52463	2.04783	2.11009	2.80814	2.48895	4.22287	1.91027	1.49573	3.40723	2.19619	2.1627	2.35128	1.97507	2.68272	3.32702	2.38587	3.42098	1.39701	2.54845	3.55706	2.29703	2.39175	3.42798	2.88523	3.15684	3.10829	2.76078	1.9921	2.59445	2.679	3.10339	2.82622	1.7984	3.24524	2.50192	1.82577	3.76362	3.096	3.11128	2.86404	2.17677	4.07022	2.47017	2.53742	2.67702	3.28106	2.27707	3.10212	3.60463	3.7457	1.87261	2.14223	2.89896	1.2304
alpha_rarefaction_10_9.txt	10	9	2.51328	4.43441	3.62493	3.49243	3.38873	4.69795	2.12433	3.67901	3.40857	2.55585	2.40256	2.73956	3.07775	2.01778	3.47144	3.18135	1.49573	2.26142	2.60893	1.71108	2.01331	2.46131	2.29779	2.91133	1.39701	2.424	3.51455	2.70177	1.83437	3.15983	2.70468	3.06787	2.8182	2.80276	2.20355	2.73985	3.46087	3.64048	3.05656	1.93241	1.91032	1.94433	2.76532	3.2848	2.50542	3.58605	3.75301	2.18662	2.81447	3.02694	3.36419	2.78134	3.70696	3.00708	3.16553	3.28387	3.24453	2.33434	1.98291	1.88339	2.00853
