	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112528	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112532
SAMPLE_112502	0.48675545	0.33014238	0.4357932	0.43373618	0.79569992	0.73848915	0.47625044	0.22677195	0.41990248	0.28979186	0.0	0.74208014	0.73777577	0.93277802	0.1420343	0.49297977	0.2595861	0.60879631	0.83507626	0.34950203	0.51966974	0.6658212	0.4102128	0.33735313	0.59285139	0.6318619	0.75180406	1.29998081	0.30860184	0.25403603	0.84069033	0.41432398	0.49463787	0.47970439	0.38460144	0.27008927	0.28521577	0.40924573	0.6290064	0.49231701	0.33627951	0.21364063	0.2439851	0.30111814	0.71255673	1.10542101	0.60710445	0.62425172	0.71275194	1.08866301	0.35643454	0.25131061	0.24687342	0.32548683	0.32000917	0.78224705	0.29923764	0.25516963	0.25795639	0.54840941	1.07070543
SAMPLE_112505	0.31396257	0.61355944	0.6212856	0.58924694	0.36703742	0.37891267	0.51936674	0.79705827	1.07694652	0.62773676	0.74208014	0.0	1.03609627	0.7123734	0.72776976	1.14240419	0.9139188	0.69711003	0.92583756	0.75282197	0.6872688	0.77772326	0.71416646	0.78341459	0.57455881	0.7798246	0.63736362	0.93407781	0.93104216	0.65392037	0.57497099	0.76473844	0.56635525	0.71696353	0.55235658	0.92504107	0.93691851	0.67960887	0.32707012	0.52995287	0.93621957	0.74612587	0.84738168	0.5651841	1.02369241	0.97365749	0.70858929	0.57893286	0.82282654	1.10442657	0.97510154	0.89504949	0.8328234	0.89891057	0.94548477	0.41648223	0.70336188	0.82429741	0.92177329	0.84881411	0.70095843
SAMPLE_112504	0.91947654	0.86893517	0.80743579	0.82827359	1.16839023	1.02871834	0.88739569	0.72927436	0.63780121	0.62201857	0.73777577	1.03609627	0.0	1.21498305	0.76109171	0.67516506	0.69723491	0.55691216	1.23909681	0.85668542	0.89941121	1.08460153	0.89529477	0.84085282	0.94509204	1.08970349	1.05029921	1.61136626	0.70572545	0.82221886	1.16836338	0.69642593	0.84343834	0.46986104	0.73489989	0.71448382	0.66129484	0.78204274	1.06039559	0.82166362	0.5603819	0.76186902	0.67022533	0.66612175	0.16323522	1.37762004	0.95886832	0.98562673	1.08907191	1.33776086	0.63062361	0.7245649	0.59690441	0.75219936	0.66823796	1.20449508	0.81436411	0.77698344	0.70852284	0.97967944	1.21256878
SAMPLE_112507	0.82086283	0.67560028	0.97960142	0.95808398	0.42037902	0.96875115	0.80494906	0.86265041	1.12707898	0.85687772	0.93277802	0.7123734	1.21498305	0.0	0.96546372	1.18409813	0.98339924	0.76539173	0.97829604	0.89410547	0.8344476	0.90341846	0.87717526	0.90998165	0.77882879	0.93814992	0.92987772	1.41410319	1.04033038	0.80493905	0.81043119	0.9714061	0.79198061	1.09881541	0.76886794	1.00517841	1.01486109	0.80281587	0.5153681	0.86019715	1.05262701	0.87084065	0.92290222	0.91881366	1.21231317	1.03187085	0.87468779	0.79854318	0.94873292	1.27474637	1.06070088	0.98176907	0.9830945	1.02041649	0.99688233	0.50884767	0.83150114	0.94827595	1.01850131	0.96505833	0.45994133
SAMPLE_112506	0.48415979	0.38520822	0.44504152	0.44285464	0.78060382	0.67886595	0.52227636	0.25580087	0.40419116	0.36366472	0.1420343	0.72776976	0.76109171	0.96546372	0.0	0.47972939	0.27116754	0.62586857	0.86690136	0.38414563	0.56008712	0.68128544	0.44342748	0.38022815	0.62699131	0.66416768	0.78403492	1.26179963	0.30147484	0.29482845	0.81512979	0.5070304	0.53495029	0.44555889	0.40569654	0.26728909	0.27961809	0.43617869	0.61933454	0.53209967	0.30655617	0.25496087	0.29327888	0.28872206	0.73161421	1.15515423	0.64433883	0.6554614	0.75233772	1.14921845	0.35058508	0.27298859	0.24277926	0.28743141	0.32694527	0.80343077	0.33237568	0.26838097	0.25956197	0.60948257	1.07338169
SAMPLE_112488	0.94199508	0.58844893	0.82422599	0.88368425	1.18391427	1.09805932	0.91093159	0.40295698	0.08473617	0.62375779	0.49297977	1.14240419	0.67516506	1.18409813	0.47972939	0.0	0.27100701	0.85052474	1.09993481	0.61275898	0.78283851	0.91446075	0.65290851	0.58743458	0.82853696	0.89750175	1.00920361	1.59222344	0.27094683	0.53330048	1.15582494	0.69141919	0.85100522	0.82538604	0.70879421	0.30578304	0.2483928	0.657949	1.04816479	0.94748406	0.29940924	0.5135939	0.51683261	0.72305277	0.69487268	1.34991586	0.87710004	0.89108821	0.98432819	1.32513892	0.20440653	0.34289432	0.38039725	0.2888755	0.21322908	1.22121058	0.55042669	0.4434758	0.27839238	0.77566464	1.39802918
SAMPLE_112489	0.71061855	0.37074006	0.61808204	0.6600791	0.95588234	0.90770723	0.69366562	0.17640643	0.21807966	0.38371604	0.2595861	0.9139188	0.69723491	0.98339924	0.27116754	0.27100701	0.0	0.65499967	0.90100238	0.38829875	0.56790028	0.70065644	0.43823726	0.36468121	0.61222505	0.71143068	0.78600546	1.42947067	0.14782174	0.30209071	0.97635045	0.52827706	0.61353393	0.64906555	0.48791818	0.10553147	0.07228377	0.45359511	0.81538828	0.72456833	0.24016895	0.28383375	0.34795086	0.51836118	0.69347501	1.14331337	0.64538411	0.6656359	0.76322422	1.11439507	0.17433612	0.14909587	0.17484986	0.18785823	0.12837869	0.99638775	0.31478388	0.22006935	0.07473707	0.55138221	1.22355367
SAMPLE_112533	0.72042532	0.51092117	0.75971169	0.70279315	0.75874069	0.94018618	0.60406949	0.5747858	0.78607523	0.45692409	0.60879631	0.69711003	0.55691216	0.76539173	0.62586857	0.85052474	0.65499967	0.0	0.97247929	0.6838801	0.71381355	0.85566481	0.71642823	0.689138	0.7741213	0.85043695	0.92586261	1.50311448	0.69562549	0.55084972	0.71963572	0.74642495	0.68745796	0.464074	0.42808705	0.67226008	0.66922684	0.64767408	0.60731021	0.54439808	0.64963134	0.6379623	0.60351555	0.54640203	0.56507436	1.16601316	0.77915034	0.80211153	0.85611941	1.24170916	0.70291005	0.67655166	0.56437265	0.69118784	0.68242254	0.7952312	0.64014063	0.65930188	0.6720386	0.83007236	0.7641792
SAMPLE_112480	0.83717341	0.79969082	0.96744354	0.98119758	0.93458384	0.94936785	0.91866444	0.85804901	1.04993806	0.80296518	0.83507626	0.92583756	1.23909681	0.97829604	0.86690136	1.09993481	0.90100238	0.97247929	0.0	0.62216327	0.54115038	0.329319	0.6156581	0.64766605	0.62512607	0.36474864	0.67296884	1.47281477	0.91800448	0.80520555	1.05631363	0.92843328	0.84273581	1.08066785	0.75398556	0.89869389	0.93571145	0.69945719	0.81495168	0.96008733	1.01126191	0.75590011	0.87128076	0.87676146	1.21807753	0.66383373	0.53508225	0.52754302	0.4621387	1.18007305	0.99256296	0.88794443	0.92011214	0.93437241	0.98372519	0.95868975	0.71034296	0.83549987	0.88253631	0.73052809	1.17916609
SAMPLE_112481	0.53597384	0.34620905	0.54785951	0.56653353	0.80304249	0.71129446	0.58385851	0.37378654	0.56262021	0.39133593	0.34950203	0.75282197	0.85668542	0.89410547	0.38414563	0.61275898	0.38829875	0.6838801	0.62216327	0.0	0.26724943	0.37363503	0.10768471	0.10762596	0.29731652	0.36708727	0.44762153	1.2807826	0.41098461	0.348964	0.84053882	0.54405687	0.56565896	0.6782252	0.37471573	0.3761876	0.41926602	0.36791948	0.66273767	0.63584258	0.51355728	0.24419588	0.39996147	0.45983343	0.83942878	0.88883762	0.3222178	0.30432705	0.48624235	0.9450742	0.53657783	0.35643424	0.42363379	0.39669738	0.50298886	0.83219318	0.14449923	0.3065076	0.36204098	0.37117224	1.0993657
SAMPLE_112482	0.56471029	0.48032864	0.58946384	0.62967556	0.75511352	0.66691327	0.58460144	0.51505363	0.7303774	0.45573088	0.51966974	0.6872688	0.89941121	0.8344476	0.56008712	0.78283851	0.56790028	0.71381355	0.54115038	0.26724943	0.0	0.32692004	0.2860278	0.24573123	0.27505457	0.39727248	0.32586206	1.25987777	0.55981032	0.46629685	0.88528013	0.54232472	0.45829265	0.73764939	0.44828898	0.56104891	0.59880995	0.30848953	0.5961623	0.66725501	0.68175647	0.41414447	0.5461582	0.5148552	0.88239903	0.69915091	0.13815847	0.2233195	0.35133524	0.86233509	0.70569864	0.53345343	0.58680212	0.60170147	0.66789267	0.79368127	0.34281246	0.45138441	0.54766235	0.37342729	1.04315771
SAMPLE_112483	0.67144077	0.60608454	0.80890494	0.81971876	0.84566082	0.78795951	0.77718324	0.66758813	0.8684962	0.6149541	0.6658212	0.77772326	1.08460153	0.90341846	0.68128544	0.91446075	0.70065644	0.85566481	0.329319	0.37363503	0.32692004	0.0	0.3376457	0.38735455	0.39276503	0.17097304	0.47327626	1.35855821	0.69896016	0.60911375	0.94074371	0.7777492	0.71757221	0.91110479	0.54123992	0.67939735	0.72007633	0.48893355	0.70534586	0.81533939	0.80797755	0.54343279	0.6703059	0.70422832	1.06499815	0.60623825	0.36562381	0.3167341	0.45300886	1.00285335	0.84359702	0.66298383	0.71380476	0.72110641	0.80543323	0.86168627	0.4658699	0.58326519	0.67158687	0.50493347	1.10806433
SAMPLE_112484	0.52088475	0.38562236	0.5948453	0.62121956	0.79704298	0.69250025	0.61391312	0.42994379	0.607877	0.42951394	0.4102128	0.71416646	0.89529477	0.87717526	0.44342748	0.65290851	0.43823726	0.71642823	0.6156581	0.10768471	0.2860278	0.3376457	0.0	0.13286695	0.24535773	0.31656288	0.37738622	1.23919331	0.447892	0.39519797	0.82847505	0.58613576	0.61297955	0.72940539	0.39600696	0.41550537	0.45885529	0.40123337	0.66633828	0.68336031	0.56461715	0.29953973	0.45243014	0.52135424	0.87285795	0.85534343	0.34055967	0.2501989	0.49357402	0.94739547	0.57966882	0.39932785	0.47509386	0.42506497	0.54318425	0.82156199	0.16617384	0.32989007	0.41745509	0.35511029	1.08154299
SAMPLE_112485	0.58884336	0.31813589	0.55153217	0.59361955	0.83777481	0.74814274	0.57428349	0.34574746	0.54161135	0.35921413	0.33735313	0.78341459	0.84085282	0.90998165	0.38022815	0.58743458	0.36468121	0.689138	0.64766605	0.10762596	0.24573123	0.38735455	0.13286695	0.0	0.30976094	0.40216993	0.45670889	1.32182862	0.38110681	0.31650854	0.88605274	0.51859675	0.54132218	0.68083218	0.38768171	0.3328368	0.38327578	0.33740588	0.68477677	0.6610672	0.49768282	0.20041454	0.38686313	0.46917301	0.8209677	0.87421772	0.31220688	0.34129025	0.48974377	0.92611806	0.51692625	0.30995998	0.40759735	0.4182099	0.47834462	0.88230448	0.16396157	0.24978306	0.34282022	0.32845146	1.11453936
SAMPLE_112486	0.49212874	0.54707341	0.62948773	0.66406277	0.65977803	0.52724008	0.64909309	0.59901954	0.78533621	0.53069855	0.59285139	0.57455881	0.94509204	0.77882879	0.62699131	0.82853696	0.61222505	0.7741213	0.62512607	0.29731652	0.27505457	0.39276503	0.24535773	0.30976094	0.0	0.43989439	0.26555381	1.07624622	0.63363799	0.5782105	0.81981676	0.60949377	0.53854904	0.78213992	0.53370921	0.58318496	0.63923604	0.42775208	0.54278449	0.74077458	0.74978854	0.45321156	0.61467863	0.56723517	0.9275838	0.74912966	0.29009228	0.13435001	0.48507683	0.8553342	0.75798693	0.54864718	0.66070681	0.60171456	0.71780802	0.71146542	0.32268819	0.4948468	0.60170862	0.48051314	0.9882966
SAMPLE_112487	0.69323399	0.60178354	0.79631526	0.81447616	0.85387312	0.82841295	0.7777186	0.66626589	0.8385182	0.6298774	0.6318619	0.7798246	1.08970349	0.93814992	0.66416768	0.89750175	0.71143068	0.85043695	0.36474864	0.36708727	0.39727248	0.17097304	0.31656288	0.40216993	0.43989439	0.0	0.51702506	1.36216707	0.66980848	0.59343991	0.91490085	0.78337418	0.78028859	0.91327933	0.55870298	0.67973025	0.73015937	0.56578089	0.72760084	0.84093203	0.79476967	0.55688229	0.67325588	0.71137242	1.06228805	0.59557247	0.45455637	0.35714824	0.55932258	1.08116899	0.81063116	0.67212469	0.72429038	0.66662565	0.79760489	0.87278067	0.45430716	0.58752523	0.67329375	0.53435769	1.12954809
SAMPLE_112478	0.62732641	0.71058668	0.69132256	0.73965678	0.69861036	0.58988417	0.70416654	0.76507953	0.96127808	0.6711582	0.75180406	0.63736362	1.05029921	0.92987772	0.78403492	1.00920361	0.78600546	0.92586261	0.67296884	0.44762153	0.32586206	0.47327626	0.37738622	0.45670889	0.26555381	0.51702506	0.0	1.14279175	0.7911195	0.69052759	0.89019813	0.67985016	0.53692237	0.86396427	0.68043544	0.77075035	0.81392829	0.56940679	0.66022028	0.80482925	0.91881619	0.63170201	0.79122202	0.72676584	1.00872971	0.68158653	0.30187677	0.23841748	0.5002015	0.75507963	0.92535822	0.74209117	0.83051126	0.77479109	0.89615515	0.77773631	0.50270646	0.65038855	0.77526877	0.46854349	1.06334105
SAMPLE_112538	0.94268628	1.34499703	1.08273545	1.13618659	1.07709385	0.76691238	1.21226831	1.39619868	1.55728505	1.33216385	1.29998081	0.93407781	1.61136626	1.41410319	1.26179963	1.59222344	1.42947067	1.50311448	1.47281477	1.2807826	1.25987777	1.35855821	1.23919331	1.32182862	1.07624622	1.36216707	1.14279175	0.0	1.46016089	1.37359182	1.1549346	1.26969285	1.08138444	1.29461546	1.32566337	1.42812034	1.4559364	1.2360354	1.12870681	1.27283828	1.51722796	1.27562362	1.39308605	1.19261843	1.57737412	1.53688232	1.2653935	1.12494191	1.43753341	1.48928026	1.51171131	1.39667662	1.46087579	1.3548412	1.4891019	1.13318216	1.21302851	1.36062826	1.42591804	1.41724904	1.2999601
SAMPLE_112527	0.75470779	0.4369852	0.66213294	0.70201282	1.00714048	0.92777531	0.73807146	0.26165943	0.2172558	0.42791108	0.30860184	0.93104216	0.70572545	1.04033038	0.30147484	0.27094683	0.14782174	0.69562549	0.91800448	0.41098461	0.55981032	0.69896016	0.447892	0.38110681	0.63363799	0.66980848	0.7911195	1.46016089	0.0	0.36135097	1.01564453	0.58250192	0.68813937	0.65494469	0.48895464	0.14536077	0.12635653	0.46766717	0.86211064	0.76244135	0.24910323	0.34695585	0.38576384	0.54075962	0.70290219	1.14530859	0.66284627	0.67975116	0.77856058	1.13580477	0.20327644	0.21878963	0.24749222	0.14881431	0.15821117	1.04300565	0.37624444	0.23641991	0.13618147	0.58074539	1.24976245
SAMPLE_112526	0.57316944	0.18467745	0.58438749	0.55736535	0.75520701	0.8211411	0.50459429	0.17954362	0.47464219	0.29370387	0.25403603	0.65392037	0.82221886	0.80493905	0.29482845	0.53330048	0.30209071	0.55084972	0.80520555	0.348964	0.46629685	0.60911375	0.39519797	0.31650854	0.5782105	0.59343991	0.69052759	1.37359182	0.36135097	0.0	0.80015436	0.54575907	0.45821494	0.67968714	0.26455293	0.33696784	0.33978898	0.35381232	0.58687895	0.51267064	0.4207873	0.22675082	0.35929841	0.45666757	0.80732434	1.0018407	0.57712632	0.59022465	0.61069723	1.00549658	0.41930867	0.30582776	0.30324145	0.39352088	0.3635413	0.78213402	0.29575237	0.22942844	0.32065898	0.46227528	1.04608266
SAMPLE_112530	0.64343652	0.70483821	0.64819513	0.65952039	0.49696329	0.73805214	0.61985375	0.87350196	1.11076253	0.84907407	0.84069033	0.57497099	1.16836338	0.81043119	0.81512979	1.15582494	0.97635045	0.71963572	1.05631363	0.84053882	0.88528013	0.94074371	0.82847505	0.88605274	0.81981676	0.91490085	0.89019813	1.1549346	1.01564453	0.80015436	0.0	0.70538623	0.72124478	0.85093348	0.75754053	0.98468386	1.01202048	0.87322944	0.46582261	0.66074846	1.06988358	0.83354838	0.94653641	0.74794021	1.1294855	1.17630582	0.90439318	0.84081891	1.00995943	1.3023623	1.06735251	0.95562536	1.00803539	0.92806018	1.02360582	0.54091702	0.79174043	0.91539198	0.98033574	1.00760504	0.70211344
SAMPLE_112531	0.53405245	0.56444634	0.32966716	0.40211494	0.79227638	0.67184375	0.40365426	0.50067275	0.62524906	0.4804815	0.41432398	0.76473844	0.69642593	0.9714061	0.5070304	0.69141919	0.52827706	0.74642495	0.92843328	0.54405687	0.54232472	0.7777492	0.58613576	0.51859675	0.60949377	0.78337418	0.67985016	1.26969285	0.58250192	0.54575907	0.70538623	0.0	0.43736943	0.52123901	0.58873966	0.54476895	0.53525349	0.45926011	0.68382012	0.49041637	0.53336295	0.45926623	0.40424334	0.39081302	0.64890255	1.03963581	0.58550471	0.64598868	0.7488774	1.07894371	0.61802796	0.48999069	0.54560492	0.62236309	0.58190367	0.75738399	0.50835604	0.52824095	0.51327299	0.66719907	1.06309765
SAMPLE_112518	0.49952158	0.48865263	0.44625193	0.47746415	0.57258643	0.51392164	0.41450245	0.48047474	0.77593875	0.47647745	0.49463787	0.56635525	0.84343834	0.79198061	0.53495029	0.85100522	0.61353393	0.68745796	0.84273581	0.56565896	0.45829265	0.71757221	0.61297955	0.54132218	0.53854904	0.78028859	0.53692237	1.08138444	0.68813937	0.45821494	0.72124478	0.43736943	0.0	0.60530198	0.48708611	0.6555974	0.65891572	0.38940068	0.47461857	0.46631328	0.70206968	0.4825242	0.53635851	0.50385075	0.79337344	0.89852328	0.4867704	0.55017659	0.65948341	0.86045588	0.73992061	0.61584442	0.62389483	0.68241928	0.66964068	0.63657254	0.51540981	0.6009788	0.62818886	0.63941732	0.8896412
SAMPLE_112519	0.56377308	0.74837017	0.41464889	0.43042531	0.85300669	0.6405654	0.57369541	0.64032832	0.75096089	0.46090241	0.47970439	0.71696353	0.46986104	1.09881541	0.44555889	0.82538604	0.64906555	0.464074	1.08066785	0.6782252	0.73764939	0.91110479	0.72940539	0.68083218	0.78213992	0.91327933	0.86396427	1.29461546	0.65494469	0.67968714	0.85093348	0.52123901	0.60530198	0.0	0.57366861	0.62092738	0.63529598	0.66936064	0.73733901	0.49348232	0.5515157	0.59609636	0.49072567	0.28449645	0.36232116	1.2495469	0.7841467	0.79567541	0.92927307	1.22221988	0.70266527	0.6295018	0.54149805	0.6556979	0.702903	0.84418212	0.66603079	0.66414858	0.59874386	0.87937278	0.95605352
