	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112528	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112532
SAMPLE_112509	0.0	0.59298893	0.39442639	0.34728929	0.52969031	0.3200648	0.42560291	0.5965157	0.86800987	0.51213915	0.48675545	0.31396257	0.91947654	0.82086283	0.48415979	0.94199508	0.71061855	0.72042532	0.83717341	0.53597384	0.56471029	0.67144077	0.52088475	0.58884336	0.49212874	0.69323399	0.62732641	0.94268628	0.75470779	0.57316944	0.64343652	0.53405245	0.49952158	0.56377308	0.48885079	0.72732088	0.72884114	0.50790024	0.42448077	0.45226746	0.71631628	0.53262908	0.55671395	0.33426571	0.89834582	1.02046906	0.59790452	0.50484317	0.69613453	1.09422442	0.78099557	0.69833338	0.65435733	0.70037728	0.74466418	0.53122588	0.50191189	0.6535562	0.70857174	0.69770964	0.90249796
SAMPLE_112508	0.59298893	0.0	0.5758123	0.58630498	0.62314904	0.83698005	0.43357938	0.25212081	0.54431902	0.34552564	0.33014238	0.61355944	0.86893517	0.67560028	0.38520822	0.58844893	0.37074006	0.51092117	0.79969082	0.34620905	0.48032864	0.60608454	0.38562236	0.31813589	0.54707341	0.60178354	0.71058668	1.34499703	0.4369852	0.18467745	0.70483821	0.56444634	0.48865263	0.74837017	0.32146492	0.39428403	0.42361521	0.41287763	0.5084388	0.52091861	0.51394373	0.26176575	0.4368639	0.51764186	0.86895837	1.01819129	0.56937277	0.6025232	0.67369918	1.09554933	0.50002206	0.34251617	0.40602146	0.40102545	0.41606381	0.70213305	0.24867742	0.31336769	0.39859325	0.51292987	0.94542497
SAMPLE_112525	0.39442639	0.5758123	0.0	0.12563416	0.649371	0.51919625	0.28798454	0.56539643	0.75761986	0.5117102	0.4357932	0.6212856	0.80743579	0.97960142	0.44504152	0.82422599	0.61808204	0.75971169	0.96744354	0.54785951	0.58946384	0.80890494	0.5948453	0.55153217	0.62948773	0.79631526	0.69132256	1.08273545	0.66213294	0.58438749	0.64819513	0.32966716	0.44625193	0.41464889	0.603693	0.63369233	0.64415907	0.53358953	0.58917414	0.34822899	0.66192219	0.48355617	0.48281454	0.29421076	0.72875547	1.09405415	0.62841059	0.66843336	0.8020152	1.11627175	0.72220104	0.58759341	0.62789212	0.61421915	0.68812093	0.64070693	0.4853974	0.57856897	0.61706175	0.72429335	0.97780957
SAMPLE_112524	0.34728929	0.58630498	0.12563416	0.0	0.65337858	0.53815049	0.2547093	0.56634615	0.8125756	0.48802864	0.43373618	0.58924694	0.82827359	0.95808398	0.44285464	0.88368425	0.6600791	0.70279315	0.98119758	0.56653353	0.62967556	0.81971876	0.62121956	0.59361955	0.66406277	0.81447616	0.73965678	1.13618659	0.70201282	0.55736535	0.65952039	0.40211494	0.47746415	0.43042531	0.53530116	0.67401021	0.67665517	0.56817047	0.56781528	0.24367165	0.66407511	0.51516451	0.48807602	0.27979222	0.74344839	1.12046607	0.67154243	0.68772312	0.8139786	1.12328663	0.73807604	0.64482531	0.6212323	0.66041517	0.69302637	0.60261617	0.51827664	0.60362067	0.65983007	0.77370523	0.95645871
SAMPLE_112522	0.52969031	0.62314904	0.649371	0.65337858	0.0	0.58141101	0.5591548	0.82847343	1.11337998	0.7760078	0.79569992	0.36703742	1.16839023	0.42037902	0.78060382	1.18391427	0.95588234	0.75874069	0.93458384	0.80304249	0.75511352	0.84566082	0.79704298	0.83777481	0.65977803	0.85387312	0.69861036	1.07709385	1.00714048	0.75520701	0.49696329	0.79227638	0.57258643	0.85300669	0.72703414	0.97764623	0.98834523	0.76211991	0.23106736	0.66582595	1.04730119	0.79778359	0.90717458	0.69206992	1.15117589	0.92883057	0.75179061	0.67844226	0.8998514	1.16204889	1.04896456	0.94101419	0.96602252	0.94963891	0.98596115	0.18518081	0.74364572	0.90487335	0.97462643	0.92194013	0.59027363
SAMPLE_112521	0.3200648	0.83698005	0.51919625	0.53815049	0.58141101	0.0	0.65409675	0.83420974	1.02473255	0.73985891	0.73848915	0.37891267	1.02871834	0.96875115	0.67886595	1.09805932	0.90770723	0.94018618	0.94936785	0.71129446	0.66691327	0.78795951	0.69250025	0.74814274	0.52724008	0.82841295	0.58988417	0.76691238	0.92777531	0.8211411	0.73805214	0.67184375	0.51392164	0.6405654	0.68920459	0.88510294	0.90115798	0.59360182	0.56327557	0.6320121	0.8570362	0.70313836	0.71123553	0.53774539	0.94817226	1.02673308	0.67757594	0.55493345	0.83973305	1.09570786	0.97682029	0.8594348	0.84528641	0.87847646	0.9708324	0.67727828	0.69211741	0.8387101	0.86016548	0.8847452	0.92959854
SAMPLE_112520	0.42560291	0.43357938	0.28798454	0.2547093	0.5591548	0.65409675	0.0	0.57190411	0.84867308	0.51929424	0.47625044	0.51936674	0.88739569	0.80494906	0.52227636	0.91093159	0.69366562	0.60406949	0.91866444	0.58385851	0.58460144	0.77718324	0.61391312	0.57428349	0.64909309	0.7777186	0.70416654	1.21226831	0.73807146	0.50459429	0.61985375	0.40365426	0.41450245	0.57369541	0.50183938	0.71060367	0.72112511	0.55338255	0.40794416	0.19902989	0.74961207	0.53548509	0.57381726	0.4257361	0.83584245	1.03541993	0.62002815	0.67323434	0.75893736	1.10834375	0.78335572	0.67648097	0.6880923	0.71034711	0.72857495	0.50512751	0.51764386	0.63173587	0.70566251	0.72660163	0.82495361
SAMPLE_112501	0.5965157	0.25212081	0.56539643	0.56634615	0.82847343	0.83420974	0.57190411	0.0	0.33755233	0.31804981	0.22677195	0.79705827	0.72927436	0.86265041	0.25580087	0.40295698	0.17640643	0.5747858	0.85804901	0.37378654	0.51505363	0.66758813	0.42994379	0.34574746	0.59901954	0.66626589	0.76507953	1.39619868	0.26165943	0.17954362	0.87350196	0.50067275	0.48047474	0.64032832	0.36386149	0.23920168	0.21943742	0.3871952	0.68565163	0.58912438	0.27302664	0.25738348	0.29214415	0.45829309	0.71657204	1.07048488	0.6210316	0.63921633	0.70440581	1.06660088	0.30636405	0.19433096	0.20933675	0.2979558	0.22416396	0.87802538	0.30282815	0.22362574	0.19946464	0.52424068	1.11959044
SAMPLE_112500	0.86800987	0.54431902	0.75761986	0.8125756	1.11337998	1.02473255	0.84867308	0.33755233	0.0	0.56718418	0.41990248	1.07694652	0.63780121	1.12707898	0.40419116	0.08473617	0.21807966	0.78607523	1.04993806	0.56262021	0.7303774	0.8684962	0.607877	0.54161135	0.78533621	0.8385182	0.96127808	1.55728505	0.2172558	0.47464219	1.11076253	0.62524906	0.77593875	0.75096089	0.64981978	0.25972405	0.19465919	0.60382475	0.97450096	0.87015731	0.22696211	0.45509129	0.44157856	0.64611634	0.62629525	1.29335045	0.82346091	0.84222036	0.9263947	1.27848201	0.16541322	0.29634215	0.3164431	0.24766559	0.16710321	1.14818221	0.51079492	0.40151563	0.23180875	0.73066475	1.35709479
SAMPLE_112503	0.51213915	0.34552564	0.5117102	0.48802864	0.7760078	0.73985891	0.51929424	0.31804981	0.56718418	0.0	0.28979186	0.62773676	0.62201857	0.85687772	0.36366472	0.62375779	0.38371604	0.45692409	0.80296518	0.39133593	0.45573088	0.6149541	0.42951394	0.35921413	0.53069855	0.6298774	0.6711582	1.33216385	0.42791108	0.29370387	0.84907407	0.4804815	0.47647745	0.46090241	0.21811972	0.39133485	0.41564629	0.37632331	0.63268978	0.47207939	0.44142285	0.28794207	0.36155976	0.2894554	0.60143383	1.04195037	0.55094753	0.57926228	0.66984606	1.04315785	0.44743716	0.35852465	0.30787636	0.45711053	0.42581249	0.84166009	0.32745948	0.31817209	0.40456707	0.50100143	0.92534879
