	SAMPLE_112509	SAMPLE_112508	SAMPLE_112525	SAMPLE_112524	SAMPLE_112522	SAMPLE_112521	SAMPLE_112520	SAMPLE_112501	SAMPLE_112500	SAMPLE_112503	SAMPLE_112502	SAMPLE_112505	SAMPLE_112504	SAMPLE_112507	SAMPLE_112506	SAMPLE_112488	SAMPLE_112489	SAMPLE_112533	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112478	SAMPLE_112538	SAMPLE_112527	SAMPLE_112526	SAMPLE_112530	SAMPLE_112531	SAMPLE_112518	SAMPLE_112519	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112512	SAMPLE_112513	SAMPLE_112510	SAMPLE_112511	SAMPLE_112516	SAMPLE_112514	SAMPLE_112515	SAMPLE_112475	SAMPLE_112474	SAMPLE_112477	SAMPLE_112476	SAMPLE_112529	SAMPLE_112499	SAMPLE_112498	SAMPLE_112497	SAMPLE_112496	SAMPLE_112495	SAMPLE_112528	SAMPLE_112493	SAMPLE_112492	SAMPLE_112491	SAMPLE_112490	SAMPLE_112532
SAMPLE_112509	0.0	0.336707157955	0.311298473544	0.182446168353	0.159784862918	0.423328201031	0.268754784824	0.477735443471	0.450555547085	0.234338216528	0.124860347933	0.149032378704	0.447502220621	0.45110609306	0.294225045509	0.561449018609	0.510910907966	0.439347766781	0.87915543227	0.607488839451	0.618877411631	0.738593702939	0.541805069836	0.55251054071	0.557347378823	0.48182427502	0.718462944993	0.49298877339	0.40362881205	0.36055585652	0.654210786948	0.227648350627	0.321046722119	0.366489921498	0.498293959928	0.326642166266	0.273475951191	0.498113021724	0.122194116287	0.304179004111	0.260082047697	0.301671819404	0.336860346108	0.171256266558	0.464178858855	0.671795506511	0.67887708779	0.618374823416	0.849472691026	0.470518403059	0.466599563181	0.339452530741	0.331643895777	0.411585633862	0.286051399208	0.324635912929	0.605380007372	0.406162123691	0.446981089361	0.405303852942	0.48377659938
SAMPLE_112508	0.336707157955	0.0	0.504446558529	0.430047317634	0.303169315369	0.489930069185	0.397259047561	0.521585617724	0.303699429031	0.401617000557	0.338174230683	0.342562015343	0.522048626455	0.391405940643	0.476093674366	0.534687852913	0.378359784104	0.462419600964	0.884406701069	0.663494779188	0.618445818768	0.717423807005	0.572190921718	0.561867298864	0.537624503328	0.596214811763	0.709299294857	0.458380005883	0.477581435712	0.310697605372	0.558070904409	0.487556687165	0.223224068754	0.514778420868	0.484441775795	0.412428211765	0.347105385544	0.521692766007	0.320736756271	0.434266975025	0.417522571848	0.409553651437	0.469467000468	0.383025843727	0.468743200477	0.666527710296	0.728851891129	0.596700107858	0.840505056669	0.503813477644	0.603765888234	0.433054414679	0.442229191581	0.193174545885	0.418824176376	0.447748775687	0.459337985535	0.406784153893	0.502039784281	0.394242046905	0.454061871601
SAMPLE_112525	0.311298473544	0.504446558529	0.0	0.22257129401	0.330874309863	0.45070635887	0.349682859229	0.494180623603	0.455381749758	0.27213329009	0.370656717416	0.389115036422	0.484223806567	0.474595176073	0.261506648852	0.562969038557	0.623843374688	0.569583344558	0.875485794092	0.675866849685	0.605867854979	0.755908387697	0.53959591268	0.541769872906	0.658045999269	0.579505325387	0.702245898765	0.585027390166	0.568527858998	0.541268841474	0.624986638491	0.220421775776	0.489709083027	0.407179543274	0.609459524975	0.475088299858	0.433440311609	0.635881660368	0.355539142981	0.397197772196	0.343459285324	0.335186722796	0.3481307219	0.364832248445	0.297547696027	0.682704765668	0.688177133924	0.688622836577	0.851909131757	0.626600416356	0.521261679364	0.504359707581	0.457759088139	0.572650032488	0.468575375601	0.415801370378	0.597617680156	0.433172561138	0.576622383302	0.538545174491	0.519880256132
SAMPLE_112524	0.182446168353	0.430047317634	0.22257129401	0.0	0.233583545659	0.377437844437	0.213676071158	0.449779546439	0.381727950043	0.316922234064	0.235097948739	0.246544926629	0.391233335238	0.410758492662	0.244409856793	0.518277408915	0.587876340468	0.522062808905	0.887858108173	0.660229700302	0.665835373725	0.777639719191	0.592406845746	0.619333990876	0.629582772872	0.553506058902	0.754497856953	0.580191012519	0.484716184188	0.442713804976	0.623102832835	0.13534618371	0.429550146824	0.288629433955	0.548759123834	0.414257737539	0.376256936746	0.568450161939	0.208390410757	0.243553992131	0.203467760082	0.24901279534	0.298088704613	0.244111903145	0.407668277201	0.708892810104	0.71523770882	0.670898925361	0.865462667824	0.54995861991	0.421948649336	0.409518473625	0.410431657395	0.504326585857	0.370997939695	0.3825895048	0.546559545947	0.488240389351	0.539138859507	0.48087428141	0.434200821831
SAMPLE_112522	0.159784862918	0.303169315369	0.330874309863	0.233583545659	0.0	0.446257572034	0.311217116344	0.503822678978	0.44284661438	0.243392642923	0.170352413766	0.177501680536	0.520566155393	0.433260112758	0.2993069783	0.552848265102	0.494526901502	0.493698929826	0.880557160025	0.629769394805	0.628522330001	0.749165152536	0.527010558934	0.582457228123	0.563192179444	0.50367918214	0.732912641781	0.447602259089	0.372911267742	0.330681325332	0.607322350053	0.251288389105	0.294231675183	0.434693415273	0.492829708784	0.355335000993	0.288410942147	0.506644184236	0.156334859448	0.381852772688	0.335866613197	0.286035384046	0.294233708059	0.217916049048	0.501104498509	0.669336717033	0.694410343188	0.634601729714	0.852719572705	0.5016223719	0.507266463721	0.410055314087	0.412940629969	0.375712551117	0.319481222798	0.351286501561	0.577764472386	0.385033916458	0.446883332495	0.377037843316	0.497313149865
SAMPLE_112521	0.423328201031	0.489930069185	0.45070635887	0.377437844437	0.446257572034	0.0	0.34931447443	0.452892917991	0.452421530271	0.497074587675	0.434080356704	0.50385585686	0.511048222753	0.411273166016	0.424319473224	0.528462653587	0.591591202535	0.490414518212	0.879176685732	0.710549538323	0.662700601602	0.779607860617	0.665348878838	0.629146219913	0.607880018046	0.610283501815	0.759342837224	0.540134815085	0.595485368833	0.515167664295	0.646158755897	0.440707650766	0.434461184813	0.410767787618	0.529105801041	0.520339278946	0.539126607865	0.585589833366	0.445106663823	0.401039755352	0.362555134682	0.420173137093	0.493461135314	0.464956812504	0.444885132184	0.717666436652	0.747230459079	0.679350068955	0.866387875969	0.606140916662	0.565626207906	0.602212134774	0.573469225723	0.564630094887	0.564050147728	0.575053104497	0.575584629539	0.552914759909	0.610166927857	0.568159939549	0.46953859985
SAMPLE_112520	0.268754784824	0.397259047561	0.349682859229	0.213676071158	0.311217116344	0.34931447443	0.0	0.415416364226	0.315022174209	0.365295587011	0.24776361768	0.36072536179	0.421332341149	0.359881634003	0.319867861155	0.473926984979	0.52940527211	0.52733400435	0.882593392463	0.690782703633	0.65600830646	0.771649015683	0.612519244039	0.612710885888	0.606337806525	0.579376736787	0.751152771254	0.586607090696	0.524532774087	0.414145433883	0.630557531767	0.282587868604	0.381030975364	0.313156056772	0.550064315153	0.459956286135	0.406153776465	0.573444538595	0.282940774828	0.249261104241	0.182146517768	0.244079115223	0.373637850804	0.317065942895	0.393515025726	0.704632505555	0.726923776087	0.665170516074	0.866708381837	0.536552150925	0.503228486636	0.505854599803	0.467012840417	0.472559820926	0.399140395337	0.43248648603	0.548574089163	0.462468267935	0.538384409148	0.522805303419	0.441608807576
SAMPLE_112501	0.477735443471	0.521585617724	0.494180623603	0.449779546439	0.503822678978	0.452892917991	0.415416364226	0.0	0.493222330724	0.460618135689	0.44498216948	0.540577466312	0.413256918888	0.317275811386	0.428991358322	0.459292654114	0.413620008839	0.37517389764	0.823626311737	0.598184232871	0.528943943851	0.682820048107	0.520402139032	0.491029921606	0.435324858746	0.480239738031	0.659816632179	0.639135472871	0.424914181591	0.385380181983	0.692951700787	0.463829279527	0.52172716713	0.495903091406	0.441489366175	0.385700304588	0.50778567685	0.514838629992	0.480260697496	0.487738246008	0.403668114347	0.438529043445	0.53651314164	0.491976385543	0.487917394016	0.572358789734	0.634044133397	0.539161760123	0.791903919491	0.479415029401	0.412472857947	0.523641717614	0.44060335676	0.565620738313	0.49043809459	0.603026566126	0.431521607986	0.46218755442	0.406695656317	0.43330993906	0.577121451303
SAMPLE_112500	0.450555547085	0.303699429031	0.455381749758	0.381727950043	0.44284661438	0.452421530271	0.315022174209	0.493222330724	0.0	0.507058494443	0.422164002021	0.487338110601	0.478130977791	0.304145266124	0.38314514075	0.39989738193	0.441503783281	0.553441427601	0.890721826787	0.709807507417	0.685767186467	0.773901703325	0.594290714777	0.619100325481	0.612268571741	0.662653919576	0.737608172792	0.60219327788	0.560730318048	0.484582969177	0.536362140011	0.401670122667	0.366867391633	0.440182774855	0.539756155632	0.511989306763	0.360843787483	0.610464961175	0.475101560336	0.441411602399	0.302083719271	0.295533860433	0.360976083998	0.434388129734	0.360068295887	0.715072696617	0.744997504065	0.634180631117	0.870213452866	0.616790012135	0.580549411291	0.496477253777	0.476313012094	0.351452937363	0.433676249367	0.496406557842	0.435716042747	0.507226954801	0.547622509273	0.524089288578	0.424274526675
SAMPLE_112503	0.234338216528	0.401617000557	0.27213329009	0.316922234064	0.243392642923	0.497074587675	0.365295587011	0.460618135689	0.507058494443	0.0	0.185277587581	0.290807818632	0.516423968288	0.494256891355	0.349237476897	0.592675359214	0.506042536642	0.502111931174	0.854352611876	0.60613383248	0.505308180559	0.689266986893	0.494644609966	0.448306648288	0.537802636638	0.494754865031	0.645303234664	0.566738387635	0.39245255923	0.415866542299	0.694435629956	0.346327203761	0.403060218629	0.452509542409	0.519010509984	0.330332693943	0.30629587559	0.541842463729	0.219395601341	0.429916309622	0.363794700907	0.359287845408	0.43230599421	0.248238070165	0.361714018849	0.616591004639	0.632545853834	0.602829308874	0.824514912426	0.501788893558	0.481394355685	0.372231865175	0.38708648497	0.439766413151	0.317011873265	0.321112154747	0.566667685423	0.287347690725	0.463880940183	0.427251787248	0.58141627238
SAMPLE_112502	0.124860347933	0.338174230683	0.370656717416	0.235097948739	0.170352413766	0.434080356704	0.24776361768	0.44498216948	0.422164002021	0.185277587581	0.0	0.205048845157	0.491076411221	0.460816636564	0.289885467229	0.536035095049	0.447587024231	0.468064685841	0.864176614844	0.595913243842	0.592137965157	0.722115156062	0.496152637294	0.539710569326	0.521362343354	0.459675905043	0.700100633121	0.512159161851	0.357531595249	0.360752307912	0.669012818889	0.287166558057	0.339261811405	0.408288444147	0.455083463312	0.28508564754	0.223152095898	0.517890429435	0.135309446328	0.347872614979	0.302635169736	0.279553870618	0.38041225319	0.197990671275	0.4724738604	0.65379373521	0.646932055931	0.593207698269	0.833718923119	0.475287305207	0.456459141623	0.333257309544	0.30436382375	0.409043856143	0.229836914859	0.301986990047	0.55868891825	0.411652720551	0.402747321756	0.403550556782	0.514513220053
SAMPLE_112505	0.149032378704	0.342562015343	0.389115036422	0.246544926629	0.177501680536	0.50385585686	0.36072536179	0.540577466312	0.487338110601	0.290807818632	0.205048845157	0.0	0.521498154572	0.484823840304	0.40083243304	0.556963760507	0.542039470096	0.500166954616	0.889220084355	0.650992885972	0.643973859518	0.766574186759	0.586827357732	0.606894181131	0.563529999514	0.526702580287	0.756047270468	0.488606545176	0.38093992124	0.318995676354	0.664706562959	0.301110488636	0.325601316949	0.438369395004	0.467304451564	0.356429577522	0.288292235897	0.487058157775	0.0958983318826	0.382815573557	0.37683445359	0.336207910449	0.387264219103	0.247812534751	0.539477166124	0.695365287735	0.707751096075	0.64925918028	0.861618599203	0.498099931811	0.484866933457	0.383472648968	0.415324521038	0.364834903032	0.318560431441	0.343105772261	0.600465041978	0.38773586137	0.454156502817	0.370997349373	0.490901425273
SAMPLE_112504	0.447502220621	0.522048626455	0.484223806567	0.391233335238	0.520566155393	0.511048222753	0.421332341149	0.413256918888	0.478130977791	0.516423968288	0.491076411221	0.521498154572	0.0	0.324247550784	0.467548184165	0.441173516043	0.477584568662	0.43839268245	0.883863151203	0.668453028429	0.652270405511	0.744952550852	0.593052689673	0.561571348705	0.60744124903	0.594897594535	0.720841047926	0.610904428886	0.487761684732	0.372458203831	0.665644408591	0.399928917717	0.598766960634	0.440896032334	0.520944015853	0.420800171907	0.526905688747	0.491606378524	0.49460209011	0.408158499741	0.362302734201	0.476009034965	0.462875487073	0.47972235634	0.480325705047	0.686502832427	0.733547663937	0.61739610265	0.851548009941	0.399619639006	0.425709668306	0.532432100351	0.535675407949	0.530559768388	0.529241217706	0.594541615633	0.47009115305	0.423247080274	0.544843461078	0.517361891303	0.525395837906
SAMPLE_112507	0.45110609306	0.391405940643	0.474595176073	0.410758492662	0.433260112758	0.411273166016	0.359881634003	0.317275811386	0.304145266124	0.494256891355	0.460816636564	0.484823840304	0.324247550784	0.0	0.422195511863	0.29647292008	0.376793626143	0.404299265832	0.879739472545	0.668570244318	0.615521845594	0.7266827201	0.558179926747	0.521313055585	0.530702838325	0.559107676093	0.700821691397	0.553878538691	0.411962036071	0.297416887564	0.603204519456	0.435428536901	0.441909063921	0.462203533404	0.419591751574	0.335953963894	0.432063424355	0.476877330215	0.462960867737	0.455215000821	0.350077929473	0.340661931603	0.374663342121	0.457239863249	0.400175946019	0.663537391136	0.723508235394	0.583281354389	0.850002908219	0.469950294605	0.434346229237	0.570375871609	0.532420318132	0.438176438833	0.489573713799	0.602460684922	0.356551396795	0.329267247913	0.42735855426	0.422731105526	0.427919440305
