0	k:Fungi,p:Ascomycota(0.9991),c:Sordariomycetes(0.9672),o:Sordariales(0.9411),f:Lasiosphaeriaceae(0.9160),g:Podospora(0.9043),s:Podospora_longicaudata	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	+
1	k:Fungi,p:Ascomycota(0.9975),c:Unknown_21654(0.8017),o:Unknown_21655(0.7552),f:Pseudeurotiaceae(0.6597),g:Pseudeurotium(0.4359),s:Pseudeurotium_hygrophilum	p:Ascomycota,c:Unknown_21654,o:Unknown_21655,f:Pseudeurotiaceae	+
2	k:Fungi,p:Ascomycota(0.7175),c:Pezizomycetes(0.1793),o:Pezizales(0.0774),f:Pezizaceae(0.0334),g:Mycoclelandia(0.0142),s:Mycoclelandia_arenacea	p:Ascomycota	+
3	k:Fungi,p:Ascomycota(0.7964),c:Sordariomycetes(0.1793),o:Hypocreales(0.0774),f:Unknown_23151(0.0334),g:Acremonium(0.0142),s:Acremonium_fusidioides	p:Ascomycota	+
4	k:Fungi,p:Ascomycota(0.9991),c:Dothideomycetes(0.9403),o:Pleosporales(0.9237),f:Sporormiaceae(0.8874),g:Unknown_21971(0.6351),s:Unknown_13514	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Unknown_21971	+
5	k:Fungi,p:Ascomycota(0.9996),c:Pezizomycetes(0.9918),o:Pezizales(0.9932),f:Ascobolaceae(0.9841),g:Ascobolus(0.9426),s:Ascobolus_immersus	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus	+
6	k:Fungi,p:Ascomycota(0.9984),c:Sordariomycetes(0.9332),o:Sordariales(0.9203),f:Lasiosphaeriaceae(0.7927),g:Unknown_23524(0.4591),s:Unknown_7448	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	+
7	k:Fungi,p:Ascomycota(0.9995),c:Dothideomycetes(0.9770),o:Pleosporales(0.9619),f:Sporormiaceae(0.9504),g:Preussia(0.8215),s:Preussia_africana	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	+
8	k:Fungi,p:Ascomycota(0.9970),c:Leotiomycetes(0.7285),o:Thelebolales(0.6346),f:Thelebolaceae(0.5300),g:Antarctomyces(0.3199),s:Antarctomyces_psychrotrophicus	p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae	+
9	k:Fungi,p:Ascomycota(1.0000),c:Pezizomycetes(0.9985),o:Pezizales(0.9983),f:Pyronemataceae(0.8931),g:Unknown_22853(0.7594),s:Unknown_2427	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Unknown_22853	+
