OTU ID	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538	taxonomy	TaxonomyUsearch	
10	1235	110	182	166	578	1920	1918	774	628	778	1735	246	424	5111	3952	29073	4520	11565	3331	3004	24758	61385	9360	44914	12590	8685	28046	27600	6846	91126	18761	2543	30301	40186	2752	6319	666223	31975	12531	1851	3303	13866	492	24259	289	33313	15350	10997	103985	5888	236473	6585	8	2104	10	41158	60874	5679	7426	14803	1284	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Unknown_24371	AF345813;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis lagopus
11	83129	113762	26313	57767	41678	127798	38756	54053	295162	78472	40187	37718	100398	2515	3737	160094	2017	5945	14536	610	317	2476	426	4477	278	398	52	85	1623	124	40	250	83	171	34	36	177	44	16	1	12	8	45	16	20	8	22	28	2647	16642	26	34161	1	4	42	5766	2561	2014	170	4566	33	p:Zygomycota,c:Unknown_27299,o:Mucorales,f:Pilobolaceae,g:Pilobolus	FJ160957;k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus kleinii
12	232	21	40	158	152	0	95	80	1935	81	74	130	215	64	81	15468	18	866	143	17	264	25	118	213	4	58	7304	616	32	39516	537	16	711	410	42	60	40279	3591	521	4	25	734	9	75	0	1552	794	149	12709	331	2340	10179	129601	1230	183947	756964	47338	167	113	4922	59823	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis	GQ249277;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis sclerotiger
13	348	335	47	65	261	51	0	3886	1975	782	361	8	579	113	20687	11873	1261	1191	23597	34482	2091	95	14	55	16	94337	137	13156	5	122	24	431538	156008	554	116	7368	58358	8	1768	2	34	39997	301	768	14	199914	1441	4431	1147	119	4	0	4	154	38	102	0	1834	1083	20	24	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus	JN159553;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus heptemerus
14	11878	11482	11879	10136	45913	0	2822	10213	18099	9949	6413	4476	7914	289	2756	379620	1153	17002	1308	459	1044	27405	3283	1304	696	1231	1135	8805	4	14142	119	255	3235	113	83	705	2244	8	539	4	42	666	93	35	149	1179	49	210	28795	12005	594	354122	12	69	28	6813	12543	3228	1610	19233	129	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Pseudaleuria	UTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes
15	37	11	30	75	38	0	24	16	103	52	36	23	55	40	73	572	31	94	5	37	82	59	0	248	50	136	387	166	12	11949	475	46	548	2214	80	16	545404	61214	281	54	107	32181	12	81720	846	2187	13217	9222	647	57	12735	0	1	1392	316	2228	9	20	112	118	8641	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis	AY461828;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea
16	11932	4580	3798	11342	6215	21909	13285	8748	6830	18718	10123	3681	22908	5248	5725	4609	5072	6308	3188	2300	6044	28029	7014	80848	11282	6658	25928	6330	1411	7502	3604	7882	5304	4554	5407	3576	37337	720	1083	912	568	373	136	332	207	3641	770	1469	11626	10002	4006	8396	4	881	0	6202	9865	10027	2978	1390	141	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	KU955584;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Arnium,s:Arnium arizonense
17	12521	1426	5211	15101	5192	13704	14289	3543	11593	8336	10527	1973	4461	13511	20739	13881	52455	1513	1206	7577	35854	3282	102	195	22499	3372	4189	1664	13	132	4500	2872	7330	795	5265	779	6473	112	1348	343	255	6239	115	444	723	798	0	22	3528	14872	34	0	0	119	0	0	13	19924	11026	8	4	p:Ascomycota	UTAX;k:Fungi,p:Ascomycota
18	0	0	0	0	0	4	0	0	0	8	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	4	0	4	16	0	6	4	0	62	30	4	82	0	4295	9	4	4	252	3146	68	4036	1	4	4	4	145489	173472	0	19	53	0	0	0	42237	p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Unknown_23435	FJ713091;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Scedosporium,s:Scedosporium prolificans
19	14	4	0	13	29	0	73	70	40	37	33	21	1	39	114	18	149	58	67	300	74	653	143	140	7572	4926	600	309	1548	471	4454	25532	827	3784	31920	5603	2118	10406	38972	35741	25586	556	62501	2299	14457	2485	14427	24069	108	162	855	9	2682	6712	734	2324	901	123	102	190	5473	p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Unknown_23151,g:Acremonium	JX076982;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum
20	1096	115	83	594	633	1053	508	407	543	1194	349	119	525	194	297	2706	332	125	105	103	230	1436	471	762	632	625	5909	1337	10	4338	3829	99	221	8636	704	472	24586	6591	15117	120	1749	1368	2253	43235	4834	2515	21376	7410	886	127	26991	27	0	24423	25	1047	1039	234	357	106	3594	p:Ascomycota	UTAX;k:Fungi,p:Ascomycota
21	1820	219	167	1063	2541	2721	700	597	2144	716	1729	883	681	178	49	1277	224	480	466	249	132	15217	1515	2362	676	659	3009	1129	1308	1479	2339	99	153	4637	12625	336	18769	21705	8868	10823	1371	947	3946	15237	4191	1447	23045	19579	109	330	2246	134	0	3099	34	1423	840	276	705	126	519	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	AF376769;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
22	5827	2339	3603	3530	2996	7050	6001	5303	9493	3820	2333	4334	1474	2646	4926	8368	7101	3097	3838	2305	960	25183	2147	1830	2824	3706	2188	759	4894	693	1945	1516	603	1269	5108	665	2920	668	1506	2470	2363	473	960	761	2107	135	567	134	2608	2047	243	1893	0	144	4	18439	3731	5872	2188	6798	13	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
24	208	165	200	345	117	199	547	254	417	278	225	51	114	27	143	428	114	113	384	300	92	636	1410	4729	108	229	4344	1895	83	1676	292	54	91	1749	765	229	13154	6406	2901	466	826	478	650	28217	207	767	4960	914	796	455	25964	113	1	17018	9	39	89	350	278	292	9216	p:Ascomycota	SINTAX;k:Fungi
25	12567	17673	1720	6362	9666	7509	1711	8604	16010	1717	2051	2148	4208	352	1300	7211	586	719	1029	260	122	347	137	264	108	128	11	22	116	25	0	89	7	12	7	18	19	28	1	5	15	21	11	6	2	4	35	26	310	403	10	2139	3	14	32	865	1673	285	116	543	8	p:Zygomycota,c:Unknown_27299,o:Mucorales,f:Pilobolaceae,g:Pilobolus	FJ160949;k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus
26	6830	635	924	3162	1292	1077	3859	1656	8615	2632	1658	2454	1778	1538	752	4762	2595	795	1536	299	1100	2374	1216	762	2722	1161	1474	442	756	589	665	545	839	601	1302	1842	1873	361	1895	328	1895	1013	453	144	1676	498	128	102	1720	2050	797	432	0	717	0	4527	1883	1495	1537	3587	8	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella	KP101211;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella minimoides
27	409	192	623	22	65	0	98	339	5348	217	39	4	10	37	93	20465	0	51	0	19	213	0	0	0	0	4	0	0	1180	0	0	5	1679	0	0	0	0	0	0	0	0	4	0	0	4	2	0	0	4996	32	0	46823	5829	0	1	45	142	1	52	189	3	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Unknown_22733	JQ775581;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae
28	9393	378	823	2763	2236	18698	3621	1437	3015	1452	485	4500	845	268	159	5	1942	668	2472	442	48	1746	658	1499	552	468	509	301	227	166	380	152	80	425	509	486	752	0	5	26	63	4	13	13	103	17	34	5	103	1857	31	69	0	20	0	469	92	1612	332	394	0	p:Ascomycota,c:Dothideomycetes	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
29	738	121	80	353	326	0	366	398	182	407	349	192	110	664	396	240	1090	497	334	806	261	1911	2105	811	2510	1436	8796	1507	78	1226	1591	141	101	2346	2152	428	3775	140	3803	330	4301	61	428	384	41	196	1378	1304	358	1027	2760	240	0	5507	1	1173	1034	1027	1231	116	293	p:Ascomycota	KU141390;k:Fungi
30	4801	1401	3376	3911	3157	5592	3734	2690	2881	3192	1152	1335	1167	363	562	861	1601	899	340	106	115	3369	117	364	426	422	374	88	163	186	116	169	19	316	901	107	185	132	24	385	407	40	149	42	223	38	93	104	286	1061	62	139	0	165	0	585	403	717	423	734	34	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella	KF871453;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella megalospora
31	6284	381	8226	1086	606	8637	3405	668	12091	1309	1142	213	740	76	109	1361	104	112	100	57	25	2893	411	601	4	300	119	166	47	4	82	36	20	16	97	16	37	25	0	22	176	4	58	12	6	18	0	10	95	259	8	208	9	13	9	728	302	87	37	358	13	p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium	FJ210539;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium
32	9858	971	2751	3148	1969	5405	2156	1335	3644	1459	1075	573	1661	244	298	610	667	242	97	329	187	3090	1119	1974	208	178	399	89	41	257	93	60	18	114	363	19	163	100	64	132	173	4	101	8	8	39	25	29	256	475	100	125	0	51	1	1105	494	419	288	213	8	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	EF197084;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pleiospora
33	494	743	10746	299	844	19710	463	321	10034	408	465	0	607	33	22	852	18	25	0	8	2	389	0	166	0	0	17	0	0	1	6	4	0	8	0	0	24	10	0	0	0	0	1	0	0	0	5	1	78	74	13	236	0	4	1	137	0	1	12	208	1	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Unknown_21877	FJ172238;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria
34	3473	494	717	2133	1522	3469	1877	625	898	1371	1140	597	740	248	113	199	367	205	203	89	24	3546	249	1190	370	192	1546	395	122	398	810	72	8	717	1997	79	1336	175	1183	1371	797	69	965	916	209	119	1329	929	142	500	1142	79	0	2372	0	111	190	535	318	86	187	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Unknown_23514	KT235909;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
35	2010	945	228	934	1601	0	2008	1701	1111	1549	1909	2159	544	1391	1230	375	513	1761	1028	521	18	3619	507	0	1470	637	345	332	4	263	382	85	18	149	205	110	602	0	188	31	233	21	13	76	65	21	10	63	9	708	7	678	0	909	0	5856	165	844	1870	0	15	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Unknown_22801	UTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
36	2679	644	1362	2572	2631	274	2285	2342	2097	2071	1750	512	882	855	895	1788	1866	538	456	786	567	48	235	154	838	339	405	252	42	519	714	180	103	292	446	31	753	0	247	14	1112	339	19	437	20	86	134	584	974	707	1664	54	0	107	0	0	0	1084	653	88	0	p:Ascomycota,c:Pezizomycetes	UTAX;k:Fungi,p:Ascomycota
37	2757	1482	7087	502	705	883	1264	825	20518	294	88	634	220	44	41	2983	0	4	39	0	25	71	26	19	4	31	16	8	16	0	8	8	29	5	0	9	12	9	0	0	0	39	0	4	0	0	5	16	45	8	0	1172	4	20	0	113	521	16	0	38	0	p:Zygomycota,c:Unknown_27299,o:Mucorales,f:Mucoraceae,g:Pilaira	EF555495;k:Fungi,p:Zygomycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala
38	0	0	0	10	0	0	0	4	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	18	0	4	0	4	0	0	250	0	0	0	0	4	1	0	0	0	0	35325	17	18	0	0	0	0	0	252	p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae	EU437434;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
39	4029	816	1278	2074	2538	0	2635	2313	2711	915	1283	2168	144	376	934	149	1249	321	1519	219	41	214	768	334	918	471	210	163	14	10	172	89	23	70	466	228	135	0	85	36	186	59	6	2	65	5	8	5	45	669	56	97	0	8	0	24	525	786	648	586	0	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Unknown_21984	AM924166;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella australis
40	66	0	0	45	105	504	38	121	75	54	166	28	47	88	122	3585	143	321	212	99	1009	1364	484	5134	0	1606	454	1430	1841	743	31	131	378	566	94	372	2079	173	152	20	0	9	16	431	0	174	41	66	2287	698	265	212	0	0	70	587	202	119	285	2062	265	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus	GQ999406;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus
41	259	141	358	166	105	783	236	137	290	212	132	32	68	2761	1455	302	2318	480	653	689	201	534	281	132	2681	1400	696	18	5	109	827	76	129	1084	640	259	416	0	41	8	1883	87	54	109	10	27	44	88	427	904	202	4	0	577	0	594	239	862	490	54	0	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola
43	6776	213	6703	579	655	1788	1369	176	1114	611	434	109	62	32	57	778	72	78	110	0	22	181	239	18	53	48	2	30	0	0	9	0	65	0	0	27	4	0	0	0	24	16	2	0	0	0	0	0	66	41	8	183	10	0	0	4	0	52	2	18	0	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Chalastospora	AF229480;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria infectoria
44	436	135	2433	130	290	7611	807	248	3172	838	338	47	574	44	11	399	36	74	26	0	20	1421	1	685	0	2	164	16	89	17	2	0	0	31	30	12	63	0	0	0	20	0	73	4	4	0	1	7	55	112	12	148	16	33	8	781	57	16	28	194	27	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria	EU770235;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria,s:Paraphaeosphaeria neglecta
46	0	20058	0	0	0	0	0	1162	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	38	0	0	0	0	0	8	0	0	0	0	0	0	0	p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Unknown_22945,g:Candida	AY498864;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis
48	2890	349	945	488	332	802	1745	1408	1248	849	430	165	813	180	211	470	328	120	47	133	20	1977	34	1097	298	171	559	67	0	41	49	70	13	45	46	13	199	26	0	48	87	6	14	0	4	1	60	73	55	114	117	12	0	1	0	52	116	63	63	299	0	p:Ascomycota	UTAX;k:Fungi,p:Ascomycota
50	0	0	0	0	0	0	0	33	2	4	0	20	0	9	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17651	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Unknown_22899	DQ317369;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
51	530	408	1336	1671	0	0	0	1580	8929	213	14	129	0	55	291	818	57	66	0	30	4	0	0	31	69	20	43	0	0	0	0	0	0	13	20	9	0	0	0	5	2	0	4	0	0	0	0	4	2	0	0	364	0	0	0	131	34	142	0	26	0	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria	AY681188;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria,s:Sordaria fimicola
52	0	875	0	887	7	3463	804	0	50	1985	499	19	683	12	0	0	61	527	0	143	0	68	36	417	0	49	5	1271	0	0	4	48	0	10	48	9	285	0	0	0	0	0	4	1	0	1393	34	0	333	1211	650	0	0	0	0	154	21	4	564	0	12	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus
53	1503	668	662	1121	3568	454	1100	916	931	455	329	843	308	173	116	16	271	233	310	30	1	273	92	0	0	86	0	63	58	8	42	10	2	24	20	15	13	13	0	1	5	5	0	1	21	0	3	6	6	128	39	4	0	4	0	779	4	165	151	97	4	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Unknown_21967	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
54	187	27	233	115	155	0	37	126	60	84	88	22	0	17	57	246	59	48	9	30	13	1	17	13	0	0	43	26	17	13	28	19	0	120	11	17	120	34	0	0	0	0	22	17	0	0	69	4	43	13	5	306	0	6	0	64	20	32	22	52	13139	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus	JN159552;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus congregatus
55	0	0	0	0	31	0	55	0	16	4	22	1	4	5	4	36	0	13	8	0	22	171	4	0	43	10	0	4	641	0	33	3	8	9	32	0	4	621	0	661	17	5	311	22	17	0	20	49	28	5	4	0	205	12	45	11237	347	0	28	89	9	p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium redolens
56	0	0	0	4	15	243	0	0	0	0	4	0	0	31	26	160	0	0	144	0	0	43	93	70	0	35	0	0	0	2245	0	10	402	134	4	72	1341	0	0	0	0	2	0	0	0	33	0	0	3790	264	946	973	0	0	0	2760	348	68	9	6	0	p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus
