OTU ID	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538	taxonomy	TaxonomyUsearch	
0	119283	31309	54654	80431	51948	116221	242815	148111	360466	407598	233062	127706	130336	1118934	476496	604588	749831	403810	304947	454672	753860	929248	457431	706904	1458646	563148	350463	139389	67232	62530	377615	127078	413119	124919	644727	306441	628364	7398	194826	16935	303877	29724	19530	38528	6429	48739	8500	22524	402134	526428	50007	26752	42	84458	402	586734	262902	414782	519238	264709	545	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	EF197081;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1	43738	19706	13826	35945	46346	14974	20226	48552	60125	53208	54711	32520	15086	31915	94825	381405	118009	76919	101811	77188	50692	196633	145863	55532	87598	257871	137233	97575	22661	139116	77122	83037	231781	163255	138372	167818	1045711	79998	208790	21217	149997	549418	60872	213939	209668	136022	120895	292086	178525	60407	83522	46330	21839	419249	7926	196490	85906	59174	104990	372649	70777	p:Ascomycota,c:Unknown_21654,o:Unknown_21655,f:Pseudeurotiaceae	KX621286;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus
2	5275	2056	2562	4405	5121	11064	2017	2145	4595	5474	3557	875	6522	267	623	13724	3269	1588	756	397	1294	2135	5369	19572	1495	2106	54970	19580	629	228066	103507	663	937	231308	9121	14880	592451	59677	153715	4531	5349	36862	92708	64776	301522	106579	94062	174793	14402	3412	111466	637	95493	46928	25579	28890	8870	1458	2572	2175	4056084	p:Ascomycota	UTAX;k:Fungi,p:Ascomycota
3	69	4	8	77	4	0	20	52	9	406	132	8	391	1760	1674	12	778	2866	440	23462	194	229150	543	54547	2956	3838	11143	100669	524477	94995	12726	35154	8	55950	93383	6266	57214	62925	149601	274930	28378	20	231180	12402	58510	9641	21927	4888	2269	13429	880	9866	120	2778	63546	1385170	142178	9007	13566	9093	3924	p:Ascomycota	SINTAX;k:Fungi
4	29743	7443	11708	19525	14003	28418	28708	27895	57467	26534	28034	13618	13204	28699	27944	90174	55460	25092	25826	16605	23597	94703	34399	42516	72034	38165	39909	30031	25879	46159	69853	32400	36491	39323	33378	70255	307377	35387	57638	12347	134222	99088	41044	17839	89382	31228	17101	27428	59968	32376	22864	31592	67	33296	154	220870	109903	25287	37217	111565	2481	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Unknown_21971	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
5	77573	2801	15	144267	174565	22164	118162	77400	171893	270425	58769	268014	78168	16550	11069	72493	28570	69811	157656	2524	230152	20436	48429	2216	10297	10898	16963	38011	13053	906	663	13923	78111	962	931	72011	7755	2301	852	175	309	478	737	1676	420	2161	330	1741	5649	46611	4966	14	0	139	208	15970	66612	42700	7218	24581	727	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus	AJ271628;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
6	14809	5880	13476	7618	8588	6655	8828	7192	9591	7143	3468	3030	3947	3749	3809	4752	5060	2183	2756	3366	1039	63523	4234	11662	25414	7812	82511	7753	1604	5412	46873	1095	1646	97040	65578	2509	116352	173289	115274	13257	129159	32089	53733	211683	17777	13445	219262	320072	3233	3734	86292	1139	30	206359	97	24075	7712	2727	3521	2023	12332	p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	KC461134;k:Fungi
7	30870	10542	15195	20067	16604	5728	29465	35704	74275	41571	21952	20971	15456	11003	18706	41672	54291	18169	13020	9729	18366	113037	15969	10289	35645	68003	26690	8106	30162	14931	29287	12993	15542	68516	92433	30536	119161	43958	55967	21455	49789	28529	21797	21017	56452	12295	39553	41184	31499	24756	28224	33521	10530	35766	8047	162587	59513	24680	36309	155020	18055	p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	KF128767;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
8	251427	50583	51920	76435	164316	24957	105539	186785	96840	73070	100396	144195	21661	8198	31903	77264	28302	26282	49277	10034	842	37353	12244	4320	6729	18214	5681	5127	1919	2135	3467	4048	1074	6657	9305	5539	7327	781	7068	1939	5980	10548	2501	11532	24648	659	5758	11327	8334	10734	6503	4886	12	45851	34	2765	2121	24698	27467	20271	250	p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae	GU212429;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
9	53627	8502	12707	32100	52334	27314	38702	25843	78491	48386	64680	55354	11782	45560	40557	102338	60001	93261	52676	21467	20310	121351	114681	47210	36544	21354	22081	30895	508	3529	16247	5358	14458	4209	15416	94394	10886	62	8234	9120	9446	4484	1652	1162	4578	2911	141	422	29219	19319	2669	32618	1	15782	8	6302	16811	83872	56045	16848	21	p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Unknown_22853	FJ553261;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
