SAMPLE	TOTAL	SAMPLE_112,474	SAMPLE_112,475	SAMPLE_112,476	SAMPLE_112,477	SAMPLE_112,478	SAMPLE_112,480	SAMPLE_112,481	SAMPLE_112,482	SAMPLE_112,483	SAMPLE_112,484	SAMPLE_112,485	SAMPLE_112,486	SAMPLE_112,487	SAMPLE_112,488	SAMPLE_112,489	SAMPLE_112,490	SAMPLE_112,491	SAMPLE_112,492	SAMPLE_112,493	SAMPLE_112,495	SAMPLE_112,496	SAMPLE_112,497	SAMPLE_112,498	SAMPLE_112,499	SAMPLE_112,500	SAMPLE_112,501	SAMPLE_112,502	SAMPLE_112,503	SAMPLE_112,504	SAMPLE_112,505	SAMPLE_112,506	SAMPLE_112,507	SAMPLE_112,508	SAMPLE_112,509	SAMPLE_112,510	SAMPLE_112,511	SAMPLE_112,512	SAMPLE_112,513	SAMPLE_112,514	SAMPLE_112,515	SAMPLE_112,516	SAMPLE_112,518	SAMPLE_112,519	SAMPLE_112,520	SAMPLE_112,521	SAMPLE_112,522	SAMPLE_112,524	SAMPLE_112,525	SAMPLE_112,526	SAMPLE_112,527	SAMPLE_112,528	SAMPLE_112,529	SAMPLE_112,530	SAMPLE_112,531	SAMPLE_112,532	SAMPLE_112,533	SAMPLE_112,534	SAMPLE_112,535	SAMPLE_112,536	SAMPLE_112,537	SAMPLE_112,538
INPUT	14,971,799	227,010	94,934	113,720	149,192	184,128	197,603	173,927	174,416	355,121	257,196	160,745	192,469	110,716	232,708	172,109	522,323	254,654	184,782	188,566	144,616	244,212	480,634	202,530	236,369	334,138	265,151	209,791	145,681	147,865	206,345	189,055	188,397	250,862	233,557	272,755	192,561	1,200,865	156,376	268,103	101,212	217,664	231,681	156,457	211,745	212,448	168,627	164,216	243,681	222,440	170,462	196,730	160,839	125,580	294,370	67,235	802,778	230,717	166,214	185,201	264,167	861,153
CLUSTERABLE	13,637,976	195,720	81,527	89,805	131,423	163,100	157,374	155,895	156,234	312,868	232,449	145,749	172,369	98,353	222,530	159,839	475,781	238,037	169,041	172,062	134,390	228,334	439,060	187,504	219,597	316,299	246,373	192,600	129,974	136,385	186,349	177,203	170,193	228,897	211,528	253,630	180,334	1,090,261	138,764	243,413	90,855	201,690	215,887	141,346	188,705	193,566	150,117	146,173	220,930	204,159	158,244	171,961	140,712	108,190	264,240	60,331	741,580	208,240	154,076	173,420	242,787	819,523
CLUSTERABLE PCT	91.1%	86.2%	85.9%	79%	88.1%	88.6%	79.6%	89.6%	89.6%	88.1%	90.4%	90.7%	89.6%	88.8%	95.6%	92.9%	91.1%	93.5%	91.5%	91.2%	92.9%	93.5%	91.4%	92.6%	92.9%	94.7%	92.9%	91.8%	89.2%	92.2%	90.3%	93.7%	90.3%	91.2%	90.6%	93%	93.7%	90.8%	88.7%	90.8%	89.8%	92.7%	93.2%	90.3%	89.1%	91.1%	89%	89%	90.7%	91.8%	92.8%	87.4%	87.5%	86.2%	89.8%	89.7%	92.4%	90.3%	92.7%	93.6%	91.9%	95.2%
LOW-ABUNDANCE	1,333,823	31,290	13,407	23,915	17,769	21,028	40,229	18,032	18,182	42,253	24,747	14,996	20,100	12,363	10,178	12,270	46,542	16,617	15,741	16,504	10,226	15,878	41,574	15,026	16,772	17,839	18,778	17,191	15,707	11,480	19,996	11,852	18,204	21,965	22,029	19,125	12,227	110,604	17,612	24,690	10,357	15,974	15,794	15,111	23,040	18,882	18,510	18,043	22,751	18,281	12,218	24,769	20,127	17,390	30,130	6,904	61,198	22,477	12,138	11,781	21,380	41,630
LOW-ABUNDANCE PCT	8.9%	13.8%	14.1%	21%	11.9%	11.4%	20.4%	10.4%	10.4%	11.9%	9.6%	9.3%	10.4%	11.2%	4.4%	7.1%	8.9%	6.5%	8.5%	8.8%	7.1%	6.5%	8.6%	7.4%	7.1%	5.3%	7.1%	8.2%	10.8%	7.8%	9.7%	6.3%	9.7%	8.8%	9.4%	7%	6.3%	9.2%	11.3%	9.2%	10.2%	7.3%	6.8%	9.7%	10.9%	8.9%	11%	11%	9.3%	8.2%	7.2%	12.6%	12.5%	13.8%	10.2%	10.3%	7.6%	9.7%	7.3%	6.4%	8.1%	4.8%
LOW-ABUNDANCE MAPPED	1,233,635	29,700	12,883	22,837	16,817	19,964	38,695	16,657	16,791	39,844	23,476	13,971	18,924	11,700	9,356	11,229	43,376	14,816	14,404	15,419	9,802	14,875	37,968	14,152	15,599	17,572	17,808	15,629	15,190	10,622	18,895	9,954	17,363	20,528	20,381	17,216	11,238	91,833	17,101	24,410	9,981	13,914	13,805	14,266	20,294	17,309	17,276	16,194	21,317	16,792	11,585	22,499	19,222	15,916	28,393	6,573	56,529	20,994	10,948	10,700	19,730	40,403
LOW-ABUNDANCE MAPPED%	92.5%	94.9%	96.1%	95.5%	94.6%	94.9%	96.2%	92.4%	92.3%	94.3%	94.9%	93.2%	94.1%	94.6%	91.9%	91.5%	93.2%	89.2%	91.5%	93.4%	95.9%	93.7%	91.3%	94.2%	93%	98.5%	94.8%	90.9%	96.7%	92.5%	94.5%	84%	95.4%	93.5%	92.5%	90%	91.9%	83%	97.1%	98.9%	96.4%	87.1%	87.4%	94.4%	88.1%	91.7%	93.3%	89.8%	93.7%	91.9%	94.8%	90.8%	95.5%	91.5%	94.2%	95.2%	92.4%	93.4%	90.2%	90.8%	92.3%	97.1%
UNCLASSIFIED	479,108	17,604	60,998	105,401	2,510	6,662	134,595	1,121	9,532	51,994	926	863	3,030	2,380	30	103	2,291	51	36	83	43	0	1,916	230	89	3	12	156	11	1,067	69	239	1	14	4,983	62	9	1,954	2,425	1,863	104	149	8,367	1,436	720	2,514	809	2,542	5,563	83	273	4,695	7,356	5,330	6,258	7,658	2,223	3,543	51	464	1,195	2,419
UNCLASSIFIED%	0.8%	2%	15.5%	23.6%	0.4%	1%	17.5%	0.2%	1.4%	3.6%	0.1%	0.1%	0.4%	0.5%	0%	0%	0.1%	0%	0%	0%	0%	0%	0.1%	0%	0%	0%	0%	0%	0%	0.1%	0%	0%	0%	0%	0.6%	0%	0%	0%	0.4%	0.2%	0%	0%	0.9%	0.2%	0.1%	0.3%	0.1%	0.4%	0.6%	0%	0%	0.6%	1.1%	1.2%	0.5%	2.6%	0.1%	0.4%	0%	0.1%	0.1%	0.1%
CONTAMINANT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CONTAMINANT%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
