OTU	A0	B0	C0	D0	E0	G0	A1	B1	C1	D1	E1	F1	G1	A2	B2	C2	D2	E2	F2	B4	C4	E4	F4	G4	A8	B8	D8	E8	F8	G8	A16	B16	C16	D16	E16	F16	G16	C24	D24	E24	A36	C36	D36	E36	F36	G36
0	119283	31309	54654	80431	51948	116221	242815	148111	360466	407598	233062	127706	130336	1118934	476496	604588	749831	403810	304947	454672	753860	929248	457431	706904	1458646	563148	350463	139389	67232	62530	377615	127078	413119	124919	644727	306441	628364	7398	194826	16935	303877	29724	19530	38528	6429	48739
1	43738	19706	13826	35945	46346	14974	20226	48552	60125	53208	54711	32520	15086	31915	94825	381405	118009	76919	101811	77188	50692	196633	145863	55532	87598	257871	137233	97575	22661	139116	77122	83037	231781	163255	138372	167818	1045711	79998	208790	21217	149997	549418	60872	213939	209668	136022
2	5275	2056	2562	4405	5121	11064	2017	2145	4595	5474	3557	875	6522	267	623	13724	3269	1588	756	397	1294	2135	5369	19572	1495	2106	54970	19580	629	228066	103507	663	937	231308	9121	14880	592451	59677	153715	4531	5349	36862	92708	64776	301522	106579
3	69	4	8	77	4	0	20	52	9	406	132	8	391	1760	1674	12	778	2866	440	23462	194	229150	543	54547	2956	3838	11143	100669	524477	94995	12726	35154	8	55950	93383	6266	57214	62925	149601	274930	28378	20	231180	12402	58510	9641
4	29743	7443	11708	19525	14003	28418	28708	27895	57467	26534	28034	13618	13204	28699	27944	90174	55460	25092	25826	16605	23597	94703	34399	42516	72034	38165	39909	30031	25879	46159	69853	32400	36491	39323	33378	70255	307377	35387	57638	12347	134222	99088	41044	17839	89382	31228
5	77573	2801	15	144267	174565	22164	118162	77400	171893	270425	58769	268014	78168	16550	11069	72493	28570	69811	157656	2524	230152	20436	48429	2216	10297	10898	16963	38011	13053	906	663	13923	78111	962	931	72011	7755	2301	852	175	309	478	737	1676	420	2161
6	14809	5880	13476	7618	8588	6655	8828	7192	9591	7143	3468	3030	3947	3749	3809	4752	5060	2183	2756	3366	1039	63523	4234	11662	25414	7812	82511	7753	1604	5412	46873	1095	1646	97040	65578	2509	116352	173289	115274	13257	129159	32089	53733	211683	17777	13445
7	30870	10542	15195	20067	16604	5728	29465	35704	74275	41571	21952	20971	15456	11003	18706	41672	54291	18169	13020	9729	18366	113037	15969	10289	35645	68003	26690	8106	30162	14931	29287	12993	15542	68516	92433	30536	119161	43958	55967	21455	49789	28529	21797	21017	56452	12295
8	251427	50583	51920	76435	164316	24957	105539	186785	96840	73070	100396	144195	21661	8198	31903	77264	28302	26282	49277	10034	842	37353	12244	4320	6729	18214	5681	5127	1919	2135	3467	4048	1074	6657	9305	5539	7327	781	7068	1939	5980	10548	2501	11532	24648	659
9	53627	8502	12707	32100	52334	27314	38702	25843	78491	48386	64680	55354	11782	45560	40557	102338	60001	93261	52676	21467	20310	121351	114681	47210	36544	21354	22081	30895	508	3529	16247	5358	14458	4209	15416	94394	10886	62	8234	9120	9446	4484	1652	1162	4578	2911
10	1235	110	182	166	578	1920	1918	774	628	778	1735	246	424	5111	3952	29073	4520	11565	3331	3004	24758	61385	9360	44914	12590	8685	28046	27600	6846	91126	18761	2543	30301	40186	2752	6319	666223	31975	12531	1851	3303	13866	492	24259	289	33313
11	83129	113762	26313	57767	41678	127798	38756	54053	295162	78472	40187	37718	100398	2515	3737	160094	2017	5945	14536	610	317	2476	426	4477	278	398	52	85	1623	124	40	250	83	171	34	36	177	44	16	1	12	8	45	16	20	8
12	232	21	40	158	152	0	95	80	1935	81	74	130	215	64	81	15468	18	866	143	17	264	25	118	213	4	58	7304	616	32	39516	537	16	711	410	42	60	40279	3591	521	4	25	734	9	75	0	1552
13	348	335	47	65	261	51	0	3886	1975	782	361	8	579	113	20687	11873	1261	1191	23597	34482	2091	95	14	55	16	94337	137	13156	5	122	24	431538	156008	554	116	7368	58358	8	1768	2	34	39997	301	768	14	199914
14	11878	11482	11879	10136	45913	0	2822	10213	18099	9949	6413	4476	7914	289	2756	379620	1153	17002	1308	459	1044	27405	3283	1304	696	1231	1135	8805	4	14142	119	255	3235	113	83	705	2244	8	539	4	42	666	93	35	149	1179
15	37	11	30	75	38	0	24	16	103	52	36	23	55	40	73	572	31	94	5	37	82	59	0	248	50	136	387	166	12	11949	475	46	548	2214	80	16	545404	61214	281	54	107	32181	12	81720	846	2187
16	11932	4580	3798	11342	6215	21909	13285	8748	6830	18718	10123	3681	22908	5248	5725	4609	5072	6308	3188	2300	6044	28029	7014	80848	11282	6658	25928	6330	1411	7502	3604	7882	5304	4554	5407	3576	37337	720	1083	912	568	373	136	332	207	3641
17	12521	1426	5211	15101	5192	13704	14289	3543	11593	8336	10527	1973	4461	13511	20739	13881	52455	1513	1206	7577	35854	3282	102	195	22499	3372	4189	1664	13	132	4500	2872	7330	795	5265	779	6473	112	1348	343	255	6239	115	444	723	798
18	0	0	0	0	0	4	0	0	0	8	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	4	0	4	16	0	6	4	0	62	30	4	82	0	4295	9	4	4	252	3146
19	14	4	0	13	29	0	73	70	40	37	33	21	1	39	114	18	149	58	67	300	74	653	143	140	7572	4926	600	309	1548	471	4454	25532	827	3784	31920	5603	2118	10406	38972	35741	25586	556	62501	2299	14457	2485
20	1096	115	83	594	633	1053	508	407	543	1194	349	119	525	194	297	2706	332	125	105	103	230	1436	471	762	632	625	5909	1337	10	4338	3829	99	221	8636	704	472	24586	6591	15117	120	1749	1368	2253	43235	4834	2515
21	1820	219	167	1063	2541	2721	700	597	2144	716	1729	883	681	178	49	1277	224	480	466	249	132	15217	1515	2362	676	659	3009	1129	1308	1479	2339	99	153	4637	12625	336	18769	21705	8868	10823	1371	947	3946	15237	4191	1447
22	5827	2339	3603	3530	2996	7050	6001	5303	9493	3820	2333	4334	1474	2646	4926	8368	7101	3097	3838	2305	960	25183	2147	1830	2824	3706	2188	759	4894	693	1945	1516	603	1269	5108	665	2920	668	1506	2470	2363	473	960	761	2107	135
24	208	165	200	345	117	199	547	254	417	278	225	51	114	27	143	428	114	113	384	300	92	636	1410	4729	108	229	4344	1895	83	1676	292	54	91	1749	765	229	13154	6406	2901	466	826	478	650	28217	207	767
25	12567	17673	1720	6362	9666	7509	1711	8604	16010	1717	2051	2148	4208	352	1300	7211	586	719	1029	260	122	347	137	264	108	128	11	22	116	25	0	89	7	12	7	18	19	28	1	5	15	21	11	6	2	4
26	6830	635	924	3162	1292	1077	3859	1656	8615	2632	1658	2454	1778	1538	752	4762	2595	795	1536	299	1100	2374	1216	762	2722	1161	1474	442	756	589	665	545	839	601	1302	1842	1873	361	1895	328	1895	1013	453	144	1676	498
27	409	192	623	22	65	0	98	339	5348	217	39	4	10	37	93	20465	0	51	0	19	213	0	0	0	0	4	0	0	1180	0	0	5	1679	0	0	0	0	0	0	0	0	4	0	0	4	2
28	9393	378	823	2763	2236	18698	3621	1437	3015	1452	485	4500	845	268	159	5	1942	668	2472	442	48	1746	658	1499	552	468	509	301	227	166	380	152	80	425	509	486	752	0	5	26	63	4	13	13	103	17
29	738	121	80	353	326	0	366	398	182	407	349	192	110	664	396	240	1090	497	334	806	261	1911	2105	811	2510	1436	8796	1507	78	1226	1591	141	101	2346	2152	428	3775	140	3803	330	4301	61	428	384	41	196
30	4801	1401	3376	3911	3157	5592	3734	2690	2881	3192	1152	1335	1167	363	562	861	1601	899	340	106	115	3369	117	364	426	422	374	88	163	186	116	169	19	316	901	107	185	132	24	385	407	40	149	42	223	38
31	6284	381	8226	1086	606	8637	3405	668	12091	1309	1142	213	740	76	109	1361	104	112	100	57	25	2893	411	601	4	300	119	166	47	4	82	36	20	16	97	16	37	25	0	22	176	4	58	12	6	18
32	9858	971	2751	3148	1969	5405	2156	1335	3644	1459	1075	573	1661	244	298	610	667	242	97	329	187	3090	1119	1974	208	178	399	89	41	257	93	60	18	114	363	19	163	100	64	132	173	4	101	8	8	39
33	494	743	10746	299	844	19710	463	321	10034	408	465	0	607	33	22	852	18	25	0	8	2	389	0	166	0	0	17	0	0	1	6	4	0	8	0	0	24	10	0	0	0	0	1	0	0	0
34	3473	494	717	2133	1522	3469	1877	625	898	1371	1140	597	740	248	113	199	367	205	203	89	24	3546	249	1190	370	192	1546	395	122	398	810	72	8	717	1997	79	1336	175	1183	1371	797	69	965	916	209	119
35	2010	945	228	934	1601	0	2008	1701	1111	1549	1909	2159	544	1391	1230	375	513	1761	1028	521	18	3619	507	0	1470	637	345	332	4	263	382	85	18	149	205	110	602	0	188	31	233	21	13	76	65	21
36	2679	644	1362	2572	2631	274	2285	2342	2097	2071	1750	512	882	855	895	1788	1866	538	456	786	567	48	235	154	838	339	405	252	42	519	714	180	103	292	446	31	753	0	247	14	1112	339	19	437	20	86
37	2757	1482	7087	502	705	883	1264	825	20518	294	88	634	220	44	41	2983	0	4	39	0	25	71	26	19	4	31	16	8	16	0	8	8	29	5	0	9	12	9	0	0	0	39	0	4	0	0
38	0	0	0	10	0	0	0	4	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	18	0	4	0	4	0	0	250	0	0	0	0
39	4029	816	1278	2074	2538	0	2635	2313	2711	915	1283	2168	144	376	934	149	1249	321	1519	219	41	214	768	334	918	471	210	163	14	10	172	89	23	70	466	228	135	0	85	36	186	59	6	2	65	5
40	66	0	0	45	105	504	38	121	75	54	166	28	47	88	122	3585	143	321	212	99	1009	1364	484	5134	0	1606	454	1430	1841	743	31	131	378	566	94	372	2079	173	152	20	0	9	16	431	0	174
41	259	141	358	166	105	783	236	137	290	212	132	32	68	2761	1455	302	2318	480	653	689	201	534	281	132	2681	1400	696	18	5	109	827	76	129	1084	640	259	416	0	41	8	1883	87	54	109	10	27
