OTU	A0	B0	C0	D0	E0	G0	A1	B1	C1	D1	E1	F1	G1	A2	B2	C2	D2	E2	F2	B4	C4	E4	F4	G4	A8	B8	D8	E8	F8	G8	A16	B16	C16	D16	E16	F16	G16	C24	D24	E24	A36	C36	D36	E36	F36	G36
43	6776	213	6703	579	655	1788	1369	176	1114	611	434	109	62	32	57	778	72	78	110	0	22	181	239	18	53	48	2	30	0	0	9	0	65	0	0	27	4	0	0	0	24	16	2	0	0	0
44	436	135	2433	130	290	7611	807	248	3172	838	338	47	574	44	11	399	36	74	26	0	20	1421	1	685	0	2	164	16	89	17	2	0	0	31	30	12	63	0	0	0	20	0	73	4	4	0
46	0	20058	0	0	0	0	0	1162	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	2890	349	945	488	332	802	1745	1408	1248	849	430	165	813	180	211	470	328	120	47	133	20	1977	34	1097	298	171	559	67	0	41	49	70	13	45	46	13	199	26	0	48	87	6	14	0	4	1
50	0	0	0	0	0	0	0	33	2	4	0	20	0	9	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17651	0	0	0	1	0	0	0	0	0	0	0	0	0
51	530	408	1336	1671	0	0	0	1580	8929	213	14	129	0	55	291	818	57	66	0	30	4	0	0	31	69	20	43	0	0	0	0	0	0	13	20	9	0	0	0	5	2	0	4	0	0	0
52	0	875	0	887	7	3463	804	0	50	1985	499	19	683	12	0	0	61	527	0	143	0	68	36	417	0	49	5	1271	0	0	4	48	0	10	48	9	285	0	0	0	0	0	4	1	0	1393
53	1503	668	662	1121	3568	454	1100	916	931	455	329	843	308	173	116	16	271	233	310	30	1	273	92	0	0	86	0	63	58	8	42	10	2	24	20	15	13	13	0	1	5	5	0	1	21	0
54	187	27	233	115	155	0	37	126	60	84	88	22	0	17	57	246	59	48	9	30	13	1	17	13	0	0	43	26	17	13	28	19	0	120	11	17	120	34	0	0	0	0	22	17	0	0
55	0	0	0	0	31	0	55	0	16	4	22	1	4	5	4	36	0	13	8	0	22	171	4	0	43	10	0	4	641	0	33	3	8	9	32	0	4	621	0	661	17	5	311	22	17	0
56	0	0	0	4	15	243	0	0	0	0	4	0	0	31	26	160	0	0	144	0	0	43	93	70	0	35	0	0	0	2245	0	10	402	134	4	72	1341	0	0	0	0	2	0	0	0	33
58	1358	186	25	954	414	6440	374	394	1052	405	4	17	76	192	206	342	36	126	0	132	22	524	0	212	0	8	214	0	0	30	104	9	16	25	81	0	23	4	0	13	81	4	0	0	0	0
59	0	51	0	0	6181	0	0	1567	0	12	1070	0	1358	0	10	0	0	509	0	12	0	1047	0	8	0	23	0	1022	0	136	0	66	0	0	203	0	0	0	0	178	0	0	0	229	0	0
60	4834	158	5295	98	1572	61	0	0	92	0	0	6	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
61	79	7	24	9	0	123	19	2	0	27	6	1	9	1	17	144	32	23	23	0	8	6	1	14	40	5	113	1	27	1	4	12	27	327	5	4	2	16	16	0	593	10	1	13	103	0
63	1818	101	1009	949	1765	0	435	209	107	227	631	91	462	68	88	77	307	77	97	36	1	192	78	2	171	20	87	0	0	15	203	0	0	37	23	0	18	0	0	18	222	17	9	177	0	1
64	1775	300	542	627	271	520	1491	468	1013	735	182	216	165	105	67	135	152	83	98	27	33	221	15	18	0	130	85	8	30	21	37	2	10	35	74	13	33	0	0	0	28	4	12	5	5	0
66	114	53	177	87	125	832	563	519	94	581	382	61	232	122	218	65	389	210	64	46	17	709	44	173	376	168	117	1	198	46	35	39	20	306	130	22	233	118	375	28	88	25	153	60	19	21
67	489	319	2969	130	220	3463	146	109	1343	120	80	13	131	0	4	127	11	4	0	0	0	11	0	1	0	15	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	69	74	2611	38	89	3480	271	28	821	145	85	30	95	16	4	184	0	0	4	0	0	238	13	28	0	0	4	0	5	0	0	0	0	20	2	0	10	0	0	0	4	0	11	0	0	0
69	447	931	228	241	111	457	203	724	797	47	6	0	174	47	119	353	57	56	9	140	6	69	30	294	71	121	97	12	5	81	83	75	8	9	80	2	449	100	33	1	6	12	13	1	26	12
70	13	387	2710	86	50	75	42	451	1982	169	114	163	526	5	42	533	8	12	25	10	13	51	77	148	0	23	16	10	242	35	0	12	15	31	0	4	65	9	0	0	2	0	15	2	13	10
71	514	8	451	60	92	1902	1618	47	1478	430	249	67	132	25	0	101	22	23	2	0	8	108	0	25	0	0	9	0	9	17	4	0	0	8	4	4	5	0	0	0	8	1	0	0	0	0
73	126	96	0	404	337	889	353	454	217	172	107	6	31	64	341	190	377	61	4	127	19	661	0	34	30	85	68	22	28	4	55	38	12	109	126	0	111	30	50	22	75	6	23	358	0	0
74	6	0	18	0	9	462	29	0	83	35	28	0	0	5	0	12	0	0	0	5	0	34	8	0	308	16	1	31	10	0	176	5	31	5	239	50	0	1	0	1700	213	0	348	13	15	4
76	647	9	2288	120	174	2055	523	126	252	353	173	14	28	5	51	181	9	8	24	4	0	30	8	8	0	25	4	4	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
77	0	0	0	0	0	0	17	0	4	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	2	0	4	4	0	0	10	0	0	0	0	0	0	0	0	4
78	362	96	939	125	140	1483	300	58	1651	150	83	4	144	161	5	98	0	26	77	0	0	141	0	73	153	62	2	2	0	0	193	0	12	9	0	4	0	10	0	21	45	0	5	1	0	0
79	970	188	795	236	446	0	464	378	311	320	256	384	141	104	21	30	142	61	363	0	3	97	115	8	0	104	0	0	31	13	16	4	20	12	77	82	59	0	0	16	4	4	0	0	9	0
82	2272	14	1480	42	66	1358	44	0	180	134	39	3	15	22	4	75	33	8	5	0	5	18	6	1	0	5	0	4	0	0	16	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0
84	141	119	261	55	144	2268	235	84	779	252	112	50	128	8	3	116	0	14	5	0	0	182	0	103	0	0	9	0	26	5	17	8	25	14	1	0	0	0	63	28	22	0	20	5	0	0
85	295	122	276	125	112	396	83	21	1218	83	43	33	121	32	9	358	0	4	0	13	37	4	6	37	32	1	17	20	0	271	0	0	20	4	0	0	932	90	0	0	0	0	4	0	0	0
86	58	16	1217	30	62	3412	83	6	251	96	77	4	49	4	0	54	0	4	0	0	0	23	0	9	0	0	9	0	0	7	0	0	5	5	0	0	2	0	0	0	0	0	0	0	0	1
87	97	63	928	77	83	2199	284	14	551	156	89	15	133	8	8	109	1	32	2	0	0	297	4	26	0	0	23	0	12	5	0	0	0	0	0	0	5	0	0	0	0	0	1	4	0	0
88	83	0	0	9	0	0	113	4	81	21	28	0	5	37	5	639	20	0	99	9	360	171	56	0	0	68	16	4	327	0	16	62	975	38	37	36	0	234	0	167	48	15	383	44	375	0
89	413	80	1610	136	67	2115	85	15	236	128	67	0	0	2	9	59	0	4	2	0	0	116	0	20	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
90	108	0	138	74	45	2394	281	55	723	201	116	46	57	17	0	124	15	25	5	0	0	476	17	107	0	0	9	2	1	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	0	0
91	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	47	0	0	0	74	0	0	0	0	0	641	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	3911	0
92	1664	69	1616	50	89	899	202	14	193	0	0	8	0	23	4	18	0	0	0	0	0	9	0	0	0	42	0	0	0	0	8	0	0	0	0	0	0	0	0	0	12	0	4	5	0	0
93	83	14	32	106	5	0	220	22	58	166	25	64	55	46	25	2	88	34	117	9	26	0	4	29	21	22	8	0	45	98	52	0	0	225	32	48	128	0	406	139	91	0	536	17	196	27
95	897	479	298	207	232	0	65	662	499	147	60	180	57	27	142	321	27	12	57	14	4	157	4	43	0	46	24	0	1	8	0	9	0	5	9	13	11	0	0	13	1	0	0	1	0	0
96	76	678	452	0	8	3104	34	92	241	1	0	0	63	0	1	32	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
98	23	35	0	8	0	0	28	36	51	26	54	44	23	17	28	0	14	21	56	14	21	8	104	182	121	132	24	0	14	44	27	0	33	314	24	68	332	8	314	30	181	4	86	37	386	571
100	118	0	0	52	46	0	55	9	28	333	26	250	56	89	66	129	158	48	14	16	0	1	0	0	301	61	17	0	0	28	21	199	38	83	416	89	62	0	1	10	44	30	69	4	58	1
101	104	116	936	23	29	2350	104	56	496	18	29	2	65	1	6	88	0	0	0	0	0	34	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
103	274	76	30	18	21	0	78	60	64	111	31	156	9	164	77	378	78	20	93	16	0	23	33	0	480	111	13	7	0	18	168	44	120	32	16	22	276	127	0	14	236	54	8	35	100	12
104	324	84	627	118	256	2222	93	7	182	78	35	1	103	4	0	51	0	1	4	0	1	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	177	1631	1625	0	715	0
106	696	242	298	243	565	50	392	229	145	155	64	36	69	19	31	56	13	21	4	13	0	171	6	23	0	0	32	5	6	2	0	2	1	3	13	1	15	32	0	6	18	2	0	37	1	0
107	106	251	799	62	86	1731	32	30	303	71	21	25	51	0	0	41	2	8	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
108	13	0	226	9	26	3460	17	0	38	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	32	69	810	29	29	1706	83	33	323	53	21	0	62	9	6	48	0	0	0	0	4	59	0	33	0	0	4	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	1	0	0	0
112	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1210	0	0	0	2336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	348	131	1252	39	178	1019	84	16	241	19	36	16	48	1	0	27	0	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
116	84	0	0	45	72	169	180	142	26	240	83	5	57	52	61	46	150	55	13	14	8	402	21	40	75	17	56	0	103	1	25	18	12	88	25	12	26	68	77	17	27	10	72	34	5	7
117	39	0	3	4	0	123	6	0	0	9	0	0	2	1	1	23	1	2	4	0	1	0	4	1	37	0	10	0	1	0	4	1	25	164	9	8	4	4	0	0	341	4	0	13	24	0
118	532	87	0	177	0	462	129	174	435	117	0	0	12	8	87	289	16	9	0	151	4	84	0	0	20	168	62	0	0	0	16	4	0	8	0	0	0	0	9	0	0	0	0	0	0	0
119	0	185	0	21	302	0	0	224	45	0	4	376	18	0	128	681	1	38	217	31	0	0	0	0	0	10	1	0	5	0	0	17	0	8	0	17	0	0	0	0	0	0	0	0	721	0
120	8	60	596	11	32	1787	50	5	307	26	9	1	68	0	0	32	0	0	9	0	0	9	8	12	0	0	1	8	0	0	0	0	0	0	8	1	0	0	0	0	0	0	1	0	4	0
121	0	0	1690	0	0	0	0	0	858	0	4	4	0	0	0	334	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	4	0	0	0	0
123	155	51	542	59	66	1557	90	23	312	33	19	0	18	4	0	50	0	4	0	0	0	12	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0
126	248	48	345	44	86	1803	24	8	157	31	23	12	27	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	0	0	0	0	0	0	0	0	0	0	0	0	0	59	35	0	0	0	0	693	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	1915	0	0	0	0
128	0	0	0	0	0	2943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	0	0	32	8	6	0	107	0	23	1	81	0	9	8	0	5	8	0	0	0	5	5	0	1245	0	9	0	1	0	0	7	0	0	0	8	0	23	0	3	0	5	0	11	21	0	0
130	0	0	46	0	5	0	4	4	51	0	0	0	13	0	0	28	0	0	0	0	0	25	0	6	0	0	0	0	0	0	12	28	0	0	8	0	0	0	0	17	2491	25	0	0	67	0
131	0	0	0	0	0	0	57	0	0	0	221	0	0	8	0	0	0	0	159	0	0	96	533	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	0	0	0	0	0	4	0	0	0	4	0	4	0	31	0	0	1	4	0	0	14	0	0	7	7	0	0	60	0	1	0	0	8	0	1618	326	0	0	0	18	4	54	133	0
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1890	0	0	780	4
134	0	0	84	0	0	0	63	0	45	3	0	0	0	4	0	5	0	4	0	0	0	78	0	41	144	4	4	0	0	2	9	43	4	9	170	13	8	0	0	313	1497	0	60	4	12	4
137	30	61	349	12	4	1367	18	11	291	37	74	7	48	0	8	28	9	1	23	0	0	16	0	11	0	8	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0
138	1043	63	512	89	160	112	85	9	190	34	113	4	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	1	0	0	0	0	0
139	0	60	10	0	1	1310	0	38	106	21	1	0	113	0	1	13	4	2	0	0	0	140	8	446	0	4	28	5	0	4	0	0	0	18	0	0	19	0	0	0	0	0	0	0	4	0
142	0	0	0	0	0	2289	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	83	0	99	68	61	1300	48	5	286	97	44	40	33	0	14	11	0	4	0	0	0	36	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	1474	9	54	6	24	424	119	28	27	13	0	5	8	7	6	11	0	0	1	0	0	4	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	81	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	19	2040	0	0	0
147	48	9	891	11	23	888	12	0	133	1	7	14	5	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
151	0	197	650	7	1	0	4	201	298	59	12	49	48	0	16	83	0	0	34	0	4	2	15	26	0	0	16	0	69	5	0	16	0	2	0	0	4	17	0	0	0	0	4	0	0	0
154	48	3	543	8	9	871	9	20	112	19	22	0	10	0	0	2	0	0	0	0	0	9	0	4	0	0	0	5	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0
155	5	12	4	14	0	1565	0	8	24	24	0	8	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
156	203	45	165	65	79	291	80	50	29	20	37	68	0	0	42	5	54	25	7	0	0	82	0	5	0	24	10	0	24	0	1	6	0	2	18	20	0	0	0	14	0	0	1	18	12	0
157	550	171	0	84	131	0	74	68	43	143	75	16	35	24	21	37	28	6	1	0	0	0	0	12	0	6	7	0	5	9	10	5	0	11	2	0	26	0	0	0	8	0	0	0	0	0
158	0	0	0	62	8	0	23	13	11	1	2	0	10	4	6	0	3	0	0	0	0	0	0	16	0	0	62	2	0	45	8	1	4	8	28	0	95	181	390	10	5	25	8	0	0	1
163	47	0	61	25	25	359	115	84	5	93	43	24	13	35	53	27	58	7	3	1	0	106	0	89	0	21	26	3	16	5	11	13	0	33	17	1	22	11	0	0	4	0	8	8	0	0
164	122	0	19	77	11	466	35	9	18	9	147	2	20	0	0	14	0	0	5	17	0	351	0	0	0	0	0	34	0	0	0	0	1	4	0	0	1	0	0	12	0	0	0	12	0	0
165	255	41	8	123	61	0	45	71	75	9	47	52	98	32	3	0	8	16	10	28	0	395	8	0	0	12	0	0	0	0	0	8	5	4	66	8	0	0	0	0	11	0	0	0	0	0
166	82	0	335	8	69	948	0	0	42	4	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	28	4	465	0	15	570	10	9	117	15	6	4	118	0	0	34	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
169	35	8	0	21	0	0	24	9	0	19	5	66	0	0	10	1	107	6	76	39	0	134	67	25	0	41	0	3	116	0	1	32	0	0	9	143	13	0	0	1	39	0	9	0	252	0
170	0	257	221	32	40	0	20	67	277	49	11	28	110	4	12	13	4	0	25	0	0	36	12	59	0	4	6	0	31	14	0	1	0	5	0	0	24	4	0	0	8	0	4	0	0	2
171	0	0	0	0	0	0	0	0	0	288	22	1	0	0	0	0	0	20	131	0	0	23	96	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
172	6	97	189	16	53	0	73	179	235	149	4	28	25	6	19	63	0	0	20	1	2	45	6	8	0	7	19	2	27	0	4	5	1	15	0	10	0	0	0	0	0	0	10	1	1	0
173	282	14	0	10	84	0	30	24	9	25	13	28	0	42	115	36	0	71	0	47	0	20	16	0	8	60	0	0	0	0	5	0	0	0	25	4	5	0	247	23	45	0	4	11	0	0
