	Kingdom	Phylum	Class	Order	Family	Genus	Species
0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora longicaudata
1	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	NA
2	Fungi	Ascomycota	NA	NA	NA	NA	NA
3	Fungi	NA	NA	NA	NA	NA	NA
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
5	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus immersus
6	Fungi	NA	NA	NA	NA	NA	NA
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
8	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	NA	NA
9	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus
11	Fungi	Mucoromycota	NA	Mucorales	Pilobolaceae	Pilobolus	Pilobolus kleinii
12	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis sclerotiger
13	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus heptemerus
14	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
15	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis stercorea
16	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	Arnium arizonense
17	Fungi	Ascomycota	NA	NA	NA	NA	NA
18	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium prolificans
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium chrysogenum
20	Fungi	Ascomycota	NA	NA	NA	NA	NA
21	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
22	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
24	Fungi	NA	NA	NA	NA	NA	NA
25	Fungi	Mucoromycota	NA	Mucorales	Pilobolaceae	Pilobolus	Pilobolus crystallinus
26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella minimoides
27	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
29	Fungi	NA	NA	NA	NA	NA	NA
30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella megalospora
31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	NA
32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora pleiospora
33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
34	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
35	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
36	Fungi	Ascomycota	NA	NA	NA	NA	NA
37	Fungi	Mucoromycota	NA	Mucorales	Mucoraceae	Pilaira	Pilaira anomala
38	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella australis
40	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	NA
41	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Parasola	NA
43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria infectoria
44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria neglecta
46	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida vadensis
48	Fungi	Ascomycota	NA	NA	NA	NA	NA
50	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
51	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria fimicola
52	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus furfuraceus
53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
54	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus congregatus
55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium redolens
56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	NA
58	Fungi	Ascomycota	NA	NA	NA	NA	NA
59	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	Dipodascus geotrichum
60	Fungi	NA	NA	NA	NA	NA	NA
61	NA	NA	NA	NA	NA	NA	NA
63	Fungi	Ascomycota	NA	NA	NA	NA	NA
64	Fungi	Ascomycota	NA	NA	NA	NA	NA
66	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	NA
67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Boeremia	Boeremia exigua
68	Fungi	Ascomycota	NA	NA	NA	NA	NA
69	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
70	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	NA	NA
71	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Pilidium	Pilidium concavum
73	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium strictum
76	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
77	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	NA	NA
78	Fungi	Ascomycota	Sordariomycetes	NA	Plectosphaerellaceae	Plectosphaerella	NA
79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
82	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
84	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
85	Fungi	Mucoromycota	NA	Mucorales	Pilobolaceae	Pilobolus	NA
86	Fungi	Ascomycota	NA	NA	NA	NA	NA
87	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
88	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
89	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cryptococcus	Cryptococcus frias
90	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	NA
91	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
92	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	NA	Holtermanniella	Holtermanniella takashimae
93	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
95	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
96	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Wickerhamomyces	Wickerhamomyces rabaulensis
98	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
101	Fungi	Ascomycota	Taphrinomycetes	NA	NA	NA	NA
103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia minipascua
104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
105	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Chrysosporium	Chrysosporium lobatum
106	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
107	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	Protomyces inouyei
108	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
110	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Selinia	Selinia pulchra
113	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
116	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium slooffiae
117	NA	NA	NA	NA	NA	NA	NA
118	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
119	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
120	Fungi	NA	NA	NA	NA	NA	NA
121	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe rickenii
123	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cryptococcus	NA
126	NA	NA	NA	NA	NA	NA	NA
127	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus furfuraceus
128	Fungi	NA	NA	NA	NA	NA	NA
129	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella tricincta
130	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	NA	NA
131	Fungi	NA	NA	NA	NA	NA	NA
132	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis stercorea
133	Fungi	NA	NA	NA	NA	NA	NA
134	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	NA
137	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
138	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula	Cyathicula culmicola
139	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago striiformis
142	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
143	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Ascochyta	NA
144	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans
146	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium chrysogenum
147	Fungi	Basidiomycota	Cystobasidiomycetes	NA	NA	NA	NA
151	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	NA	NA
154	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	NA
155	Fungi	NA	NA	NA	NA	NA	NA
156	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella australis
157	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	Panaeolus	Panaeolus papilionaceus
158	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
163	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	NA
164	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella coronicola
165	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora austrohemisphaerica
166	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma compressum
167	Plantae	NA	NA	NA	NA	NA	NA
169	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Stilbella	Stilbella fimetaria
170	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	NA	NA
171	Fungi	NA	NA	NA	NA	NA	NA
172	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Orpinomyces	NA
173	Fungi	Ascomycota	NA	NA	NA	NA	NA
174	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium culmorum
175	NA	NA	NA	NA	NA	NA	NA
176	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora pyriformis
178	Fungi	Mucoromycota	NA	Mucorales	Mucoraceae	Pilaira	Pilaira anomala
179	Fungi	Basidiomycota	Ustilaginomycetes	Urocystidales	Urocystidaceae	Urocystis	Urocystis agropyri
182	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Antrodiella	Antrodiella semisupina
183	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cryptococcus	Cryptococcus aureus
184	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus sassii
185	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
186	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
193	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
194	Fungi	NA	NA	NA	NA	NA	NA
195	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
199	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cryptococcus	Cryptococcus podzolicus
201	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
205	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
206	Fungi	NA	NA	NA	NA	NA	NA
207	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	NA	NA
208	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
209	Fungi	Ascomycota	Sordariomycetes	NA	Plectosphaerellaceae	Lectera	NA
210	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
214	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
215	Fungi	NA	NA	NA	NA	NA	NA
217	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	NA	NA
220	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	NA
221	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	NA
222	NA	NA	NA	NA	NA	NA	NA
225	Fungi	Ascomycota	Sordariomycetes	NA	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis nigrescens
227	Fungi	Ascomycota	NA	NA	NA	NA	NA
229	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
230	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
232	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
234	Fungi	Ascomycota	Lecanoromycetes	Ostropales	NA	NA	NA
235	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
236	Fungi	Mucoromycota	NA	Mucorales	NA	NA	NA
238	Fungi	Mucoromycota	NA	Mucorales	Pilobolaceae	Pilobolus	Pilobolus kleinii
239	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
244	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum	Microbotryum kuehneanum
245	Fungi	NA	NA	NA	NA	NA	NA
246	Fungi	Ascomycota	NA	NA	NA	NA	NA
